time,wx,wy,wz
0.012,0.01,0.01,0.01
0.029,-0.00,0.01,0.01
0.045,0.01,0.01,0.01
0.062,-0.00,0.01,0.00
0.079,0.01,0.01,0.02
0.095,0.00,0.01,-0.00
0.112,0.01,0.01,0.02
0.129,0.00,0.02,0.01
0.146,0.00,0.00,0.01
0.162,0.01,0.01,-0.00
0.179,0.00,0.00,0.01
0.195,0.01,0.01,0.00
0.212,0.00,0.01,0.01
0.229,0.01,0.01,0.01
0.246,0.01,0.01,0.00
0.262,0.00,0.01,0.01
0.279,0.01,0.01,-0.01
0.296,0.01,0.01,0.02
0.312,0.01,0.01,0.02
0.346,-0.00,0.01,-0.01
0.362,0.00,0.01,-0.01
0.379,0.01,0.01,0.02
0.412,0.01,0.01,0.01
0.429,0.01,0.01,-0.01
0.446,0.01,0.01,0.03
0.462,0.00,0.02,-0.01
0.479,0.01,0.00,0.02
0.496,0.00,0.01,0.00
0.512,0.01,0.01,0.02
0.529,0.00,0.01,-0.00
0.546,0.01,0.01,0.01
0.562,0.00,0.01,0.00
0.579,0.01,0.01,0.01
0.596,0.00,0.01,0.00
0.612,0.00,0.01,0.01
0.629,0.00,0.01,-0.00
0.646,0.01,0.01,0.01
0.662,0.01,0.01,-0.01
0.679,0.01,0.01,0.03
0.698,0.00,0.01,-0.01
0.712,0.00,0.01,0.03
0.729,0.00,0.01,-0.02
0.746,0.01,0.01,0.03
0.762,0.00,0.02,-0.02
0.779,0.01,0.01,0.04
0.796,0.00,0.01,-0.02
0.812,0.01,0.01,0.03
0.829,0.00,0.02,-0.01
0.846,0.01,0.01,0.02
0.862,0.01,0.01,-0.01
0.879,0.00,0.01,0.01
0.896,0.01,0.01,0.01
0.912,0.00,0.01,-0.00
0.929,0.01,0.01,0.01
0.946,0.00,0.01,-0.00
0.962,0.01,0.01,0.02
0.979,0.00,0.01,0.01
0.996,0.00,0.01,0.01
1.012,0.01,0.01,0.00
1.029,0.01,0.01,0.00
1.062,0.01,0.01,0.00
1.079,0.01,0.01,0.00
1.096,0.01,0.01,0.00
1.129,0.01,0.01,0.00
1.146,0.00,0.01,0.01
1.162,0.00,0.01,0.00
1.179,0.01,0.01,0.01
1.196,0.01,0.01,0.01
1.212,0.00,0.01,0.01
1.229,0.01,0.01,0.01
1.246,0.01,0.01,0.00
1.262,0.01,0.01,0.01
1.279,0.01,0.01,-0.00
1.296,0.01,0.01,0.01
1.312,0.00,0.01,0.00
1.329,0.00,0.01,0.01
