time,wx,wy,wz
0.024,0.00,0.02,-0.03
0.046,0.01,-0.02,0.02
0.063,-0.02,0.02,-0.02
0.081,0.03,0.01,0.03
0.102,-0.03,-0.00,-0.00
0.129,-0.01,0.00,0.02
0.147,0.03,0.03,-0.02
0.165,0.01,0.01,0.01
0.185,0.00,0.01,0.01
0.213,0.00,-0.01,0.02
0.232,0.02,0.03,-0.00
0.236,-0.01,-0.00,0.01
0.255,0.03,0.01,0.01
0.280,-0.01,0.00,-0.00
0.302,0.01,0.03,0.00
0.330,-0.01,0.02,0.01
0.349,0.01,-0.00,0.01
0.354,-0.00,0.02,0.00
0.372,0.02,0.00,0.01
0.397,0.00,0.01,0.01
0.402,0.01,0.02,0.01
0.420,0.02,0.01,0.01
0.437,0.01,0.02,0.00
0.464,-0.02,0.01,0.01
0.469,0.02,0.01,0.00
0.487,-0.02,0.00,0.01
0.514,0.01,0.01,0.01
0.535,0.01,0.02,0.00
0.564,0.02,0.01,0.00
0.585,0.01,0.01,0.01
0.615,0.02,0.01,0.00
0.635,-0.00,0.01,0.01
0.655,0.02,0.01,0.00
0.682,0.01,0.01,0.01
0.702,-0.01,0.01,0.01
0.721,0.02,0.01,0.00
0.748,0.02,0.00,0.00
0.769,0.00,0.01,0.00
0.788,0.00,0.01,0.01
0.816,-7.04,-0.44,0.30
0.836,-10.06,0.88,0.03
0.854,-9.49,0.36,-0.16
0.881,-9.44,0.39,0.04
0.902,-9.51,0.09,0.04
0.920,-9.36,-0.02,-0.07
0.938,-9.26,0.17,0.01
0.964,-9.51,0.15,-0.04
0.983,-9.39,0.18,0.04
1.000,-9.48,0.03,-0.03
1.018,-9.43,0.22,0.02
1.036,-9.36,0.16,-0.03
1.055,-9.50,0.18,0.04
1.082,-9.37,0.10,-0.02
1.100,-9.55,0.11,-0.00
1.118,-9.29,0.26,0.01
1.137,-9.40,0.18,0.01
1.154,-9.39,0.11,0.01
1.173,-9.57,0.08,0.00
1.199,-9.30,0.20,-0.00
1.217,-9.51,0.18,0.01
1.234,-9.49,0.12,0.01
1.252,-9.45,0.09,0.00
1.270,-9.46,0.14,0.00
1.288,-9.43,0.17,-0.00
1.306,-9.37,0.26,0.00
1.332,-9.39,0.12,-0.01
1.352,-9.48,0.11,0.00
1.370,-9.38,0.15,-0.01
1.388,-9.43,0.26,0.01
1.407,-9.31,0.19,-0.01
1.419,-9.52,0.13,0.01
1.437,-9.38,0.11,-0.00
1.455,-9.55,0.09,0.01
1.473,-9.42,0.21,0.00
1.486,-9.40,0.20,-0.01
1.504,-9.45,0.17,0.01
1.522,-9.36,0.11,-0.01
1.541,-9.27,0.23,-0.01
1.569,-9.52,0.17,0.01
1.588,-9.25,0.23,-0.00
1.607,-9.44,0.08,0.00
1.636,-9.48,0.12,0.00
1.654,-9.42,0.19,-0.00
1.673,-9.46,0.14,0.00
1.692,-9.43,0.10,-0.00
1.719,-9.52,0.11,0.01
1.738,-9.42,0.24,0.00
1.757,-9.35,0.18,-0.01
1.786,-9.49,0.11,0.01
1.805,-9.49,0.12,0.00
1.823,-9.38,0.21,0.00
1.842,-9.40,0.19,-0.01
1.852,-9.44,0.15,0.00
1.870,-9.39,0.11,-0.01
1.889,-9.57,0.07,0.00
1.908,-9.30,0.22,-0.00
1.919,-9.48,0.20,0.00
1.937,-9.31,0.24,-0.01
1.956,-9.51,0.11,0.01
1.975,-9.43,0.09,-0.01
1.985,-9.44,0.16,0.00
2.004,-9.46,0.17,0.00
2.023,-9.29,0.27,-0.00
2.042,-9.49,0.14,0.00
2.052,-9.37,0.11,-0.01
2.071,-9.47,0.12,0.00
2.090,-9.40,0.17,-0.01
