time,wx,wy,wz
0.022,-0.03,-0.01,-0.01
0.050,0.06,-0.02,0.02
0.073,-0.03,0.02,-0.01
0.100,0.01,0.01,0.01
0.124,0.05,0.00,0.02
0.129,0.01,-0.01,0.00
0.152,-0.03,0.01,0.00
0.161,-0.02,0.00,0.01
0.184,0.02,0.01,0.01
0.194,0.03,0.01,0.01
0.217,-0.01,-0.01,0.01
0.241,0.01,0.05,0.01
0.267,0.03,0.04,0.01
0.291,-0.01,0.01,0.01
0.318,-0.01,-0.02,0.00
0.341,0.01,0.01,0.01
0.368,0.01,0.03,0.01
0.391,0.00,-0.03,0.00
0.418,0.01,0.01,0.01
0.441,0.00,0.04,0.01
0.468,-0.00,-0.02,0.01
0.491,0.01,0.01,0.00
0.518,0.01,0.07,0.01
0.541,0.00,0.01,0.00
0.568,0.00,0.00,0.01
0.592,0.00,0.04,0.01
0.618,0.00,-0.01,0.01
0.642,0.00,-0.02,0.01
0.668,0.00,0.01,0.00
0.692,0.00,0.04,0.01
0.718,0.01,0.02,0.00
0.742,0.00,-0.02,0.01
0.768,0.01,0.04,0.01
0.792,0.00,0.00,0.00
0.818,0.01,0.04,0.01
0.842,0.01,0.03,0.01
0.847,0.01,-0.00,0.01
0.871,-0.01,-0.05,0.01
0.902,0.01,0.04,0.01
0.911,0.01,0.07,0.01
0.935,0.01,0.03,0.01
0.944,-0.01,-0.05,0.00
0.969,0.00,-0.04,0.00
0.978,0.01,0.04,0.01
1.002,0.01,0.07,0.01
1.011,0.01,0.04,0.01
1.035,-0.00,-0.04,0.00
1.044,-0.00,-0.06,0.00
1.069,0.00,0.00,0.01
1.078,0.02,0.07,0.01
1.102,0.01,0.06,0.01
1.111,0.00,-0.01,0.00
1.136,0.00,-0.04,0.00
1.144,-0.00,-0.01,0.00
1.169,0.00,0.01,0.01
1.202,0.00,-0.01,0.00
1.211,0.01,0.01,0.01
1.236,0.01,0.05,0.01
1.269,0.01,0.01,0.01
1.302,0.01,0.02,0.01
1.336,0.01,0.01,0.01
1.369,0.00,-0.01,0.01
1.402,0.00,0.03,0.01
1.435,0.00,0.00,0.00
1.469,0.00,0.01,0.01
1.502,0.01,0.02,0.01
1.536,0.00,0.02,0.00
1.569,0.65,9.82,0.12
1.597,-0.52,9.32,-0.41
1.618,-0.44,9.41,-0.27
1.638,-0.07,9.46,0.03
1.664,0.12,9.18,0.21
1.684,-0.05,9.25,-0.05
1.705,-0.13,9.27,-0.21
1.711,-0.03,9.48,-0.03
1.731,-0.06,9.17,0.10
1.752,-0.05,9.34,0.07
1.761,-0.07,9.20,-0.06
1.781,-0.03,9.22,-0.06
1.802,0.00,9.45,0.05
1.822,-0.03,9.42,-0.05
1.848,-0.06,9.13,-0.01
1.868,-0.06,9.24,0.04
1.878,-0.03,9.38,-0.00
1.898,-0.04,9.26,-0.04
1.918,-0.02,9.35,-0.01
1.928,-0.09,9.19,0.02
1.948,-0.07,9.24,-0.00
1.969,-0.02,9.33,-0.02
1.978,-0.04,9.30,-0.01
1.998,-0.02,9.43,0.00
2.020,-0.03,9.38,-0.01
2.048,-0.04,9.33,0.00
2.069,-0.03,9.34,-0.01
2.098,-0.06,9.19,-0.00
2.119,-0.07,9.18,-0.00
2.148,-0.04,9.33,-0.01
2.169,-0.07,9.21,-0.00
2.198,-0.06,9.23,-0.00
2.219,-0.05,9.32,-0.01
2.248,-0.05,9.27,-0.01
2.269,-0.01,9.43,-0.01
2.278,-0.08,9.14,0.00
2.298,-0.04,9.33,0.00
2.319,-0.05,9.25,-0.00
2.328,-0.05,9.22,-0.01
2.349,-0.01,9.41,-0.00
2.370,-0.07,9.18,0.00
2.377,-0.06,9.23,-0.01
2.398,-0.07,9.21,0.00
2.420,-0.05,9.29,-0.01
2.428,0.00,9.47,0.00
2.449,-0.07,9.16,-0.00
2.470,-0.02,9.41,-0.00
2.478,-0.08,9.17,0.00
2.499,-0.06,9.23,-0.01
2.520,-0.02,9.38,-0.01
2.528,-0.05,9.28,0.00
2.549,-0.01,9.40,-0.00
2.571,-0.08,9.15,-0.00
2.577,-0.05,9.31,-0.00
2.599,-0.03,9.34,-0.01
2.621,-0.05,9.27,-0.01
2.627,-0.01,9.42,-0.01
2.649,-0.08,9.14,0.00
2.670,-0.03,9.36,-0.01
2.699,-0.05,9.26,-0.00
2.721,-0.08,9.14,0.00
2.749,-0.04,9.36,-0.00
2.771,-0.06,9.25,-0.01
2.799,-0.07,9.15,0.00
2.821,-0.04,9.34,-0.00
2.849,-0.06,9.32,-0.01
2.871,-0.02,9.40,-0.00
2.899,-0.04,9.30,-0.01
2.921,-0.07,9.21,-0.00
2.949,-0.04,9.38,-0.00
2.971,-0.07,9.15,-0.01
2.999,-0.06,9.25,0.00
3.022,-0.05,9.28,-0.01
3.050,-0.05,9.28,-0.00
3.073,0.00,9.48,0.00
3.099,-0.03,9.34,-0.01
3.122,-0.05,9.29,0.00
3.127,-0.05,9.28,-0.00
3.150,-0.00,9.47,-0.00
3.172,-0.07,9.21,0.00
3.177,-0.02,9.43,-0.00
3.200,-0.08,9.14,-0.00
3.223,-0.06,9.28,-0.00
3.227,-0.01,9.43,-0.01
3.250,-0.05,9.26,-0.00
3.273,-0.02,9.41,-0.01
3.278,-0.07,9.17,-0.01
3.300,-0.05,9.26,-0.01
3.323,-0.05,9.23,-0.01
3.350,-0.01,9.42,-0.01
3.373,-0.05,9.31,-0.00
3.400,-0.03,9.37,-0.00
3.423,-0.01,9.43,-0.00
3.450,-0.08,9.14,0.00
3.474,-0.06,9.23,-0.00
3.501,-0.01,9.47,0.00
3.524,-0.09,9.07,-0.00
3.551,-0.04,9.33,-0.00
3.575,-0.05,9.27,-0.01
3.601,-0.06,9.22,-0.00
3.625,-0.04,9.31,-0.00
3.652,-0.04,9.33,-0.01
3.675,-0.03,9.35,-0.01
3.702,-0.02,9.40,-0.01
3.725,-0.09,9.11,0.00
3.752,-0.04,9.29,-0.00
3.776,-0.06,9.18,-0.00
3.781,-0.00,9.46,-0.00
3.804,-0.08,9.15,0.00
3.836,-0.07,9.24,0.00
3.859,-0.05,9.27,-0.01
3.864,-0.01,9.42,-0.00
3.887,-0.07,9.17,0.00
3.894,-0.04,9.36,-0.00
3.919,-0.08,9.17,-0.01
3.943,-0.00,9.48,-0.01
3.969,-0.07,9.19,0.00
3.993,-0.08,9.13,-0.01
4.022,-0.01,9.42,-0.01
4.052,-0.06,9.19,-0.01
4.075,-0.09,9.16,0.00
4.103,-0.04,9.32,0.00
4.127,-0.05,9.28,-0.01
4.153,-0.09,9.09,-0.00
4.176,-0.04,9.34,-0.01
4.203,-0.05,9.27,-0.01
4.226,-0.02,9.38,-0.01
4.254,-0.03,9.39,-0.00
4.287,-0.05,9.28,-0.01
4.311,-0.01,9.46,-0.01
4.337,-0.02,9.41,-0.00
4.361,-0.08,9.17,-0.00
4.387,-0.02,9.38,-0.00
4.412,-0.06,9.18,-0.00
4.438,-0.09,9.15,0.00
4.462,-0.05,9.30,-0.01
4.489,-0.07,9.14,-0.00
4.522,-0.09,9.11,0.00
4.547,-0.06,9.26,-0.01
4.572,-0.05,9.23,-0.00
4.597,-0.08,9.18,0.00
4.622,-0.03,9.37,-0.00
4.627,-0.07,9.19,-0.01
4.656,-0.05,9.28,-0.00
4.660,0.00,9.47,-0.01
4.689,-0.07,9.17,-0.00
4.694,-0.03,9.40,-0.00
4.723,-0.08,9.13,-0.00
4.727,-0.04,9.32,-0.00
4.756,-0.08,9.13,-0.01
4.790,-0.02,9.41,-0.00
4.794,-0.10,9.11,0.00
4.823,-0.02,9.41,-0.00
4.857,-0.02,9.40,-0.00
4.890,-0.05,9.30,-0.00
4.924,-0.16,8.31,-0.05
4.958,-0.11,-0.19,-0.17
4.991,0.60,-0.11,0.27
5.024,-0.07,0.01,-0.01
5.058,-0.25,0.07,-0.08
5.091,0.30,-0.05,0.10
5.125,-0.16,0.04,-0.05
5.158,0.03,0.00,0.02
5.192,0.06,-0.00,0.02
5.225,-0.07,0.02,-0.01
5.259,0.07,-0.00,0.02
5.264,0.01,0.01,0.01
5.292,-0.04,0.02,-0.00
5.297,-0.02,0.01,0.00
5.326,0.03,0.01,0.01
5.330,0.03,0.00,0.01
5.359,-0.01,0.01,0.01
5.364,-0.02,0.01,0.00
5.393,0.02,0.01,0.01
5.426,0.01,0.01,0.01
5.430,-0.01,0.01,0.00
5.459,0.01,0.01,0.01
5.492,0.00,0.01,0.01
5.526,0.01,0.01,0.01
5.560,0.01,0.01,0.01
5.593,0.00,0.01,0.00
5.626,0.01,0.01,0.01
5.660,0.00,0.01,0.01
5.693,0.01,0.01,0.01
5.726,0.01,0.01,0.00
