time,wx,wy,wz
0.025,0.01,0.04,0.02
0.029,0.01,0.00,0.01
0.053,-0.02,-0.00,-0.01
0.060,0.03,0.02,0.02
0.084,-0.03,0.00,-0.00
0.093,0.03,0.00,0.02
0.117,-0.02,0.02,-0.01
0.142,-0.01,0.01,-0.00
0.168,0.01,0.02,0.02
0.176,0.00,0.00,-0.01
0.202,0.00,0.01,0.03
0.210,0.01,0.01,-0.01
0.235,-0.00,0.00,0.02
0.243,0.01,0.01,0.00
0.268,-0.00,0.01,0.01
0.276,0.01,0.01,0.01
0.302,0.00,0.01,-0.00
0.310,0.01,0.01,0.03
0.336,0.01,0.01,-0.01
0.343,0.00,0.01,0.04
0.369,0.01,0.01,-0.02
0.376,-0.00,0.01,0.03
0.403,-0.00,0.01,0.03
0.436,0.01,0.02,-0.01
0.443,-0.00,0.00,0.03
0.470,0.00,0.01,0.02
0.503,0.00,0.01,-0.00
0.536,0.01,0.00,-0.01
0.570,0.00,0.01,-0.00
0.604,0.01,0.01,-0.00
0.637,0.01,0.00,-0.00
0.670,0.01,0.01,-0.02
0.704,0.01,0.01,-0.03
0.737,0.01,0.01,-0.01
0.770,0.01,0.01,-0.00
0.804,0.01,0.01,0.01
0.809,0.00,0.01,0.02
0.837,0.00,0.01,0.00
0.871,0.00,0.01,0.00
0.876,0.01,0.01,0.01
0.904,0.00,0.01,0.02
0.909,0.01,0.01,0.00
0.937,0.00,0.01,0.01
0.943,0.01,0.01,0.00
0.971,-0.00,0.01,0.01
0.976,0.01,0.01,-0.01
1.005,0.01,0.01,-0.01
1.038,0.00,0.01,0.01
1.043,0.01,0.01,-0.01
1.072,0.01,0.01,0.00
1.105,0.01,0.01,-0.00
1.138,0.01,0.01,-0.02
1.172,0.01,0.01,-0.03
1.205,0.01,0.01,-0.04
1.239,0.01,0.01,-0.03
1.272,0.01,0.01,-0.02
1.306,0.01,0.01,-0.02
1.339,0.01,0.01,-0.01
1.372,0.01,0.01,-0.00
1.406,0.01,0.01,-0.00
1.439,0.00,0.01,0.02
1.473,0.01,0.01,-0.00
1.506,0.01,0.01,-0.01
1.511,0.00,0.01,0.01
1.540,0.01,0.01,-0.01
1.573,0.01,0.01,-0.01
1.578,0.00,0.01,0.02
1.607,0.00,0.01,0.00
1.611,0.01,0.01,0.02
1.640,-0.03,-0.01,0.86
1.645,-0.38,-0.07,4.18
1.670,0.18,0.17,8.50
1.692,-0.10,0.06,9.47
1.718,0.14,-0.01,9.26
1.740,-0.05,0.04,9.38
1.745,0.09,0.04,9.34
1.769,-0.01,0.07,9.39
1.791,0.01,0.04,9.35
1.819,0.04,0.03,9.26
1.841,0.03,0.05,9.30
1.869,0.04,0.07,9.42
1.891,0.04,0.04,9.35
1.919,0.04,0.06,9.34
1.942,0.03,0.06,9.37
1.969,0.03,0.04,9.34
1.992,0.03,0.03,9.29
2.020,0.04,0.06,9.33
2.043,0.03,0.07,9.36
2.048,0.04,0.04,9.28
2.070,0.02,0.03,9.36
2.092,0.03,0.03,9.29
2.120,0.04,0.07,9.33
2.143,0.03,0.06,9.34
2.170,0.02,0.04,9.31
2.193,0.03,0.04,9.35
2.220,0.03,0.06,9.35
2.243,0.03,0.03,9.32
2.271,0.02,0.03,9.32
2.292,0.03,0.06,9.35
2.297,0.03,0.07,9.37
2.321,0.04,0.05,9.33
2.343,0.03,0.03,9.32
2.371,0.03,0.04,9.35
2.394,0.03,0.06,9.36
2.421,0.03,0.06,9.30
2.444,0.02,0.04,9.30
2.471,0.04,0.06,9.37
2.495,0.02,0.06,9.34
2.500,0.04,0.06,9.33
2.522,0.02,0.04,9.32
2.545,0.04,0.03,9.29
2.550,0.02,0.05,9.39
2.572,0.03,0.06,9.42
2.595,0.03,0.05,9.27
2.622,0.03,0.03,9.30
2.645,0.03,0.06,9.38
2.672,0.03,0.06,9.30
2.695,0.03,0.03,9.31
2.722,0.03,0.04,9.37
2.745,0.03,0.06,9.32
2.772,0.03,0.04,9.26
2.795,0.03,0.03,9.38
2.823,0.03,0.05,9.42
2.846,0.03,0.07,9.29
2.873,0.03,0.05,9.28
2.896,0.04,0.05,9.32
2.923,0.03,0.06,9.34
2.947,0.02,0.04,9.29
