time,wx,wy,wz
0.005,-0.00,-0.04,0.04
0.020,-0.05,0.04,-0.03
0.037,0.06,-0.02,0.03
0.053,-0.05,-0.00,-0.01
0.070,0.00,0.01,0.01
0.087,0.03,-0.01,0.00
0.103,-0.06,0.01,-0.00
0.120,0.03,-0.00,0.01
0.136,-0.01,0.00,-0.00
0.153,-0.03,-0.00,0.01
0.170,0.03,0.00,-0.00
0.186,-0.04,0.00,0.01
0.203,0.01,0.00,-0.00
0.220,-0.00,-0.01,0.01
0.237,-0.02,0.01,-0.00
0.253,0.02,-0.01,0.01
0.270,-0.02,0.00,-0.00
0.287,-0.00,0.00,0.01
0.303,0.00,-0.00,0.00
0.320,0.01,0.00,0.00
0.351,-0.01,-0.00,0.01
0.371,0.00,-0.00,0.01
0.388,-0.02,0.00,0.00
0.418,0.00,-0.00,0.00
0.438,-0.01,0.00,0.00
0.455,0.00,-0.00,0.01
0.471,-0.01,0.00,0.00
0.488,-0.00,-0.00,0.01
0.505,-0.00,0.00,0.00
0.521,-0.01,0.00,0.00
0.538,0.00,-0.00,0.00
0.555,-0.01,0.00,0.01
0.571,-0.00,0.00,0.00
0.588,-0.00,0.00,0.00
0.604,-0.01,0.00,0.00
0.621,-0.00,-0.00,0.00
0.638,-0.01,0.00,0.00
0.654,-0.01,0.00,0.00
0.671,-0.00,-0.00,0.00
0.688,-0.01,0.01,0.15
0.705,0.00,-0.02,0.06
0.721,-0.01,0.02,0.06
0.738,-0.01,-0.02,0.21
0.755,0.01,0.01,-0.02
0.771,-0.03,-0.01,0.21
0.788,0.02,0.00,0.01
0.805,-0.02,0.01,0.15
0.822,-0.00,-0.02,0.08
0.838,0.00,0.02,0.08
0.855,-0.03,-0.02,0.10
0.871,0.00,0.05,0.29
0.888,0.02,0.09,0.09
0.905,0.02,-0.00,0.05
0.935,-0.01,0.01,-0.03
0.952,-0.01,0.00,0.16
0.968,-0.03,0.01,0.10
1.002,0.01,-0.01,0.14
1.019,-0.02,-0.00,0.20
1.036,0.02,0.00,0.04
1.056,-0.03,0.01,0.13
1.073,0.01,-0.00,0.09
1.089,-0.00,0.01,0.10
1.106,-0.02,-0.00,0.10
1.122,0.02,0.00,0.09
1.139,-0.02,0.00,0.09
1.156,-0.01,0.00,0.11
