time,wx,wy,wz
0.036,0.01,0.01,0.03
0.054,-0.01,-0.00,-0.01
0.071,-0.01,0.00,0.02
0.088,0.00,0.00,-0.01
0.114,0.00,0.00,0.00
0.133,-0.01,0.00,0.00
0.151,-0.01,-0.00,0.01
0.181,-0.01,-0.00,0.02
0.200,-0.00,0.00,-0.01
0.216,-0.01,0.00,0.03
0.235,-0.01,0.00,-0.02
0.267,-0.00,0.00,-0.03
0.283,-0.01,-0.00,0.03
0.300,-0.00,0.00,-0.02
0.316,-0.01,-0.00,0.02
0.332,-0.00,0.00,-0.01
0.347,-0.01,0.00,0.01
0.364,-0.00,-0.00,0.01
0.381,-0.00,0.00,-0.00
0.397,-0.01,-0.00,0.02
0.414,0.00,0.01,-0.02
0.431,-0.01,-0.00,0.03
0.447,-0.01,0.01,-0.04
0.464,-0.00,-0.00,0.05
0.481,-0.01,0.01,-0.03
0.497,-0.01,0.00,0.04
0.514,0.00,0.00,-0.03
0.531,-0.01,0.00,0.03
0.547,-0.00,0.00,-0.01
0.564,-0.01,-0.00,0.00
0.588,-0.00,0.01,-0.01
0.615,-0.01,0.01,-0.02
0.631,-0.00,-0.00,0.03
0.655,-0.01,0.00,-0.02
0.672,-0.00,-0.00,0.03
0.688,-0.01,0.00,-0.02
0.705,-0.01,-0.00,0.03
0.724,-0.00,0.00,-0.02
0.748,-0.00,0.00,-0.01
0.764,-0.01,0.01,0.02
0.781,-0.00,-0.00,-0.00
0.798,-0.01,0.00,0.00
0.814,-0.00,-0.00,0.01
0.831,-0.01,0.00,0.00
0.848,-0.00,0.00,0.00
0.865,-0.01,0.00,0.01
0.881,-0.01,-0.00,0.01
0.898,-0.01,0.00,-0.01
0.914,-0.01,-0.00,0.02
0.931,-0.01,0.00,-0.02
0.948,-0.00,-0.00,0.03
0.965,-0.01,0.01,-0.02
0.981,-0.01,-0.00,0.04
0.998,-0.00,0.01,-0.02
1.015,-0.01,-0.00,0.04
1.031,0.00,0.01,-0.03
