time,wx,wy,wz
0.008,-0.00,-0.00,-0.00
0.035,-0.01,0.01,0.01
0.055,-0.00,-0.01,-0.00
0.072,-0.01,0.00,0.01
0.089,0.00,-0.00,-0.00
0.105,-0.02,0.01,0.00
0.122,0.00,0.00,0.01
0.139,-0.00,0.00,0.00
0.155,-0.01,0.00,0.00
0.172,0.00,0.00,0.01
0.189,-0.03,-0.00,0.00
0.207,0.01,0.01,0.00
0.223,-0.01,0.00,0.01
0.239,0.01,-0.00,0.00
0.256,-0.02,-0.00,0.00
0.272,-0.00,0.01,0.00
0.289,-0.02,0.00,0.00
0.305,0.00,0.00,0.00
0.322,-0.02,0.00,0.01
0.339,-0.00,0.00,0.00
0.356,-0.01,0.00,0.01
0.372,0.00,0.00,0.00
0.389,-0.02,-0.00,0.01
0.406,0.00,0.00,0.00
0.422,-0.01,0.00,0.00
0.439,-0.00,-0.00,0.00
0.456,-0.01,0.00,0.00
0.472,-0.00,-0.00,0.00
0.489,-0.01,-0.00,0.00
0.506,0.01,0.00,0.00
0.522,-0.02,-0.00,0.00
0.539,0.01,-0.00,0.00
0.556,0.01,-0.00,0.00
0.585,-0.01,0.00,0.01
0.606,-0.02,-0.00,0.00
0.623,-0.00,0.01,0.01
0.652,-0.00,0.00,0.00
0.673,-0.01,0.00,0.00
0.690,-0.01,0.00,0.00
0.706,-0.01,0.00,0.00
0.723,-0.02,0.00,0.00
0.740,0.01,0.01,0.01
0.756,-0.01,-0.00,0.00
0.773,-0.00,0.00,0.00
0.790,-0.01,0.00,0.00
0.806,0.00,0.00,0.00
0.823,-0.02,0.01,0.00
0.840,0.00,-0.00,0.00
0.856,-0.03,0.00,0.00
0.873,0.01,0.01,0.00
0.890,-0.01,-0.00,0.01
0.906,-0.01,0.00,0.00
0.923,0.00,0.00,0.01
0.940,-0.01,-0.00,0.00
0.957,0.01,0.01,0.00
0.973,-0.02,-0.00,0.01
0.990,0.01,0.00,0.00
1.007,-0.02,0.01,0.00
1.023,0.00,-0.00,0.00
1.040,-0.01,0.00,0.00
1.057,0.00,0.01,0.00
1.073,-0.01,-0.00,0.00
1.090,-0.00,0.00,0.00
