time,wx,wy,wz
0.052,0.03,-0.01,0.01
0.066,0.07,-0.04,0.02
0.100,-0.00,-0.01,0.01
0.119,-0.03,0.02,-0.00
0.137,0.03,0.00,0.01
0.152,0.03,-0.03,0.01
0.169,-0.02,-0.01,0.00
0.186,-0.04,0.02,-0.00
0.203,-0.01,0.01,0.00
0.219,0.02,-0.01,0.01
0.236,0.01,-0.02,0.01
0.253,-0.02,-0.00,0.00
0.270,-0.02,0.04,0.00
0.286,0.01,0.02,0.01
0.303,0.01,-0.02,0.00
0.319,-0.01,-0.03,0.00
0.336,-0.02,0.03,0.00
0.353,-0.01,0.02,0.00
0.369,0.01,-0.01,0.01
0.386,0.00,-0.01,0.00
0.403,-0.00,0.03,0.00
0.420,-0.02,0.00,0.00
0.436,-0.01,-0.02,0.00
0.453,0.00,-0.01,0.00
0.470,0.00,0.03,0.00
0.487,-0.01,0.02,0.00
0.503,-0.01,-0.02,0.00
0.520,0.00,-0.00,0.00
0.550,-0.01,0.00,0.01
0.571,-0.01,-0.00,0.00
0.588,0.00,0.01,0.01
0.617,-0.00,0.01,0.00
0.633,-0.01,0.00,0.00
0.650,-0.01,-0.01,0.01
0.683,-0.00,0.00,0.00
0.700,-0.01,-0.01,0.00
0.717,-0.01,-0.01,0.00
0.750,0.00,0.02,0.00
0.767,-0.01,-0.00,0.00
0.783,-0.01,-0.01,0.00
0.800,-0.00,0.01,0.00
0.817,-0.01,-0.01,0.00
0.833,-0.01,-0.02,0.00
0.850,-0.01,-0.01,0.00
0.867,-0.00,0.01,0.00
0.883,-0.01,-0.01,0.00
0.900,-0.01,-0.00,0.01
0.917,-0.01,0.00,0.00
0.933,-0.01,-0.00,0.00
0.950,-0.00,0.01,0.00
0.967,-0.00,-0.00,0.00
0.983,-0.01,-0.00,0.00
1.000,-0.01,-0.00,0.00
1.017,-0.01,-0.01,0.00
1.033,-0.01,-0.00,0.01
1.050,-0.00,0.00,0.00
1.067,-0.01,-0.00,0.00
1.083,-0.00,0.02,0.01
1.100,-0.00,0.01,0.01
1.117,-0.01,-0.00,0.00
1.133,-0.00,0.01,0.00
1.150,-0.00,0.01,0.00
1.167,-0.01,-0.00,0.00
1.183,-0.00,-0.01,0.00
1.200,-0.00,0.00,0.00
1.217,-0.01,0.01,0.00
1.233,-0.01,-0.00,0.00
1.267,-0.01,-0.00,0.01
1.283,-0.00,0.02,0.00
1.300,-0.00,-0.00,0.00
1.333,-0.01,-0.02,0.01
1.350,1.17,5.14,0.19
1.367,1.00,9.31,0.08
