time,wx,wy,wz
0.012,-0.01,-0.00,0.00
0.029,-0.01,0.00,0.00
0.045,-0.01,-0.00,0.00
0.062,-0.01,0.00,0.00
0.079,-0.01,0.00,0.00
0.095,-0.01,0.00,0.00
0.112,-0.00,0.00,0.01
0.129,-0.01,0.00,0.00
0.145,-0.01,0.00,0.00
0.162,-0.00,0.00,0.00
0.179,-0.00,0.00,0.00
0.195,-0.00,0.00,0.00
0.212,-0.01,0.00,0.00
0.229,-0.01,0.00,0.00
0.245,-0.01,0.00,0.00
0.262,-0.01,0.00,0.00
0.279,-0.01,0.00,0.00
0.295,-0.00,0.00,0.00
0.311,-0.00,0.00,0.00
0.329,-0.01,0.00,0.00
0.345,-0.01,0.00,0.00
0.362,-0.01,0.00,0.00
0.379,-0.01,0.00,0.00
0.395,-0.00,0.00,0.00
0.412,-0.01,0.00,0.00
0.429,-0.00,0.00,0.00
0.445,-0.01,0.00,0.00
0.462,-0.00,0.00,0.00
0.478,-0.00,0.00,0.00
0.495,-0.01,0.00,0.00
0.512,-0.01,0.00,0.00
0.529,-0.01,0.00,0.00
0.545,-0.01,0.00,0.00
0.579,-0.00,0.00,0.00
0.595,-0.01,0.00,0.01
0.612,-0.00,0.00,0.00
0.645,-0.01,0.00,0.00
0.662,-0.01,0.00,0.00
0.679,-0.01,0.00,0.00
0.694,-0.00,0.00,0.00
0.712,-0.01,0.00,0.00
0.728,-0.01,0.00,0.00
0.745,-0.00,0.00,0.00
0.762,-0.01,0.00,0.00
0.779,-0.01,0.00,0.00
0.795,-0.01,0.00,0.00
0.812,-0.01,0.00,0.00
0.828,-0.00,0.00,0.00
0.845,-0.01,0.00,0.00
0.862,-0.00,0.00,0.00
0.879,-0.01,0.00,0.00
0.895,-0.01,0.00,0.00
0.912,-0.00,0.00,0.00
0.929,-0.01,0.00,0.00
0.945,-0.01,0.00,0.00
0.962,-0.01,0.00,0.01
0.979,-0.00,0.00,0.00
0.995,-0.00,0.00,0.00
1.012,-0.01,0.00,0.00
1.029,-0.00,0.00,0.01
1.045,-0.01,0.00,0.00
1.062,-0.01,0.00,0.00
1.079,-0.01,0.00,0.00
1.095,-0.00,0.00,0.00
1.112,-0.00,0.00,0.00
1.129,-0.01,0.00,0.00
1.162,-0.01,0.00,0.00
1.179,-0.01,0.00,0.00
1.195,-0.01,0.00,0.00
1.229,-0.01,0.00,0.00
1.245,-0.01,0.00,0.00
1.261,-0.01,0.00,0.00
1.278,-0.01,0.00,0.01
1.295,-0.01,0.00,0.00
1.312,-0.01,0.00,0.00
1.329,-0.01,0.00,0.00
1.345,-0.01,0.00,0.00
1.362,-0.01,0.00,0.00
1.379,-0.00,0.00,0.00
1.395,-0.00,0.00,0.00
1.412,-0.01,0.00,0.00
1.429,-0.00,0.00,0.00
1.445,-0.01,0.00,0.00
1.462,-0.00,0.00,0.00
1.478,-0.01,0.00,0.00
1.495,-0.01,0.00,0.00
1.512,-0.00,0.00,0.00
1.529,-0.01,0.00,0.00
1.545,-0.01,0.00,0.00
1.562,-0.01,0.00,0.00
1.579,-0.01,0.00,0.00
1.595,-0.00,0.00,0.00
1.612,-0.01,0.00,0.00
1.629,-0.01,0.00,0.00
1.645,-0.01,0.00,0.00
1.662,-0.01,0.00,0.00
1.679,-0.00,0.00,0.00
1.694,-0.01,0.00,0.00
1.712,-0.01,0.00,0.00
1.745,-0.00,0.00,0.00
1.762,-0.01,0.00,0.00
1.778,-0.00,0.00,0.00
1.812,-0.01,0.00,0.00
1.829,-0.01,-0.00,0.00
1.844,-0.00,0.00,0.00
1.862,-0.01,-0.00,0.00
1.879,-0.00,0.00,0.00
1.895,-0.01,0.00,0.00
1.912,-0.01,0.00,0.00
1.929,-0.01,0.00,0.00
1.945,-0.01,0.00,0.00
