time,wx,wy,wz
0.011,-0.02,-0.02,-0.02
0.021,0.03,0.01,-0.00
0.039,-0.02,0.00,0.01
0.067,0.01,-0.00,-0.02
0.091,-0.02,0.00,-0.01
0.107,0.01,-0.01,-0.00
0.123,-0.02,0.01,0.00
0.141,0.01,-0.00,-0.01
0.166,0.01,0.00,0.01
0.191,-0.01,-0.00,-0.00
0.207,0.01,0.00,-0.00
0.224,-0.03,0.00,-0.00
0.240,0.01,-0.00,0.00
0.267,-0.01,0.00,-0.00
0.292,-0.01,0.01,-0.00
0.317,0.00,-0.00,0.00
0.342,-0.03,0.00,-0.00
0.357,0.01,-0.00,0.00
0.374,-0.01,0.00,-0.00
0.391,-0.03,0.00,0.00
0.407,0.04,-0.01,-0.00
0.424,-0.05,0.01,-0.00
0.441,0.02,-0.00,0.00
0.457,-0.01,0.00,-0.00
0.472,-0.04,0.00,0.00
0.491,0.04,-0.00,-0.00
0.508,-0.04,0.00,-0.00
0.525,0.03,-0.00,-0.00
0.541,-0.02,0.00,-0.00
0.558,-0.01,0.00,0.00
0.574,0.03,-0.00,-0.00
0.592,-0.04,0.00,-0.00
0.607,0.01,-0.00,-0.00
0.624,-0.01,-0.00,0.00
0.643,-0.02,0.00,-0.00
0.658,0.03,-0.01,0.00
0.674,-0.04,0.00,-0.00
0.691,0.02,-0.00,0.00
0.708,-0.02,0.00,-0.00
0.725,0.01,-0.00,-0.00
0.740,0.01,-0.00,0.00
0.758,-0.03,0.00,-0.00
0.775,0.02,0.00,-0.00
0.791,-0.01,-0.00,-0.00
0.807,-0.01,0.00,-0.00
0.823,0.00,0.00,0.00
0.840,0.00,-0.00,-0.00
0.866,-0.01,0.00,-0.00
0.894,-0.00,-0.00,-0.00
0.917,-0.01,-0.00,-0.00
0.933,0.02,0.00,-0.00
0.950,-0.01,0.00,-0.00
0.966,-0.00,-0.00,0.00
0.983,-0.00,0.00,-0.00
1.000,0.00,-0.00,-0.00
1.016,-0.00,0.00,-0.00
1.033,-0.02,0.00,-0.00
1.050,0.02,-0.00,0.00
1.066,-0.03,0.00,-0.00
1.083,0.02,-0.00,-0.00
1.100,0.01,0.00,-0.00
1.116,-0.03,0.00,-0.00
1.133,0.04,-0.01,0.00
1.150,-0.04,0.01,-0.00
1.166,0.03,-0.00,0.00
1.183,-0.02,0.00,-0.00
1.216,0.03,-0.00,-0.00
1.233,-0.04,0.00,0.00
1.266,-7.91,0.20,0.26
1.283,-10.07,-0.13,-0.26
1.305,-9.02,0.06,-0.03
1.321,-9.51,0.10,0.11
1.338,-9.11,0.04,-0.09
1.354,-9.45,0.06,0.00
1.373,-9.19,0.07,0.04
1.387,-9.38,0.07,-0.05
1.404,-9.24,0.06,0.00
1.420,-9.34,0.04,0.02
1.437,-9.28,0.09,-0.04
1.453,-9.27,0.05,0.01
1.482,-9.28,0.09,-0.01
1.499,-9.25,0.05,-0.02
