time,wx,wy,wz
0.015,-0.05,-0.00,-0.00
0.032,-0.05,-0.03,-0.04
0.065,0.04,-0.02,0.03
0.098,-0.01,-0.01,-0.02
0.115,-0.00,0.05,0.02
0.148,0.02,-0.01,0.00
0.165,-0.03,-0.06,0.00
0.198,-0.02,0.02,0.01
0.215,0.02,0.04,-0.01
0.232,0.01,0.04,-0.00
0.248,-0.01,0.00,0.01
0.265,-0.02,-0.04,-0.00
0.282,-0.00,-0.04,-0.01
0.299,0.00,-0.01,0.01
0.315,-0.01,0.03,0.01
0.332,-0.00,0.06,-0.01
0.348,0.00,0.02,-0.01
0.365,-0.00,-0.02,0.01
0.382,-0.01,-0.03,-0.00
0.398,-0.01,-0.00,-0.01
0.415,-0.00,0.04,0.00
0.432,0.01,0.02,0.01
0.448,-0.00,-0.02,-0.01
0.465,-0.01,0.00,-0.00
0.482,-0.00,0.03,0.00
0.498,0.00,0.04,-0.00
0.515,0.00,0.03,-0.01
0.532,-0.00,0.02,0.00
0.548,-0.00,0.03,0.00
0.565,0.00,0.02,-0.00
0.582,-0.00,-0.02,-0.00
0.598,-0.01,-0.06,0.00
0.615,-0.01,-0.04,-0.00
0.632,-0.00,0.01,-0.00
0.648,0.00,0.07,0.00
0.665,-0.00,0.01,0.00
0.682,-0.00,-0.02,-0.00
0.698,-0.02,-0.10,-0.00
0.715,-0.02,-0.10,0.00
0.748,0.00,0.04,-0.00
0.765,0.00,0.05,0.00
0.798,0.00,0.03,-0.00
0.815,-0.00,0.01,-0.00
0.848,-0.00,-0.02,-0.00
0.882,-0.00,-0.02,-0.00
0.898,-0.01,-0.02,0.00
0.915,0.00,0.04,-0.00
0.948,-0.00,0.02,-0.00
0.965,0.00,0.04,0.00
0.982,-0.00,0.02,-0.00
0.998,-0.01,-0.01,-0.00
1.015,-0.01,-0.05,-0.00
1.032,-0.01,-0.03,-0.00
1.048,-0.00,0.01,-0.00
1.065,0.00,0.02,-0.00
1.082,-0.00,0.02,0.00
1.098,-0.00,0.02,-0.00
1.115,-0.00,0.01,-0.00
1.132,-0.01,-0.01,0.00
1.148,-0.01,-0.03,-0.00
1.165,-0.01,-0.05,-0.00
1.182,-0.01,-0.01,-0.00
1.198,-0.00,0.01,0.00
1.215,-0.00,0.00,-0.00
1.232,-0.01,-0.02,-0.00
1.249,-0.01,-0.03,0.00
1.265,-0.00,-0.02,-0.00
1.282,-0.00,0.01,-0.00
1.298,0.16,1.74,0.02
1.315,0.76,10.04,0.26
1.332,-0.20,9.14,-0.01
1.348,-0.51,9.43,-0.25
1.365,-0.44,9.37,-0.12
1.382,-0.13,9.24,0.14
1.398,0.13,9.35,0.26
1.415,0.18,9.25,0.18
1.432,0.04,9.36,-0.06
1.448,-0.15,9.26,-0.11
1.465,-0.16,9.38,0.05
1.482,-0.09,9.26,0.17
1.498,0.00,9.27,0.10
1.515,0.04,9.26,-0.02
1.532,-0.00,9.33,0.02
