time,wx,wy,wz
0.005,-0.02,0.02,0.01
0.022,0.02,-0.00,-0.01
0.039,0.01,0.01,-0.00
0.067,-0.01,-0.00,0.00
0.088,0.00,0.00,-0.01
0.108,0.00,-0.00,0.01
0.122,-0.02,0.01,-0.00
0.138,0.01,-0.00,0.00
0.155,-0.01,-0.00,-0.01
0.171,0.01,-0.00,-0.00
0.188,-0.01,0.00,-0.01
0.207,-0.00,0.00,0.01
0.221,0.00,0.00,-0.01
0.238,-0.01,-0.01,0.01
0.255,0.01,0.01,-0.01
0.271,-0.01,-0.01,0.00
0.288,0.00,0.00,-0.00
0.305,-0.01,0.01,0.00
0.321,-0.00,-0.01,-0.00
0.338,-0.00,0.00,-0.01
0.355,-0.01,0.00,0.01
0.371,0.00,0.00,-0.00
0.388,-0.01,0.00,0.00
0.405,0.00,0.01,-0.01
0.421,-0.01,-0.01,0.01
0.438,0.00,0.00,-0.02
0.455,-0.01,-0.01,0.01
0.472,-0.00,0.01,-0.01
0.500,-0.01,0.01,-0.00
0.522,-0.00,-0.00,0.00
0.538,-0.00,-0.00,-0.00
0.555,-0.00,0.00,0.00
0.571,-0.00,0.00,-0.01
0.600,-0.00,-0.00,0.01
0.622,-0.01,-0.00,-0.00
0.638,-0.00,0.00,-0.00
0.655,-0.01,0.00,0.00
0.672,-0.00,-0.00,-0.01
0.700,-0.00,-0.00,-0.00
0.716,-0.00,0.01,0.00
0.733,-0.00,0.00,-0.01
0.750,-0.01,-0.01,0.00
0.766,-0.00,0.01,-0.01
0.783,-0.01,-0.00,0.01
0.800,0.00,0.00,-0.01
0.816,-0.01,-0.00,-0.00
0.833,-0.00,0.00,-0.01
0.850,-0.00,-0.00,-0.00
0.866,-0.00,0.01,0.00
0.883,-0.00,-0.00,-0.00
0.900,-0.01,-0.00,-0.01
0.916,0.00,-0.00,0.00
0.933,-0.01,0.00,0.00
0.950,-0.00,0.00,-0.01
0.966,-0.00,-0.01,0.01
0.983,-0.00,0.02,-0.01
1.000,-0.01,0.00,0.11
1.016,-0.02,0.15,4.08
1.039,-0.35,0.21,7.91
1.055,-0.52,-0.05,9.62
1.071,0.04,-0.35,9.97
1.088,0.22,-0.40,9.94
1.105,0.12,0.42,9.62
1.121,-0.34,0.03,9.18
1.138,0.08,0.02,9.31
1.155,-0.15,0.23,9.29
1.172,-0.02,0.07,9.24
1.188,-0.11,0.11,9.34
1.205,-0.07,0.13,9.22
1.221,-0.07,0.08,9.33
1.238,-0.09,0.12,9.26
1.257,-0.07,0.10,9.30
1.271,-0.08,0.09,9.29
1.300,-0.08,0.12,9.26
1.317,-0.07,0.09,9.32
1.333,-0.07,0.13,9.26
1.350,-0.08,0.10,9.29
1.366,-0.07,0.10,9.27
1.383,-0.08,0.11,9.30
1.400,-0.08,0.12,9.29
1.416,-0.08,0.11,9.30
1.433,-0.08,0.10,9.28
1.450,-0.08,0.11,9.30
1.467,-0.08,0.12,9.27
1.483,-0.08,0.12,9.31
1.500,-0.07,0.11,9.27
1.517,-0.08,0.11,9.30
1.538,-0.07,0.11,9.26
1.556,-0.08,0.10,9.29
1.572,-0.08,0.12,9.27
1.588,-0.07,0.12,9.27
1.605,-0.08,0.11,9.30
1.622,-0.08,0.11,9.26
1.638,-0.06,0.10,9.28
1.655,-0.08,0.11,9.29
1.672,-0.06,0.11,9.26
1.688,-0.09,0.09,9.30
1.705,-0.06,0.10,9.26
1.721,-0.08,0.11,9.28
1.738,-0.08,0.09,9.28
1.755,-0.07,0.11,9.28
1.771,-0.09,0.09,9.27
1.788,-0.07,0.11,9.29
1.805,-0.08,0.11,9.29
1.821,-0.08,0.09,9.29
1.838,-0.08,0.11,9.29
1.855,-0.08,0.10,9.29
1.872,-0.08,0.11,9.31
1.888,-0.08,0.13,9.27
1.905,-0.08,0.09,9.32
1.922,-0.07,0.14,9.27
1.938,-0.08,0.08,9.33
1.955,-0.07,0.13,9.24
1.983,-0.08,0.11,9.32
2.000,-0.08,0.10,9.28
2.033,-0.07,0.11,9.30
2.050,-0.07,0.12,9.27
2.067,-0.09,0.10,9.29
2.083,-0.07,0.10,9.28
2.100,-0.08,0.11,9.27
2.117,-0.08,0.11,9.31
2.133,-0.08,0.11,9.25
2.150,-0.09,0.10,9.29
2.167,-0.08,0.10,9.26
2.183,-0.08,0.10,9.27
2.200,-0.08,0.11,9.28
2.217,-0.08,0.11,9.26
2.233,-0.08,0.09,9.30
2.250,-0.08,0.12,9.26
2.267,-0.07,0.10,9.30
2.283,-0.09,0.09,9.30
2.300,-0.07,0.12,9.28
2.322,-0.07,0.11,9.30
2.339,-0.07,0.11,9.28
2.355,-0.07,0.11,9.28
2.372,-0.07,0.10,9.30
2.389,-0.07,0.12,9.27
2.405,-0.09,0.11,9.30
2.422,-0.06,0.10,9.26
2.438,-0.08,0.10,9.29
2.455,-0.08,0.12,9.28
2.472,-0.07,0.10,9.28
2.488,-0.09,0.10,9.26
2.505,-0.08,0.11,9.30
2.522,-0.08,0.11,9.27
2.538,-0.08,0.10,9.29
2.555,-0.08,0.11,9.26
2.572,-0.08,0.12,9.29
2.588,-0.08,0.10,9.26
2.605,-0.07,0.10,9.29
2.622,-0.08,0.13,9.25
2.638,-0.08,0.10,9.29
2.655,-0.07,0.10,9.29
2.672,-0.08,0.09,9.27
2.689,-0.07,0.10,9.29
2.705,-0.08,0.11,9.28
2.722,-0.08,0.10,9.30
2.739,-0.07,0.11,9.27
2.755,-0.08,0.09,9.30
2.772,-0.08,0.12,9.29
2.789,-0.08,0.09,9.29
2.805,-0.08,0.11,9.27
2.833,-0.08,0.10,9.30
2.850,-0.08,0.13,9.27
2.867,-0.08,0.11,9.30
2.883,-0.07,0.11,9.29
2.900,-0.08,0.12,9.29
2.917,-0.08,0.10,9.29
2.933,-0.07,0.11,9.27
2.950,-0.08,0.12,9.29
2.967,-0.09,0.11,9.31
2.983,-0.06,0.12,9.25
3.000,-0.08,0.09,9.31
3.017,-0.07,0.11,9.25
3.033,-0.08,0.11,9.30
3.050,-0.08,0.11,9.30
3.067,-0.07,0.11,9.25
3.083,-0.09,0.09,9.32
3.100,-0.06,0.11,9.26
3.117,-0.09,0.11,9.31
3.133,-0.08,0.10,9.27
3.150,-0.07,0.11,9.27
3.173,-0.09,0.11,9.31
3.189,-0.07,0.10,9.27
3.206,-0.08,0.11,9.29
3.222,-0.08,0.11,9.28
3.239,-0.07,0.12,9.28
3.256,-0.08,0.11,9.29
3.272,-0.07,0.11,9.27
3.289,-0.07,0.11,9.29
3.305,-0.07,0.12,9.27
3.322,-0.07,0.09,9.29
3.339,-0.07,0.12,9.27
3.357,-0.07,0.12,9.30
3.372,-0.08,0.11,9.28
3.389,-0.07,0.10,9.28
3.406,-0.08,0.11,9.27
3.422,-0.08,0.11,9.29
3.439,-0.08,0.11,9.27
3.456,-0.08,0.10,9.28
3.472,-0.08,0.10,9.27
3.489,-0.09,0.12,9.29
3.517,-0.08,0.09,9.30
3.533,-0.08,0.11,9.26
3.550,-0.07,0.10,9.31
3.567,-0.09,0.12,9.27
3.583,-0.08,0.10,9.30
3.600,-0.08,0.11,9.28
3.617,-0.07,0.11,9.28
3.633,-0.08,0.11,9.30
3.650,-0.08,0.12,9.27
3.673,-0.06,0.10,9.28
3.689,-0.07,0.12,9.28
3.717,-0.07,0.10,9.29
3.733,-0.07,0.10,9.27
3.750,-0.08,0.11,9.29
3.767,-0.08,0.11,9.29
3.783,-0.08,0.11,9.29
3.800,-0.08,0.11,9.27
