time,wx,wy,wz
0.008,0.06,-0.01,-0.00
0.025,-0.04,0.01,-0.00
0.042,0.02,0.01,0.01
0.058,-0.00,-0.00,-0.00
0.074,-0.02,0.01,0.01
0.092,0.02,0.00,-0.01
0.108,0.02,0.01,0.01
0.125,-0.02,0.01,-0.00
0.142,0.01,0.01,0.01
0.158,0.04,-0.00,-0.00
0.175,-0.02,0.00,0.01
0.191,0.00,0.00,0.00
0.208,-0.01,0.00,0.00
0.225,-0.00,0.01,0.00
0.241,0.02,0.01,0.00
0.258,-0.01,0.00,0.01
0.275,0.01,0.01,0.00
0.291,0.02,0.00,0.00
0.308,-0.03,0.01,0.00
0.324,0.00,0.00,0.00
0.341,0.01,0.01,0.00
0.358,-0.00,0.01,-0.00
0.375,0.01,0.00,0.01
0.392,0.02,0.00,0.00
0.408,-0.00,0.00,0.00
0.425,-0.02,0.01,0.00
0.442,0.03,0.01,0.00
0.458,0.00,0.00,0.00
0.475,-0.01,-0.00,0.00
0.492,-0.00,0.01,0.01
0.508,0.03,0.01,0.00
0.525,-0.01,0.01,0.00
0.542,0.01,-0.00,0.00
0.558,0.01,0.01,-0.00
0.575,-0.01,0.01,0.00
0.592,-0.01,0.00,-0.00
0.608,0.03,0.01,0.01
0.625,-0.02,-0.00,-0.00
0.642,-0.04,0.01,0.01
0.658,0.05,-0.00,-0.00
0.675,-0.01,0.01,0.01
0.692,-0.02,0.00,-0.01
0.708,0.04,0.01,0.01
0.725,-0.03,0.01,0.00
0.742,-0.02,-0.00,-0.00
0.758,0.01,0.01,0.01
0.775,0.00,0.00,0.00
0.792,-0.01,0.00,-0.00
0.808,0.03,0.01,0.01
0.825,-0.02,0.00,0.00
0.842,-0.02,0.01,0.01
0.858,0.01,0.01,0.00
0.875,-0.02,0.01,0.00
0.892,0.01,0.01,0.01
0.908,0.03,0.01,0.00
0.925,-0.01,-0.01,0.00
0.941,-0.01,0.01,0.00
0.958,-0.01,0.00,0.00
0.975,0.00,0.00,0.00
0.992,0.01,0.00,0.00
1.008,-0.01,0.01,0.00
1.025,0.02,0.00,0.00
1.042,0.01,0.00,0.01
1.058,-0.02,0.01,0.00
1.075,0.04,-0.00,0.01
1.091,-0.01,0.00,0.00
1.108,-0.04,0.00,0.00
1.124,0.04,0.00,0.00
1.141,0.02,0.00,0.00
1.158,-0.03,0.01,0.00
1.175,0.02,-0.00,0.01
1.191,0.02,0.00,0.00
1.208,-0.04,0.01,0.00
1.225,-0.00,-0.00,0.00
1.242,0.03,0.00,0.01
1.258,-0.02,0.01,0.00
1.275,0.03,-0.00,0.00
1.292,-0.01,0.01,0.00
1.308,-0.01,0.00,0.00
1.325,0.01,0.01,0.00
1.342,-0.00,0.01,0.00
1.358,0.00,0.00,0.00
1.375,0.01,0.00,0.00
1.392,-0.01,0.01,0.00
1.408,0.00,0.01,0.00
1.425,-0.02,0.01,0.00
1.442,0.00,0.01,0.00
1.458,0.02,0.01,0.01
1.475,0.01,0.01,-0.00
1.492,-0.01,0.01,0.01
1.508,0.01,0.00,-0.00
1.525,-0.01,0.01,0.00
1.558,0.02,0.01,0.01
1.575,-0.01,0.01,-0.01
1.591,0.01,-0.01,0.01
1.608,0.01,0.02,-0.00
1.625,-1.99,0.02,-0.08
1.641,-8.41,-0.05,-0.46
1.658,-9.92,-0.21,0.09
1.675,-9.02,0.12,-0.09
1.692,-9.44,-0.12,-0.12
1.708,-9.21,0.06,-0.00
1.725,-9.32,-0.05,-0.11
1.742,-9.34,-0.01,-0.04
1.758,-9.27,-0.06,-0.07
1.775,-9.33,0.03,-0.07
1.792,-9.27,-0.04,-0.05
1.808,-9.32,0.02,-0.08
