time,wx,wy,wz
0.008,-0.12,0.01,-0.07
0.025,-0.02,-0.01,-0.03
0.041,0.08,0.01,0.08
0.057,0.03,0.02,-0.03
0.075,-0.07,0.03,-0.02
0.092,-0.01,0.01,0.04
0.108,0.05,-0.02,-0.02
0.125,-0.00,-0.04,-0.00
0.141,-0.05,-0.03,0.02
0.158,0.00,-0.05,-0.02
0.175,0.02,-0.06,0.01
0.192,-0.01,0.01,0.01
0.208,-0.01,0.05,-0.01
0.225,0.01,0.04,0.01
0.241,0.01,-0.02,0.01
0.258,-0.01,-0.04,-0.01
0.274,-0.01,-0.02,0.01
0.291,0.00,-0.03,0.01
0.308,0.00,-0.02,-0.00
0.325,-0.00,0.04,0.01
0.341,0.00,0.03,0.00
0.358,0.01,0.05,0.00
0.375,0.00,0.02,0.01
0.391,-0.00,0.01,0.00
0.408,0.00,-0.00,0.00
0.425,0.00,0.02,0.01
0.442,0.00,0.03,-0.00
0.458,0.00,0.00,0.00
0.475,-0.00,-0.01,-0.00
0.508,0.00,-0.00,0.01
0.525,-0.01,-0.05,-0.00
0.541,-0.01,-0.04,0.01
0.557,-0.00,-0.00,0.00
0.575,0.00,0.04,0.00
0.591,0.00,0.06,0.00
0.608,0.00,0.07,0.00
0.625,0.00,0.01,0.00
0.642,0.00,-0.02,0.01
0.658,-0.00,-0.05,0.00
0.675,-0.01,-0.05,0.00
0.691,-0.00,-0.01,0.01
0.708,0.01,0.04,0.00
0.725,0.01,0.06,0.00
0.742,0.01,0.03,0.01
0.758,0.00,0.02,0.00
0.775,-0.00,-0.03,0.00
0.792,-0.00,-0.03,0.00
0.808,0.00,-0.01,0.00
0.825,0.00,0.01,0.00
0.842,-0.00,0.02,0.00
0.858,0.00,0.05,0.00
0.875,0.00,0.04,0.01
0.892,0.01,0.07,0.00
0.908,0.01,0.05,0.00
0.925,-0.00,0.01,0.00
0.941,-0.00,-0.01,0.01
0.958,-0.00,-0.03,0.00
0.975,-0.00,-0.04,0.01
0.991,-0.01,-0.04,0.00
1.008,0.00,0.00,0.00
1.025,-0.00,0.01,0.00
1.041,0.00,0.05,0.00
1.058,0.50,5.71,0.06
1.075,0.02,9.89,-0.05
1.091,-0.76,9.30,-0.14
1.108,-0.60,9.41,-0.12
1.125,-0.05,9.15,0.12
1.141,0.16,9.53,0.23
1.158,-0.36,9.29,-0.12
1.191,-0.10,9.22,0.15
1.208,-0.12,9.50,0.04
1.225,-0.21,9.27,-0.04
1.241,-0.20,9.28,0.06
1.258,-0.17,9.30,0.10
1.275,-0.18,9.18,0.00
1.291,-0.15,9.54,0.03
1.308,-0.19,9.29,0.07
1.325,-0.18,9.34,0.03
1.341,-0.17,9.34,0.03
1.358,-0.18,9.26,0.05
1.375,-0.18,9.49,0.04
1.391,-0.19,9.26,0.03
1.408,-0.16,9.34,0.05
1.425,-0.17,9.31,0.04
1.441,-0.19,9.21,0.03
1.458,-0.18,9.53,0.04
1.474,-0.19,9.21,0.04
1.491,-0.16,9.38,0.04
1.507,-0.17,9.28,0.04
1.525,-0.19,9.25,0.04
1.541,-0.17,9.51,0.04
1.558,-0.17,9.26,0.04
1.575,-0.16,9.40,0.04
1.592,-0.18,9.27,0.04
1.608,-0.18,9.22,0.03
1.625,-0.18,9.44,0.05
1.641,-0.18,9.26,0.03
1.658,-0.17,9.43,0.04
1.675,-0.19,9.28,0.05
1.691,-0.18,9.24,0.04
1.708,-0.17,9.48,0.05
1.725,-0.18,9.24,0.04
1.741,-0.16,9.44,0.04
1.758,-0.18,9.21,0.04
1.775,-0.18,9.19,0.04
1.791,-0.17,9.45,0.04
1.808,-0.18,9.25,0.04
1.825,-0.16,9.43,0.04
1.841,-0.18,9.22,0.03
1.875,-0.18,9.22,0.04
1.891,-0.16,9.45,0.04
1.908,-0.17,9.28,0.05
1.925,-0.17,9.30,0.04
1.941,-0.17,9.45,0.05
1.958,-0.19,9.22,0.04
1.975,-0.17,9.47,0.04
1.991,-0.18,9.30,0.05
2.008,-0.17,9.35,0.04
2.025,-0.18,9.37,0.05
2.041,-0.20,9.18,0.04
2.058,-0.18,9.37,0.04
2.074,-0.19,9.16,0.04
2.091,-0.16,9.28,0.04
