time,wx,wy,wz
0.009,-0.01,-0.01,-0.03
0.025,-0.00,-0.02,0.01
0.042,0.01,0.03,0.00
0.059,0.00,0.01,-0.02
0.075,-0.01,-0.01,0.01
0.092,0.01,0.01,-0.01
0.109,-0.01,0.00,0.00
0.125,0.00,-0.00,0.00
0.142,-0.00,0.00,-0.02
0.159,-0.00,-0.00,0.04
0.175,0.01,0.02,-0.03
0.192,-0.01,-0.01,0.03
0.209,0.01,0.01,-0.00
0.225,-0.00,0.01,0.00
0.242,0.00,-0.00,0.03
0.259,-0.00,0.01,-0.03
0.275,-0.01,-0.01,0.03
0.292,0.01,0.02,-0.03
0.309,-0.01,-0.00,0.02
0.325,0.01,0.01,-0.01
0.342,-0.01,0.00,-0.00
0.358,0.00,0.00,0.02
0.375,0.00,0.01,-0.02
0.392,-0.00,0.00,0.03
0.409,0.01,0.01,-0.02
0.425,-0.01,-0.00,0.02
0.442,0.01,0.01,0.01
0.459,-0.01,0.01,-0.02
0.474,-0.00,-0.01,0.01
0.491,0.01,0.01,-0.00
0.508,-0.00,0.01,0.01
0.525,-0.00,0.00,0.01
0.559,-0.00,0.01,-0.01
0.575,0.00,-0.00,0.01
0.591,0.00,0.01,-0.01
0.608,-0.00,-0.00,0.02
0.625,0.00,0.01,-0.00
0.641,-0.00,0.00,0.01
0.659,0.00,0.01,-0.00
0.674,-0.00,0.00,-0.00
0.691,0.00,0.00,0.00
0.710,0.00,0.01,0.02
0.724,-0.00,0.01,-0.01
0.741,-0.01,-0.01,0.02
0.758,0.00,0.01,0.01
0.775,-0.00,0.01,-0.01
0.792,-0.00,-0.00,0.02
0.808,0.00,0.01,-0.02
0.826,-0.01,0.00,0.02
0.842,0.01,0.01,-0.00
0.858,-0.00,0.01,0.00
0.875,0.08,0.13,1.06
0.892,-0.20,-0.09,4.90
0.909,0.00,0.17,9.59
0.925,0.09,-0.22,9.53
0.941,-0.08,0.14,9.18
0.958,0.09,-0.05,9.44
0.975,-0.06,0.02,9.21
0.992,0.06,-0.04,9.46
1.009,-0.02,-0.00,9.21
1.025,0.04,-0.02,9.40
1.042,0.01,0.01,9.25
1.058,0.00,-0.03,9.37
1.075,0.02,-0.02,9.32
1.092,-0.01,-0.03,9.28
1.109,0.05,-0.03,9.31
1.125,-0.01,-0.00,9.25
1.142,0.04,-0.02,9.35
1.159,-0.01,-0.02,9.27
1.175,0.02,-0.04,9.38
1.192,0.02,-0.01,9.21
1.209,0.03,0.00,9.26
1.242,0.04,-0.00,9.32
1.259,0.00,-0.03,9.30
1.275,0.03,-0.00,9.32
1.291,0.01,-0.02,9.27
1.309,0.01,-0.01,9.39
1.324,0.01,-0.03,9.24
1.341,0.01,-0.03,9.37
1.358,0.02,0.00,9.21
1.375,0.01,-0.04,9.35
1.392,0.01,-0.01,9.29
1.409,-0.00,-0.03,9.38
1.425,0.03,-0.02,9.25
1.442,0.00,-0.02,9.37
1.459,0.04,0.01,9.25
1.474,-0.01,-0.02,9.39
1.492,0.03,-0.01,9.33
1.509,-0.01,-0.02,9.30
1.524,0.03,-0.03,9.30
1.541,0.02,-0.00,9.27
1.558,0.01,-0.02,9.37
1.575,0.01,-0.02,9.29
1.591,0.01,-0.03,9.32
1.608,0.03,-0.01,9.28
1.625,0.01,-0.02,9.32
1.641,0.02,-0.01,9.31
1.658,0.00,-0.03,9.33
1.675,0.02,-0.01,9.35
1.691,0.01,-0.01,9.27
1.708,0.02,-0.03,9.28
1.725,0.02,0.00,9.35
1.741,-0.00,-0.02,9.29
1.760,0.02,-0.04,9.38
1.774,0.01,0.01,9.25
1.791,0.02,-0.02,9.32
1.808,0.02,-0.01,9.31
1.825,-0.00,-0.02,9.33
1.842,0.02,-0.03,9.34
1.858,0.00,-0.02,9.28
1.874,0.03,-0.02,9.32
1.892,0.01,-0.03,9.39
1.925,-0.01,-0.05,9.35
1.942,0.04,0.01,9.26
1.959,-0.01,-0.02,9.34
1.975,0.03,-0.01,9.30
1.992,-0.01,-0.04,9.36
2.009,0.03,-0.01,9.32
2.025,0.01,-0.03,9.27
2.042,0.03,-0.00,9.34
2.059,0.01,-0.01,9.29
2.075,0.01,-0.02,9.38
2.092,0.01,-0.02,9.26
2.109,0.02,-0.03,9.31
2.125,0.02,-0.01,9.27
2.142,0.02,-0.01,9.34
2.159,0.01,-0.02,9.30
2.175,0.01,-0.04,9.32
2.192,0.02,-0.01,9.26
2.209,0.01,-0.01,9.33
2.225,0.02,-0.01,9.29
2.242,-0.00,-0.02,9.36
2.259,0.02,-0.03,9.32
2.275,0.01,-0.02,9.28
2.292,0.03,-0.01,9.33
2.309,0.02,0.00,9.29
2.325,0.00,-0.02,9.35
2.342,0.02,-0.03,9.31
2.359,0.01,-0.03,9.29
2.374,0.02,-0.02,9.30
2.391,0.01,-0.01,9.28
2.408,0.01,-0.02,9.36
2.424,0.01,-0.03,9.29
2.441,0.01,-0.03,9.35
2.458,0.02,-0.00,9.26
2.474,0.01,-0.02,9.33
2.491,0.02,-0.00,9.30
2.508,-0.01,-0.03,9.32
2.524,0.03,-0.02,9.35
2.541,0.01,0.00,9.29
2.559,0.03,-0.02,9.33
2.575,0.00,-0.04,9.39
2.609,-0.00,-0.01,9.40
2.625,0.05,-0.00,9.20
2.641,-0.02,-0.04,9.37
2.658,0.04,-0.01,9.25
2.675,-0.02,-0.05,9.36
2.692,0.04,0.00,9.30
2.708,-0.00,-0.02,9.29
2.724,0.03,-0.00,9.35
2.741,-0.00,-0.02,9.28
2.758,0.02,-0.03,9.39
2.774,0.02,-0.00,9.25
2.791,0.02,-0.03,9.34
2.808,0.02,-0.00,9.26
2.825,0.00,-0.03,9.35
2.841,0.02,-0.03,9.30
2.858,0.00,-0.03,9.33
2.874,0.03,-0.01,9.24
2.891,0.00,-0.02,9.35
2.908,0.03,-0.01,9.27
2.924,-0.01,-0.04,9.36
2.941,0.03,-0.01,9.34
2.958,0.01,-0.01,9.28
2.974,0.01,-0.02,9.34
2.991,0.02,-0.02,9.26
3.008,-0.01,-0.03,9.37
3.024,0.02,-0.03,9.28
3.041,0.00,-0.02,9.31
3.058,0.03,-0.01,9.27
3.074,0.01,-0.03,9.32
3.091,0.01,-0.01,9.32
3.108,0.00,-0.03,9.35
3.124,0.03,-0.01,9.29
3.141,0.00,-0.01,9.28
3.158,0.03,-0.03,9.32
3.174,-0.00,-0.00,9.33
3.191,0.02,-0.02,9.33
3.208,0.01,-0.03,9.28
3.224,0.02,-0.01,9.34
3.241,0.02,-0.00,9.27
3.258,0.00,-0.02,9.38
3.274,0.02,-0.01,9.29
3.291,0.03,-0.01,9.28
3.324,0.01,-0.02,9.35
3.341,0.01,-0.02,9.33
3.358,0.01,-0.02,9.32
3.374,0.02,-0.01,9.29
3.391,0.01,-0.02,9.29
3.408,0.01,-0.01,9.35
3.424,0.01,-0.02,9.31
3.441,0.01,-0.03,9.33
3.458,0.02,-0.01,9.30
3.474,0.02,-0.01,9.26
3.491,0.01,-0.02,9.34
3.508,0.02,-0.01,9.31
3.524,0.01,-0.02,9.30
3.541,0.01,-0.03,9.29
3.558,0.03,-0.01,9.30
3.574,0.01,-0.00,9.33
3.591,0.02,-0.02,9.32
3.608,0.01,-0.02,9.34
3.624,0.01,-0.02,9.29
3.641,0.02,-0.02,9.29
3.658,0.02,-0.01,9.34
3.674,0.02,-0.02,9.31
3.691,0.01,-0.02,9.33
3.708,0.01,-0.02,9.28
3.724,0.02,-0.02,9.31
3.741,0.01,-0.01,9.30
3.758,0.02,-0.02,9.33
3.774,0.01,-0.02,9.32
3.791,0.01,-0.03,9.30
3.808,0.02,-0.02,9.26
3.824,0.01,-0.00,9.34
3.841,0.02,-0.01,9.30
3.858,0.00,-0.03,9.34
3.874,0.02,-0.03,9.30
3.891,0.01,-0.01,9.26
3.908,0.02,-0.01,9.35
3.924,0.02,-0.01,9.28
3.941,0.02,-0.02,9.26
3.974,0.03,0.00,9.32
3.991,0.01,-0.01,9.29
4.008,0.00,-0.03,9.36
4.024,0.02,-0.02,9.29
4.041,0.00,-0.03,9.30
4.058,0.03,-0.01,9.31
4.074,0.01,-0.01,9.28
4.091,0.01,-0.02,9.36
4.108,0.01,-0.03,9.27
4.124,0.01,-0.03,9.33
4.141,0.02,-0.00,9.28
4.158,0.01,-0.02,9.29
4.174,0.01,-0.03,9.34
