time,wx,wy,wz
0.013,0.02,-0.05,-0.01
0.030,-0.02,0.03,0.01
0.046,-0.03,-0.04,-0.01
0.063,-0.02,0.03,0.01
0.080,0.02,-0.02,-0.00
0.113,0.02,0.01,0.01
0.130,-0.01,-0.01,0.00
0.146,-0.01,0.01,0.00
0.163,-0.01,-0.01,-0.00
0.180,-0.00,0.00,0.00
0.196,0.01,-0.02,0.01
0.230,-0.00,0.00,0.00
0.246,-0.01,-0.01,0.00
0.263,0.00,-0.00,0.00
0.280,0.01,-0.00,0.01
0.296,0.03,0.00,0.00
0.330,0.01,-0.00,0.00
0.346,-0.02,-0.01,-0.00
0.363,-0.01,-0.00,0.00
0.380,0.02,-0.00,0.00
0.396,0.02,0.00,0.01
0.430,0.01,-0.00,0.00
0.446,-0.01,-0.00,0.00
0.463,-0.02,-0.01,-0.00
0.480,-0.00,-0.01,-0.00
0.496,0.03,-0.00,0.00
0.530,0.02,-0.00,0.01
0.546,-0.01,-0.00,0.00
0.563,-0.02,-0.00,-0.00
0.580,-0.00,-0.00,0.00
0.596,0.00,-0.00,0.00
0.630,0.01,0.00,-0.00
0.646,0.00,0.00,0.00
0.663,-0.00,-0.01,0.00
0.680,0.22,0.00,0.01
0.696,-0.03,-0.03,-0.00
0.730,0.06,0.01,-0.00
0.746,0.14,0.02,0.02
0.763,0.12,-0.01,-0.00
0.780,0.13,-0.00,0.01
0.796,0.04,-0.02,-0.00
0.830,0.08,0.02,0.01
0.846,0.14,0.03,0.01
0.863,0.66,0.10,0.05
0.880,-0.24,-0.05,-0.01
0.896,-0.05,0.03,-0.01
0.913,0.04,-0.01,0.02
0.946,0.15,0.03,-0.01
0.963,0.06,-0.02,0.02
0.980,0.17,0.01,-0.01
0.996,0.10,-0.02,0.02
1.012,0.04,0.01,-0.01
1.046,0.13,0.02,0.01
1.063,0.06,-0.00,-0.00
1.080,0.17,0.00,0.00
1.096,0.10,-0.02,0.01
1.113,-0.01,-0.01,-0.01
1.146,0.12,0.03,0.01
1.163,0.09,0.01,0.00
1.180,0.07,-0.00,0.01
1.196,0.02,-0.01,-0.00
1.213,0.75,-0.08,0.01
1.246,-0.02,-0.01,0.03
1.263,-0.06,-0.00,-0.03
1.280,-0.04,-0.01,0.02
1.296,0.13,-0.00,-0.02
1.313,0.06,-0.02,0.02
1.346,0.11,0.02,-0.01
1.363,0.10,0.01,0.01
1.380,0.12,-0.00,0.00
1.396,0.12,-0.01,0.00
1.413,0.05,-0.03,0.01
1.446,0.05,0.01,-0.01
1.463,0.13,0.02,0.01
1.480,0.08,-0.01,-0.00
1.496,0.08,-0.00,0.00
1.513,0.13,-0.03,0.01
1.530,0.03,0.01,0.00
1.563,-0.09,-0.00,-0.01
1.580,0.17,-0.12,-0.03
1.596,0.14,0.03,0.04
1.612,0.04,-0.01,-0.02
1.630,0.05,0.02,0.01
1.663,0.14,0.01,0.01
1.679,0.11,0.00,0.01
1.696,0.09,-0.01,-0.00
1.713,0.15,-0.02,0.01
1.730,0.02,0.00,0.01
1.763,0.05,0.01,-0.01
1.780,0.19,0.01,0.02
1.796,0.11,-0.00,-0.00
1.813,0.11,-0.03,0.01
1.830,-0.00,-0.01,0.00
1.862,0.00,0.00,-0.01
1.879,0.15,0.01,0.01
1.896,0.15,0.00,0.01
1.913,0.18,0.09,0.02
1.930,-0.16,-0.01,-0.02
1.963,-0.02,0.01,0.01
1.980,0.07,-0.00,0.01
1.996,0.17,0.01,0.00
2.013,0.05,-0.02,0.01
2.030,0.03,-0.02,-0.01
2.063,0.06,0.01,0.01
2.080,0.16,0.02,-0.01
2.096,0.10,-0.01,0.01
2.113,0.10,-0.01,-0.01
2.130,0.10,-0.03,0.02
2.163,0.02,0.01,-0.00
2.180,0.11,0.02,0.00
2.196,0.17,0.00,0.02
2.213,0.07,-0.01,-0.01
2.230,0.04,-0.03,0.01
2.246,0.09,0.02,0.00
