time,wx,wy,wz
0.004,0.00,0.00,0.00
0.022,-0.01,-0.02,0.00
0.039,-0.00,-0.02,0.00
0.055,0.00,-0.00,-0.00
0.084,0.00,-0.01,0.00
0.105,-0.00,0.01,0.00
0.124,-0.00,-0.01,-0.00
0.139,0.00,0.01,0.00
0.155,0.00,0.02,0.00
0.184,-0.01,0.01,0.00
0.205,-0.00,0.01,0.00
0.224,0.01,0.02,-0.00
0.239,-0.01,-0.01,0.00
0.255,-0.01,-0.02,0.00
0.272,-0.00,-0.00,0.00
0.301,0.00,0.02,0.00
0.322,0.01,0.02,0.00
0.341,0.00,0.02,-0.00
0.367,0.00,0.02,0.00
0.389,-0.00,-0.03,0.00
0.407,-0.00,0.00,0.00
0.417,-0.00,0.02,0.00
0.434,0.00,0.01,-0.00
0.456,0.01,0.03,-0.00
0.475,0.00,0.02,0.00
0.501,0.01,0.03,0.00
0.523,0.00,0.00,0.00
0.540,0.00,0.02,0.00
0.556,-0.00,0.00,0.00
0.573,-0.00,-0.00,0.00
0.601,-0.00,-0.01,0.00
0.618,-0.00,-0.02,0.00
0.635,-0.00,0.00,-0.00
0.651,0.00,-0.00,0.00
0.685,-0.00,0.01,0.00
0.701,-0.00,0.02,0.00
0.718,0.00,0.02,0.00
0.735,-0.00,0.00,-0.00
0.751,-0.01,0.00,0.00
0.785,0.04,0.04,-0.00
0.801,-0.01,0.10,0.00
0.818,-0.01,0.17,-0.00
0.835,-0.01,0.05,0.00
0.852,0.02,0.01,0.01
0.885,-0.00,-0.06,0.01
0.902,-0.03,0.04,0.00
0.919,-0.01,0.17,-0.00
0.941,0.02,0.20,-0.00
0.958,0.18,0.48,-0.03
0.974,-0.01,-0.07,0.01
0.990,-0.01,0.02,-0.01
1.019,0.02,0.03,-0.01
1.035,0.07,0.22,0.00
1.052,0.01,0.10,0.00
1.085,-0.01,0.04,-0.00
1.102,-0.04,0.06,0.01
1.119,0.00,0.16,0.00
1.135,0.03,0.21,-0.01
1.152,0.02,0.12,0.00
1.169,0.01,0.04,0.00
1.202,-0.02,0.03,0.00
1.219,-0.01,0.15,-0.00
1.236,0.02,0.24,-0.01
1.252,0.01,0.12,0.00
1.269,0.00,-0.01,0.01
1.302,-0.03,-0.02,0.01
1.319,0.19,0.86,-0.02
1.336,-0.05,0.23,0.01
1.359,-0.03,0.05,-0.01
1.375,0.02,0.01,0.00
1.391,0.00,-0.05,0.01
1.419,-0.02,0.08,-0.00
1.436,0.00,0.26,-0.01
1.453,-0.00,0.13,0.01
1.469,0.01,0.00,0.01
1.503,-0.01,-0.03,0.01
1.519,-0.02,0.06,0.00
1.536,0.01,0.20,-0.01
1.553,0.01,0.18,-0.00
1.570,0.01,0.06,0.01
1.603,-0.02,-0.03,0.01
1.620,-0.02,0.07,0.00
1.636,0.00,0.19,-0.01
1.653,-0.01,0.05,0.01
1.670,-0.13,-0.09,0.04
1.703,-0.08,-0.03,0.01
1.720,-0.02,-0.05,-0.01
1.737,0.03,0.18,0.00
1.759,0.03,0.27,0.00
1.776,0.01,0.17,-0.00
1.792,-0.01,0.04,0.00
1.809,-0.02,0.05,0.01
1.837,0.01,0.17,-0.00
1.853,0.02,0.17,-0.00
1.870,0.01,0.11,0.00
1.887,-0.01,-0.02,0.01
1.920,-0.02,0.01,0.00
1.937,-0.01,0.10,-0.00
1.953,0.01,0.13,-0.00
1.970,0.03,0.13,-0.00
1.987,0.01,-0.00,0.01
2.020,0.00,0.03,-0.00
2.037,-0.08,-0.35,0.02
2.054,-0.03,-0.02,-0.00
2.070,0.01,0.02,-0.01
2.087,0.06,0.07,0.00
2.121,-0.01,0.04,0.01
2.137,-0.03,0.14,-0.00
2.154,-0.01,0.17,-0.00
2.171,0.02,0.18,0.00
2.187,0.02,0.03,0.00
2.221,-0.02,0.00,0.01
2.237,-0.02,0.14,0.00
2.254,-0.00,0.15,-0.00
2.271,0.03,0.19,-0.00
2.287,0.03,0.08,0.00
2.321,-0.02,0.01,0.01
2.337,-0.02,0.11,-0.00
2.354,0.01,0.20,-0.00
2.371,0.25,0.70,-0.03
2.388,-0.01,0.12,0.01
2.421,-0.02,0.06,-0.01
2.438,0.01,0.02,-0.00
2.454,0.03,0.11,0.01
2.471,0.00,0.10,-0.00
2.488,-0.00,0.09,-0.00
2.504,-0.02,0.02,0.01
2.538,-0.02,0.12,0.00
2.554,0.01,0.19,-0.01
2.571,0.01,0.14,0.00
2.588,0.02,0.09,0.00
2.604,-0.00,-0.01,0.01
2.638,-0.03,0.05,0.00
2.655,-0.01,0.17,-0.00
2.671,0.00,0.14,-0.00
2.688,0.02,0.10,0.00
2.705,-0.02,-0.06,0.01
2.738,0.12,0.75,-0.00
2.755,-0.07,0.17,0.01
2.771,-0.03,0.03,-0.01
2.788,0.02,-0.01,0.00
2.805,0.03,-0.04,0.01
2.838,-0.03,0.02,-0.00
2.855,-0.03,0.17,-0.00
2.872,-0.01,0.12,0.00
2.888,0.01,0.06,0.00
2.905,0.00,-0.01,0.01
2.938,-0.02,0.01,0.01
2.955,-0.01,0.17,-0.00
2.972,0.01,0.20,-0.00
2.988,0.00,0.08,0.00
3.005,0.02,0.02,0.00
3.039,-0.01,0.00,0.00
3.055,-0.01,0.11,-0.00
3.072,-0.02,-0.01,0.00
3.089,-0.15,-0.19,0.06
3.105,-0.10,0.01,0.00
3.122,-0.02,-0.02,-0.01
3.155,0.02,-0.03,0.01
3.172,0.05,0.21,-0.00
3.189,0.01,0.22,-0.01
3.205,-0.02,0.06,0.01
3.222,-0.02,0.01,0.01
3.256,-0.01,0.09,0.00
3.272,0.01,0.17,-0.00
3.289,0.03,0.22,-0.00
3.306,-0.01,0.03,0.01
3.322,-0.01,-0.02,0.00
3.356,-0.02,0.04,0.00
3.372,-0.00,0.11,-0.00
3.389,0.03,0.21,-0.00
3.406,0.02,0.09,0.00
3.422,0.07,0.11,-0.01
3.456,-0.06,-0.26,0.02
3.472,-0.03,-0.00,-0.01
3.489,0.01,0.01,-0.01
3.506,0.03,0.01,0.01
3.523,-0.01,-0.09,0.01
3.556,-0.05,0.01,0.00
3.573,-0.03,0.13,0.00
3.589,0.02,0.22,-0.00
3.606,0.03,0.14,0.00
3.623,-0.00,0.00,0.01
3.656,-0.03,0.04,0.00
3.673,-0.02,0.12,-0.00
3.689,0.02,0.21,-0.00
3.706,0.02,0.15,-0.00
3.723,-0.00,0.01,0.01
3.756,-0.03,-0.00,0.01
3.773,-0.02,0.14,0.00
3.790,0.28,0.89,-0.04
3.806,-0.02,0.20,0.01
3.823,-0.03,0.06,-0.02
3.840,0.02,0.01,-0.00
3.873,0.02,0.03,0.01
3.890,0.00,0.11,-0.01
3.906,0.01,0.19,-0.00
3.923,-0.01,0.04,0.01
3.940,-0.02,-0.01,0.01
3.973,-0.01,0.10,0.00
3.990,-0.00,0.12,-0.00
4.007,0.02,0.17,-0.00
4.023,0.01,0.06,0.00
4.040,-0.02,-0.03,0.01
4.073,-0.03,0.07,0.00
4.090,-0.00,0.13,-0.00
4.107,0.01,0.15,-0.00
4.124,-0.04,-0.10,0.01
4.140,0.00,0.49,0.02
4.174,-0.10,0.12,0.01
4.190,-0.03,0.01,-0.01
4.207,0.02,-0.03,0.01
4.223,0.05,0.05,0.00
4.240,-0.01,-0.01,0.00
4.274,-0.06,0.08,0.01
4.290,-0.02,0.14,0.00
4.307,0.02,0.16,-0.00
4.324,0.02,0.09,0.00
4.340,0.00,0.02,0.00
4.374,-0.04,0.06,0.01
4.390,-0.01,0.15,-0.00
4.407,0.02,0.15,-0.00
4.424,0.01,0.07,0.00
4.441,0.01,0.00,0.00
4.457,-0.03,0.02,0.01
4.491,-0.01,0.02,0.00
4.507,-0.13,-0.42,0.04
4.524,-0.05,-0.03,-0.00
4.541,0.00,-0.01,-0.01
4.557,0.02,-0.03,0.01
4.591,0.01,0.12,0.00
4.607,-0.01,0.19,-0.01
4.624,-0.02,0.10,0.01
4.641,0.01,0.05,0.00
4.658,-0.01,0.01,0.01
4.691,-0.01,0.13,-0.00
4.708,0.01,0.19,-0.01
4.724,-0.00,0.08,0.01
4.741,0.01,0.01,0.00
4.758,-0.01,-0.01,0.01
4.791,-0.02,0.08,0.00
4.808,0.00,0.19,-0.01
