time,wx,wy,wz
0.021,-0.01,-0.01,0.02
0.037,0.00,-0.00,-0.00
0.054,0.00,0.00,-0.01
0.070,-0.01,-0.01,0.01
0.087,0.00,-0.00,0.01
0.120,-0.00,0.00,-0.01
0.138,-0.00,-0.00,0.00
0.154,-0.00,-0.00,0.02
0.171,0.00,0.00,-0.01
0.187,-0.00,0.00,-0.00
0.220,0.00,-0.00,0.00
0.237,0.00,-0.00,0.00
0.254,-0.00,-0.00,-0.00
0.271,-0.00,-0.00,0.01
0.288,-0.00,-0.00,-0.00
0.320,0.00,-0.00,-0.01
0.338,-0.00,-0.00,0.01
0.355,0.00,-0.00,0.01
0.371,-0.00,-0.00,-0.01
0.387,0.00,-0.01,0.00
0.404,-0.00,-0.01,0.01
0.437,0.00,-0.00,-0.00
0.454,-0.00,-0.00,-0.00
0.470,0.00,-0.00,0.00
0.487,0.00,0.00,0.00
0.504,0.00,0.00,-0.00
0.537,-0.00,-0.00,0.01
0.554,0.00,-0.00,0.01
0.570,-0.00,-0.00,-0.00
0.587,-0.00,-0.00,-0.00
0.604,0.00,-0.00,0.01
0.637,-0.00,-0.00,-0.00
0.654,0.00,-0.00,-0.01
0.670,-0.00,-0.00,0.01
0.687,0.00,-0.00,0.01
0.704,-0.00,0.00,-0.01
0.737,0.00,0.00,0.00
0.754,-0.00,-0.00,0.01
0.770,0.00,-0.00,-0.01
0.787,-0.00,-0.00,-0.00
0.804,0.00,-0.00,0.01
0.837,0.00,-0.00,0.00
0.854,-0.00,-0.00,-0.01
0.870,0.00,-0.00,0.01
0.887,-0.00,-0.00,-0.00
0.904,-0.00,-0.00,0.00
0.937,0.00,-0.00,-0.00
0.954,0.00,0.00,0.01
0.971,0.00,-0.00,-0.00
0.988,-0.00,-0.00,0.00
1.005,-0.00,-0.00,0.00
1.021,0.00,-0.00,0.00
1.054,-0.00,-0.00,0.00
1.070,0.00,-0.00,-0.00
1.087,-0.00,-0.00,-0.00
1.104,0.00,-0.00,0.00
1.120,-0.00,-0.00,0.00
1.154,-0.00,-0.00,-0.00
1.170,-0.00,-0.00,0.01
1.187,-0.00,-0.00,-0.00
1.204,-0.00,-0.00,0.00
1.220,-0.00,-0.00,0.00
1.254,0.00,-0.00,0.00
1.271,-0.00,-0.00,-0.00
1.287,0.00,-0.00,0.01
1.304,-0.00,-0.00,0.00
1.320,0.00,-0.00,-0.00
1.354,-0.00,-0.00,0.00
1.370,0.00,-0.00,0.00
1.388,-0.00,-0.00,0.00
1.405,-0.00,-0.00,0.00
1.421,-0.00,0.00,0.00
1.454,0.00,-0.00,-0.00
1.470,0.00,-0.00,0.00
1.487,-0.00,-0.00,-0.00
1.504,-0.00,-0.00,0.00
1.520,-0.01,-0.00,0.00
1.554,0.00,-0.00,0.00
1.570,-0.00,-0.00,-0.00
1.587,-0.00,0.00,0.00
1.604,-0.00,-0.00,0.00
1.620,-0.00,-0.00,-0.00
1.654,-0.01,-0.00,-0.01
1.671,0.00,-0.00,0.01
1.687,-0.00,-0.00,0.00
1.704,0.00,-0.01,-0.01
1.720,-0.00,-0.01,0.01
1.737,0.00,-0.01,0.01
1.770,0.00,-0.00,-0.00
1.787,0.00,-0.00,-0.00
1.805,-0.00,-0.00,0.02
1.822,0.00,-0.00,-0.00
1.838,0.00,0.00,-0.00
1.870,-0.00,-0.00,0.00
1.887,-0.00,0.00,0.01
1.904,-0.00,-0.00,-0.01
1.920,0.00,-0.00,0.00
1.937,-0.00,-0.00,0.01
1.970,-0.00,-0.00,0.01
1.987,0.00,-0.00,-0.01
2.004,0.00,-0.00,0.00
2.020,-0.00,-0.00,0.00
2.037,0.00,-0.00,0.00
2.070,-0.00,0.00,-0.00
2.087,0.00,-0.00,0.00
2.104,-0.00,-0.00,0.01
2.120,-0.00,-0.00,-0.01
2.137,-0.01,-0.00,0.00
2.170,0.00,-0.01,0.01
2.187,-0.00,-0.00,-0.00
2.206,-0.00,-0.00,-0.01
2.222,-0.00,0.00,0.26
2.239,0.00,0.04,-0.01
2.255,0.00,0.02,0.14
2.287,-0.01,0.00,0.11
2.304,0.00,0.00,0.03
2.320,-0.00,-0.00,0.15
2.337,-0.00,0.01,0.08
2.354,0.00,-0.00,0.09
2.387,-0.01,-0.02,0.07
2.404,-0.01,-0.02,0.87
2.420,0.01,0.13,-0.18
2.437,0.02,0.10,-0.16
2.454,-0.02,-0.01,0.22
2.487,-0.00,-0.03,0.12
2.504,0.01,-0.01,-0.07
2.520,-0.01,-0.03,0.26
2.537,0.00,0.00,0.04
2.554,0.00,-0.00,0.09
2.587,-0.00,-0.02,0.19
2.604,0.00,0.02,-0.06
2.623,0.00,0.00,0.12
2.639,-0.01,-0.01,0.18
2.655,0.00,0.01,-0.02
2.687,-0.00,-0.02,0.14
2.704,-0.00,-0.01,0.10
2.720,0.00,0.01,-0.01
2.737,-0.01,-0.00,0.02
2.754,-0.03,-0.17,0.26
2.787,-0.02,-0.08,0.26
2.804,0.02,0.08,-0.18
2.820,0.00,0.06,-0.05
2.837,-0.01,0.01,0.29
2.854,0.01,0.03,0.01
2.887,0.01,-0.00,0.08
2.904,-0.01,-0.02,0.18
2.920,0.01,0.00,-0.03
2.937,0.00,-0.01,0.16
2.954,0.00,0.00,0.14
2.987,0.01,0.00,0.03
3.004,-0.01,-0.02,0.18
3.023,-0.00,0.01,-0.00
3.039,0.00,0.00,0.08
3.056,0.00,-0.01,0.20
3.072,-0.00,0.01,0.05
3.104,0.00,0.02,0.11
3.120,0.02,-0.01,-0.33
3.137,-0.04,-0.15,0.30
3.154,0.00,-0.05,-0.00
3.170,0.01,0.03,-0.10
3.204,-0.02,-0.01,0.20
3.220,0.01,0.01,0.10
3.237,0.01,0.03,-0.03
3.254,-0.01,-0.00,0.28
3.270,0.00,0.02,0.04
3.304,-0.00,-0.01,0.04
3.320,-0.01,-0.02,0.19
3.337,0.00,0.01,-0.04
3.354,-0.00,-0.00,0.15
3.370,-0.00,-0.00,0.17
3.404,0.01,0.01,-0.03
3.420,-0.00,-0.01,0.09
3.439,-0.00,-0.01,0.12
3.455,0.02,0.09,0.76
3.472,0.04,0.16,-0.41
3.489,0.00,-0.01,0.00
3.520,-0.03,-0.08,0.19
3.537,0.01,-0.03,-0.03
3.554,-0.00,-0.01,-0.01
3.570,-0.01,-0.03,0.30
3.604,0.01,0.01,-0.03
3.620,0.00,-0.00,0.10
3.637,-0.01,-0.00,0.16
3.654,0.01,0.02,-0.02
3.670,0.01,-0.01,0.22
3.704,-0.00,0.00,0.06
3.720,0.00,-0.00,0.07
3.737,-0.01,-0.01,0.16
3.754,0.00,0.02,0.02
3.770,0.01,0.00,0.10
3.787,-0.01,-0.02,0.10
3.820,-0.02,-0.07,0.71
3.837,0.00,0.08,-0.03
3.856,0.04,0.12,-0.20
3.872,-0.02,0.02,0.18
3.889,-0.01,-0.01,0.18
3.920,0.01,0.00,-0.05
3.937,-0.01,-0.03,0.19
3.954,0.00,-0.01,0.07
3.970,0.01,0.00,0.06
3.987,-0.01,-0.02,0.21
4.020,-0.00,0.00,0.01
4.037,0.01,-0.01,0.08
4.054,-0.01,-0.01,0.15
4.070,0.01,0.02,0.01
4.087,-0.00,-0.01,0.14
4.120,-0.01,-0.01,0.12
4.137,0.01,0.01,-0.03
4.154,-0.01,-0.00,-0.01
4.170,-0.03,-0.14,0.03
4.187,-0.04,-0.12,0.29
4.220,0.03,0.03,-0.11
4.237,0.01,0.06,-0.07
4.256,-0.02,0.01,0.24
4.272,0.01,0.03,0.10
4.289,0.01,0.01,0.03
4.305,-0.01,-0.02,0.21
4.337,0.00,0.00,-0.01
4.354,0.00,-0.01,0.12
4.370,-0.01,-0.01,0.11
4.387,0.01,-0.01,0.05
4.404,-0.00,-0.02,0.18
4.437,-0.00,0.01,0.01
4.454,0.00,0.00,0.06
4.470,-0.01,-0.00,0.24
4.487,0.01,0.02,0.01
4.504,0.01,0.04,0.32
4.537,0.02,0.05,-0.42
4.554,-0.04,-0.11,0.19
4.570,-0.02,-0.08,0.10
4.587,0.03,-0.01,-0.03
4.604,-0.01,-0.02,0.16
4.637,-0.01,-0.00,0.17
4.654,0.01,0.03,-0.06
4.673,-0.00,0.01,0.23
4.689,0.00,0.01,0.09
4.706,0.01,0.00,0.04
4.722,-0.01,-0.02,0.18
4.754,0.00,0.01,-0.03
4.770,0.01,-0.00,0.12
4.787,-0.01,-0.00,0.18
4.804,0.00,0.01,-0.01
4.837,-0.00,-0.02,0.11
4.854,-0.01,-0.01,0.09
4.870,0.02,0.06,0.88
4.887,0.04,0.17,-0.31
4.904,0.02,0.06,-0.11
4.937,-0.05,-0.07,0.18
4.954,0.00,-0.04,0.04
4.970,0.01,-0.01,-0.07
4.987,-0.02,-0.03,0.29
5.004,0.00,0.00,0.03
5.020,0.01,-0.00,0.06
5.054,-0.01,-0.01,0.18
5.070,0.00,0.02,-0.02
5.089,0.00,0.01,0.20
5.106,-0.01,0.00,0.11
5.122,0.01,-0.00,0.04
5.154,-0.00,-0.02,0.16
5.170,-0.01,0.01,0.05
5.187,0.01,0.01,0.05
5.204,-0.00,-0.02,0.08
5.220,-0.03,-0.13,0.58
5.254,-0.00,0.02,0.11
5.270,0.05,0.12,-0.23
5.287,-0.01,0.03,0.07
5.304,-0.02,-0.01,0.27
5.320,0.02,0.00,-0.03
5.354,-0.01,-0.03,0.16
5.370,-0.02,-0.02,0.11
5.387,0.01,0.01,0.01
5.404,0.00,-0.02,0.21
5.420,-0.01,0.00,0.07
5.454,0.00,-0.01,0.05
5.470,-0.01,-0.01,0.14
5.490,0.00,0.02,-0.00
5.506,0.01,-0.00,0.11
5.522,-0.01,-0.01,0.18
5.539,0.00,0.01,-0.02
5.570,0.01,0.00,-0.03
5.587,-0.03,-0.10,-0.16
5.604,-0.06,-0.17,0.28
5.620,0.01,-0.02,-0.03
5.654,0.03,0.05,-0.13
5.670,-0.02,0.00,0.18
5.687,0.00,0.03,0.11
5.704,0.02,0.03,0.01
5.720,-0.02,-0.01,0.24
5.737,-0.00,-0.00,0.03
5.770,0.01,-0.01,0.06
5.787,-0.01,-0.01,0.18
5.804,-0.00,0.01,0.01
5.820,0.00,-0.01,0.19
5.837,-0.01,-0.00,0.08
5.870,0.01,-0.00,0.01
5.887,-0.01,-0.01,0.17
5.907,-0.01,0.01,0.08
5.923,0.02,0.06,0.60
5.939,0.05,0.11,-0.51
5.956,-0.04,-0.10,0.15
5.987,-0.04,-0.10,0.15
6.004,0.04,-0.00,-0.10
6.020,0.00,-0.01,0.10
6.037,-0.02,-0.02,0.25
6.070,0.02,0.03,-0.07
6.087,-0.00,0.00,0.19
6.104,-0.01,0.02,0.14
6.120,0.02,0.01,-0.02
6.137,-0.01,-0.02,0.24
6.170,-0.01,0.01,0.03
6.187,0.01,0.00,0.03
6.204,-0.01,-0.01,0.20
6.220,0.00,0.01,0.03
6.237,0.01,-0.00,0.07
6.270,-0.01,-0.02,0.10
6.287,-0.00,0.02,0.93
6.304,0.05,0.17,-0.20
6.323,0.04,0.10,-0.17
6.339,-0.05,-0.05,0.17
6.356,-0.01,-0.04,0.09
6.387,0.02,-0.01,-0.07
6.404,-0.02,-0.02,0.23
6.420,-0.00,-0.00,0.08
6.437,0.02,-0.00,0.07
6.454,-0.02,-0.01,0.18
6.487,0.01,0.01,-0.01
6.504,0.01,0.00,0.14
6.520,-0.02,0.00,0.15
6.537,0.00,-0.00,0.03
6.554,0.00,-0.02,0.15
6.587,-0.01,0.00,0.04
6.603,0.01,0.01,0.04
6.620,-0.00,-0.02,0.05
6.637,-0.05,-0.16,0.36
6.654,-0.02,-0.05,0.23
6.687,0.06,0.10,-0.20
6.704,0.01,0.05,0.00
6.723,-0.03,0.00,0.30
6.739,0.02,0.02,-0.02
6.756,0.00,-0.02,0.12
6.773,-0.03,-0.02,0.15
6.804,0.01,0.01,-0.03
6.820,-0.00,-0.01,0.20
6.837,-0.01,-0.00,0.11
6.854,0.02,-0.00,0.03
6.887,-0.01,-0.01,0.16
6.903,-0.01,0.01,0.00
6.920,0.01,0.00,0.06
6.937,-0.01,-0.02,0.19
6.954,-0.00,0.00,0.04
6.987,0.02,0.02,0.05
7.004,0.00,-0.05,-0.36
7.020,-0.07,-0.17,0.27
7.037,-0.00,-0.05,0.03
7.054,0.05,0.05,-0.12
7.070,-0.02,-0.00,0.19
7.104,-0.01,0.01,0.12
7.120,0.04,0.04,-0.04
7.140,-0.01,-0.01,0.26
7.156,-0.01,0.00,0.07
7.173,0.01,-0.01,0.05
7.190,-0.01,-0.02,0.16
7.220,0.00,0.01,-0.01
7.237,0.01,-0.00,0.19
7.254,-0.01,0.00,0.14
7.270,0.00,0.00,-0.02
7.304,0.00,-0.02,0.16
7.320,-0.01,0.01,0.04
7.337,0.03,0.07,0.76
7.354,0.05,0.15,-0.44
7.370,-0.02,-0.04,0.02
7.404,-0.06,-0.10,0.18
7.420,0.02,-0.02,-0.02
7.437,0.02,-0.00,0.04
7.454,-0.03,-0.02,0.30
7.470,0.02,0.02,-0.05
7.504,0.02,-0.00,0.13
7.520,-0.03,0.01,0.14
7.537,0.01,0.01,-0.01
7.557,0.01,-0.02,0.21
7.573,-0.02,-0.00,0.05
7.590,0.01,-0.00,0.03
7.620,-0.01,-0.01,0.17
7.637,-0.01,0.01,0.02
7.654,0.02,-0.01,0.07
7.670,-0.01,-0.02,0.08
7.687,-0.02,-0.03,0.75
7.720,0.03,0.12,0.01
7.737,0.07,0.14,-0.21
7.754,-0.04,-0.00,0.10
7.770,-0.03,-0.05,0.23
7.787,0.03,-0.01,-0.09
7.820,-0.02,-0.02,0.18
7.837,-0.02,-0.00,0.11
7.853,0.03,0.00,0.04
7.870,-0.01,-0.02,0.23
7.887,-0.02,0.01,-0.01
7.920,0.02,-0.00,0.17
7.937,-0.00,0.03,0.09
7.957,0.01,0.02,0.03
7.973,-0.00,-0.03,0.22
7.990,-0.01,0.00,0.06
8.007,0.01,0.01,-0.01
8.037,-0.01,-0.01,0.02
8.054,-0.05,-0.16,0.10
8.070,-0.04,-0.09,0.30
8.087,0.06,0.08,-0.13
8.120,0.03,0.07,-0.04
8.137,-0.04,0.01,0.25
8.153,0.01,0.01,0.06
8.170,0.01,-0.02,0.08
8.187,-0.03,-0.03,0.20
8.220,0.01,0.01,-0.04
8.237,0.01,-0.01,0.14
8.253,-0.02,0.02,0.17
8.270,0.01,0.01,-0.03
8.287,0.00,-0.02,0.18
8.320,-0.01,0.00,0.04
8.337,0.01,0.01,0.01
