time,wx,wy,wz
0.011,-0.00,-0.01,0.00
0.023,0.00,-0.01,0.02
0.038,-0.00,-0.00,-0.01
0.069,-0.00,-0.00,-0.01
0.088,0.00,-0.00,0.02
0.107,-0.00,0.00,0.01
0.122,-0.00,0.01,-0.01
0.138,-0.00,0.01,-0.00
0.168,-0.00,-0.00,0.01
0.188,0.00,-0.00,-0.01
0.207,0.00,-0.00,0.01
0.222,0.00,-0.00,0.01
0.238,-0.00,-0.00,-0.01
0.268,0.00,-0.00,-0.01
0.288,0.00,-0.00,0.01
0.307,-0.00,-0.00,-0.00
0.322,-0.00,-0.00,-0.00
0.338,-0.00,-0.00,0.01
0.368,0.00,-0.00,-0.00
0.388,-0.00,-0.01,0.00
0.407,-0.00,-0.00,-0.00
0.422,0.00,-0.00,0.02
0.438,-0.00,-0.00,0.02
0.469,-0.00,0.01,-0.02
0.489,0.00,0.00,-0.00
0.506,0.00,-0.00,0.03
0.522,-0.00,0.01,-0.01
0.539,-0.00,0.00,-0.01
0.569,-0.00,-0.01,0.02
0.589,-0.00,-0.00,0.00
0.605,0.00,0.00,-0.00
0.622,0.00,-0.00,-0.00
0.638,-0.00,-0.01,0.00
0.655,0.00,-0.00,0.01
0.685,0.00,-0.00,-0.02
0.702,0.00,-0.00,0.00
0.719,0.00,-0.00,0.02
0.735,0.00,0.00,-0.02
0.769,-0.00,0.00,0.01
0.785,0.00,-0.00,-0.01
0.802,0.00,-0.00,-0.01
0.819,0.00,-0.01,0.01
0.835,0.00,-0.00,0.01
0.869,-0.00,0.00,-0.01
0.885,-0.00,-0.01,-0.00
0.902,-0.00,-0.01,0.02
0.922,0.00,-0.00,-0.01
0.939,-0.00,-0.00,-0.02
0.956,0.00,-0.00,0.00
0.985,-0.00,-0.01,0.01
1.002,-0.00,-0.01,-0.01
1.019,-0.00,-0.01,0.00
1.035,0.00,-0.00,0.01
1.069,0.00,0.00,-0.01
1.085,-0.00,0.00,-0.00
1.102,0.00,-0.00,0.01
1.119,-0.00,-0.01,0.02
1.135,0.00,-0.00,-0.01
1.169,0.00,-0.00,-0.01
1.185,-0.00,-0.01,0.01
1.202,0.00,-0.00,0.02
1.219,-0.00,0.00,-0.01
1.235,-0.00,0.00,-0.00
1.252,0.00,-0.00,0.02
1.286,-0.00,-0.00,-0.01
1.302,-0.00,-0.00,-0.01
1.323,0.00,-0.00,0.01
1.339,-0.00,-0.00,0.03
1.356,-0.00,0.00,-0.01
1.372,-0.00,0.01,-0.02
1.402,-0.00,-0.00,0.00
1.419,-0.00,-0.01,0.02
1.435,-0.00,-0.00,0.00
1.452,-0.00,0.00,-0.01
1.486,0.00,0.00,0.00
1.502,0.00,-0.01,0.01
1.519,-0.00,0.00,-0.00
1.535,-0.00,-0.00,0.00
1.552,-0.00,0.00,0.02
1.586,0.00,0.00,-0.01
1.602,-0.00,-0.00,0.00
1.619,-0.00,-0.00,0.01
1.635,0.00,0.00,-0.00
1.652,-0.00,-0.00,-0.01
1.686,-0.00,-0.01,0.02
1.702,0.00,-0.00,0.00
1.719,-0.00,0.00,-0.01
1.739,-0.00,-0.00,0.00
1.756,0.00,-0.01,0.02
1.772,-0.00,-0.00,-0.00
1.789,0.00,0.00,-0.01
1.818,0.00,-0.00,0.01
1.835,-0.00,-0.01,0.00
1.852,-0.00,-0.00,-0.01
1.869,0.00,-0.00,0.01
1.902,0.00,-0.00,0.01
1.919,-0.00,-0.00,-0.01
1.935,0.00,-0.00,-0.01
1.952,-0.00,-0.01,0.01
1.969,0.00,-0.01,0.01
2.002,0.00,-0.00,-0.00
2.019,0.00,0.00,-0.01
2.035,-0.00,-0.00,0.01
2.052,0.00,-0.00,0.00
2.069,-0.00,0.00,-0.01
2.102,-0.00,0.00,-0.00
2.119,-0.00,-0.00,0.00
2.135,0.00,-0.01,0.01
2.156,-0.00,-0.00,0.00
2.173,0.00,-0.01,-0.00
2.189,-0.00,-0.01,-0.00
2.219,0.00,-0.01,0.02
2.235,-0.01,0.00,0.00
2.252,-0.00,0.00,-0.01
2.269,0.00,-0.00,0.01
2.302,-0.02,-0.12,1.57
2.319,-0.00,0.07,0.89
2.335,0.02,0.10,0.37
2.352,-0.02,-0.05,1.58
2.369,0.01,0.08,0.43
2.402,0.00,-0.05,0.97
2.419,-0.01,-0.06,1.02
2.435,0.01,0.01,0.64
2.452,-0.00,-0.02,1.13
2.469,0.00,0.01,0.62
2.485,0.01,-0.00,1.12
2.519,0.01,0.03,0.72
2.535,0.00,-0.02,1.10
2.557,-0.01,0.02,0.79
2.573,0.01,0.01,0.90
2.590,-0.00,-0.01,1.02
2.606,0.01,0.02,0.58
2.635,0.00,-0.02,1.09
2.652,0.00,-0.00,0.72
2.669,0.01,-0.03,1.16
2.685,-0.00,0.04,0.71
2.719,0.02,0.02,0.99
2.735,-0.01,0.01,0.93
2.752,0.01,0.01,0.71
2.769,0.00,-0.03,0.98
2.785,-0.00,-0.02,0.73
2.819,0.00,-0.02,1.12
2.835,0.00,0.04,0.61
2.852,0.01,0.00,1.16
2.869,-0.01,0.04,0.74
2.885,0.02,-0.03,0.86
2.919,-0.02,-0.03,1.03
2.935,0.02,0.01,0.68
2.957,0.01,-0.01,1.19
2.973,-0.01,0.04,0.55
2.990,0.03,0.01,1.01
3.006,-0.01,0.00,0.81
3.023,-0.01,-0.04,1.04
