time,wx,wy,wz
0.012,0.02,-0.01,0.02
0.027,-0.02,-0.05,-0.04
0.044,0.02,0.00,0.03
0.061,-0.01,0.03,-0.01
0.077,0.01,-0.01,0.03
0.094,-0.01,-0.02,-0.03
0.111,0.01,-0.01,0.03
0.127,-0.01,0.02,-0.01
0.144,0.01,-0.01,0.02
0.161,-0.01,-0.01,-0.02
0.177,0.00,-0.00,0.01
0.194,-0.01,0.00,-0.00
0.211,0.00,-0.00,-0.01
0.227,-0.00,-0.01,0.02
0.244,0.00,0.01,-0.02
0.261,-0.00,-0.01,0.04
0.277,0.00,0.00,-0.03
0.294,-0.00,-0.01,0.03
0.311,0.00,0.01,-0.02
0.328,-0.00,-0.01,0.02
0.344,-0.00,0.00,-0.01
0.361,-0.00,-0.01,0.01
0.377,-0.00,-0.00,0.02
0.394,-0.00,0.01,-0.01
0.411,-0.00,-0.01,0.03
0.428,-0.00,-0.00,-0.03
0.444,-0.00,0.01,-0.01
0.468,0.00,-0.00,0.00
0.495,0.00,0.00,-0.01
0.511,0.00,0.00,0.03
0.528,0.00,0.01,-0.02
0.544,0.00,-0.02,0.02
0.562,-0.00,-0.00,-0.02
0.578,-0.00,0.00,0.02
0.594,0.00,-0.00,-0.01
0.611,0.00,-0.01,0.01
0.628,-0.00,0.01,-0.00
0.645,0.00,0.00,0.00
0.661,-0.00,-0.01,0.01
0.678,0.00,0.00,-0.01
0.695,0.00,-0.01,0.00
0.711,0.00,-0.01,0.01
0.728,-0.00,-0.00,-0.01
0.745,-0.00,-0.00,0.01
0.761,-0.00,0.00,-0.01
0.778,0.00,-0.01,0.02
0.794,-0.00,0.00,-0.02
0.811,-0.00,-0.01,0.01
0.828,-0.00,-0.00,-0.00
0.844,0.00,0.00,0.00
0.862,0.00,-0.01,0.00
0.878,-0.00,-0.01,-0.00
0.895,-0.00,-0.00,0.00
0.913,-0.00,-0.00,0.01
0.928,0.00,-0.00,0.00
0.943,0.00,-0.00,0.01
0.960,0.00,-0.00,-0.02
0.976,0.00,-0.01,0.02
