time,ax,ay,az,wx,wy,wz
2025-01-27T11:04:11.464Z,0.0757,-0.0788,-0.0027,0.0090,0.0015,-0.0090
2025-01-27T11:04:11.474Z,-0.0834,0.0444,0.0121,-0.0111,-0.0003,-0.0083
2025-01-27T11:04:11.484Z,0.0104,0.0346,-0.0219,0.0050,0.0014,-0.0035
2025-01-27T11:04:11.493Z,0.0766,-0.0563,0.0120,0.0045,-0.0072,0.0206
2025-01-27T11:04:11.504Z,-0.1055,0.0598,0.0344,-0.0095,0.0034,-0.0136
2025-01-27T11:04:11.514Z,0.0542,-0.0031,-0.0427,0.0046,-0.0028,0.0112
2025-01-27T11:04:11.524Z,0.0216,-0.0160,0.0133,0.0029,-0.0069,0.0087
2025-01-27T11:04:11.534Z,-0.0798,0.0338,0.0275,-0.0080,0.0027,-0.0130
2025-01-27T11:04:11.543Z,0.0838,-0.0016,-0.0585,0.0027,-0.0052,0.0035
2025-01-27T11:04:11.554Z,-0.0146,0.0144,0.0223,0.0037,-0.0014,0.0130
2025-01-27T11:04:11.564Z,-0.0292,0.0500,0.0141,-0.0063,-0.0003,-0.0194
2025-01-27T11:04:11.574Z,0.0877,-0.0212,-0.0157,-0.0003,-0.0043,0.0229
2025-01-27T11:04:11.584Z,-0.0167,0.0302,-0.0198,0.0052,-0.0098,-0.0057
2025-01-27T11:04:11.593Z,-0.0559,0.0071,0.0382,-0.0065,0.0085,-0.0065
2025-01-27T11:04:11.604Z,0.0970,-0.0298,-0.0554,0.0016,-0.0119,0.0219
2025-01-27T11:04:11.614Z,-0.1069,0.0887,0.0234,0.0005,0.0065,-0.0109
2025-01-27T11:04:11.623Z,0.0217,-0.0355,0.0036,-0.0010,-0.0008,-0.0053
2025-01-27T11:04:11.634Z,0.0729,-0.0324,-0.0338,0.0012,-0.0047,0.0177
2025-01-27T11:04:11.643Z,-0.1174,0.0719,0.0195,-0.0002,-0.0002,-0.0092
2025-01-27T11:04:11.656Z,0.0174,0.0058,0.0013,0.0003,-0.0041,-0.0041
2025-01-27T11:04:11.664Z,0.0174,0.0058,0.0013,-0.0006,-0.0012,0.0286
2025-01-27T11:04:11.673Z,-0.0766,0.0806,-0.0103,-0.0014,-0.0046,-0.0128
2025-01-27T11:04:11.684Z,0.0502,-0.0380,0.0130,0.0008,-0.0014,-0.0011
2025-01-27T11:04:11.693Z,0.0675,-0.0376,-0.0275,0.0025,-0.0105,0.0177
2025-01-27T11:04:11.705Z,0.0802,-0.0136,-0.0265,-0.0055,0.0038,-0.0135
2025-01-27T11:04:11.714Z,0.0802,-0.0136,-0.0265,-0.0007,-0.0031,0.0009
2025-01-27T11:04:11.724Z,0.0457,0.0053,-0.0091,0.0006,0.0001,0.0192
2025-01-27T11:04:11.734Z,-0.0931,0.0654,0.0153,-0.0039,-0.0044,-0.0183
2025-01-27T11:04:11.743Z,0.0663,-0.0385,-0.0304,0.0013,-0.0025,0.0139
2025-01-27T11:04:11.756Z,-0.0560,0.0264,0.0214,-0.0008,-0.0045,0.0059
2025-01-27T11:04:11.764Z,-0.0560,0.0264,0.0214,-0.0029,0.0017,-0.0146
2025-01-27T11:04:11.773Z,0.1007,-0.0219,-0.0229,0.0016,-0.0057,0.0159
2025-01-27T11:04:11.784Z,-0.0469,0.0363,0.0205,0.0008,-0.0031,0.0001
2025-01-27T11:04:11.793Z,-0.0394,0.0361,0.0103,-0.0019,0.0033,-0.0017
2025-01-27T11:04:11.806Z,-0.0520,0.0265,0.0202,0.0040,-0.0100,0.0076
2025-01-27T11:04:11.814Z,-0.0520,0.0265,0.0202,-0.0023,-0.0027,0.0020
2025-01-27T11:04:11.824Z,0.0095,0.0175,-0.0379,0.0014,-0.0047,-0.0048
2025-01-27T11:04:11.835Z,-0.0264,0.0383,-0.0120,0.0003,-0.0023,0.0109
2025-01-27T11:04:11.843Z,-0.0264,0.0383,-0.0120,-0.0022,-0.0041,-0.0059
2025-01-27T11:04:11.856Z,0.0508,-0.0011,-0.0162,-0.0026,0.0008,0.0024
2025-01-27T11:04:11.864Z,0.0508,-0.0011,-0.0162,0.0035,-0.0092,0.0112
2025-01-27T11:04:11.873Z,-0.0781,0.0369,0.0222,-0.0007,0.0044,-0.0083
2025-01-27T11:04:11.885Z,0.0211,-0.0059,-0.0087,0.0022,-0.0049,0.0023
2025-01-27T11:04:11.895Z,-0.0529,0.0445,0.0234,0.0012,-0.0002,0.0157
2025-01-27T11:04:11.906Z,0.0410,-0.0198,-0.0169,-0.0008,-0.0072,-0.0195
2025-01-27T11:04:11.914Z,-0.0024,0.0176,0.0102,-0.0005,0.0014,0.0162
2025-01-27T11:04:11.925Z,-0.0503,0.0159,0.0093,0.0016,-0.0058,0.0015
2025-01-27T11:04:11.934Z,0.0586,-0.0002,-0.0141,-0.0013,0.0029,-0.0019
2025-01-27T11:04:11.944Z,-0.0230,0.0035,0.0058,0.0005,-0.0066,0.0048
2025-01-27T11:04:11.956Z,0.0003,0.0035,0.0045,-0.0025,0.0021,-0.0022
2025-01-27T11:04:11.964Z,0.0318,0.0091,-0.0166,-0.0018,-0.0061,0.0031
2025-01-27T11:04:11.974Z,-0.0372,0.0311,0.0108,0.0015,-0.0033,0.0053
2025-01-27T11:04:11.984Z,0.0407,-0.0125,-0.0115,-0.0027,-0.0022,-0.0060
2025-01-27T11:04:11.994Z,-0.0231,0.0092,-0.0061,-0.0018,-0.0036,0.0121
2025-01-27T11:04:12.006Z,-0.0134,0.0165,-0.0075,0.0012,-0.0034,0.0046
2025-01-27T11:04:12.014Z,0.0194,0.0160,-0.0018,-0.0015,-0.0008,-0.0001
2025-01-27T11:04:12.024Z,0.0043,-0.0070,0.0097,0.0014,-0.0030,-0.0032
2025-01-27T11:04:12.034Z,-0.0196,0.0260,-0.0292,-0.0009,-0.0031,0.0101
2025-01-27T11:04:12.044Z,0.0029,-0.0158,0.0162,-0.0027,-0.0018,0.0028
2025-01-27T11:04:12.055Z,0.0344,0.0014,-0.0305,-0.0024,-0.0011,0.0002
2025-01-27T11:04:12.064Z,-0.0434,0.0312,0.0195,0.0027,-0.0049,0.0101
2025-01-27T11:04:12.074Z,0.0217,0.0064,-0.0114,-0.0016,0.0004,-0.0054
2025-01-27T11:04:12.084Z,0.0227,-0.0019,0.0013,0.0011,-0.0013,0.0017
2025-01-27T11:04:12.094Z,-0.0705,0.0667,0.0021,-0.0001,-0.0059,0.0132
2025-01-27T11:04:12.105Z,0.0460,-0.0338,-0.0015,-0.0025,0.0005,-0.0131
2025-01-27T11:04:12.114Z,0.0179,-0.0064,-0.0299,-0.0023,-0.0045,0.0037
2025-01-27T11:04:12.124Z,-0.3316,0.3586,0.0053,0.0111,0.0557,0.5557
2025-01-27T11:04:12.134Z,-2.6283,2.1748,-0.0668,0.0037,-0.0644,1.6748
2025-01-27T11:04:12.143Z,0.3941,-0.9311,0.3536,0.0141,-0.0365,0.5008
2025-01-27T11:04:12.155Z,2.8012,-1.2812,-0.6876,0.0566,-0.1672,1.5214
2025-01-27T11:04:12.164Z,-3.2398,1.8834,0.5492,0.0566,-0.1672,1.5214
2025-01-27T11:04:12.173Z,0.4807,-0.6853,0.0613,-0.0193,0.0440,0.5407
2025-01-27T11:04:12.185Z,2.8258,-1.3194,-0.6213,0.0590,-0.0785,1.5184
2025-01-27T11:04:12.193Z,-2.9433,1.6988,0.5748,0.0590,-0.0785,1.5184
2025-01-27T11:04:12.205Z,-0.6418,0.2975,-0.0789,-0.0046,0.1177,0.3759
2025-01-27T11:04:12.214Z,2.9077,-1.7336,-0.2986,-0.0046,0.1177,0.3759
2025-01-27T11:04:12.224Z,-1.1759,0.6900,0.1491,0.0429,-0.0370,1.1605
2025-01-27T11:04:12.235Z,-1.7698,1.1104,0.1765,-0.0124,0.0597,0.2782
2025-01-27T11:04:12.244Z,2.2547,-1.5105,-0.2812,-0.0124,0.0597,0.2782
2025-01-27T11:04:12.255Z,0.1899,-0.0379,-0.0330,0.0150,-0.0522,1.2818
2025-01-27T11:04:12.264Z,-2.0964,1.2171,0.3166,0.0150,-0.0522,1.2818
2025-01-27T11:04:12.273Z,0.8144,-0.3524,-0.2861,-0.0227,0.0334,0.7934
2025-01-27T11:04:12.284Z,0.9769,-0.8272,0.0432,0.0139,-0.0235,1.1023
2025-01-27T11:04:12.293Z,-1.0299,0.6686,0.0898,0.0139,-0.0235,1.1023
2025-01-27T11:04:12.305Z,-0.3352,0.2991,-0.0376,-0.0119,-0.0085,0.9927
2025-01-27T11:04:12.314Z,1.0642,-0.8205,-0.0459,0.0167,0.0091,0.8586
2025-01-27T11:04:12.324Z,-0.1138,0.0650,0.0251,0.0167,0.0091,0.8586
2025-01-27T11:04:12.334Z,-0.8083,0.5556,0.0626,0.0030,0.0096,0.9636
2025-01-27T11:04:12.344Z,0.1249,0.0189,-0.1164,0.0204,-0.0019,0.7408
2025-01-27T11:04:12.355Z,0.4482,-0.5394,0.1147,0.0204,-0.0019,0.7408
2025-01-27T11:04:12.364Z,0.0454,0.1317,-0.1423,0.0020,-0.0342,1.1371
2025-01-27T11:04:12.374Z,-0.8460,0.5852,0.0846,0.0118,0.0121,0.6534
2025-01-27T11:04:12.384Z,0.5866,-0.5568,0.0127,0.0078,0.0524,0.6866
2025-01-27T11:04:12.394Z,0.8546,-0.4612,-0.1220,0.0065,-0.0391,1.0795
2025-01-27T11:04:12.405Z,-1.1523,0.7276,0.1476,0.0082,0.0114,1.0519
2025-01-27T11:04:12.414Z,-0.3128,0.2603,-0.0479,0.0089,-0.0104,0.6577
2025-01-27T11:04:12.424Z,0.8568,-0.7280,0.0214,0.0032,0.0312,0.8932
2025-01-27T11:04:12.434Z,0.0776,0.0633,-0.0894,0.0089,-0.0434,1.2094
2025-01-27T11:04:12.444Z,-1.1289,0.7752,0.0785,0.0109,0.0122,0.6595
2025-01-27T11:04:12.455Z,0.5672,-0.5932,0.0196,0.0099,0.0638,0.6637
2025-01-27T11:04:12.464Z,1.1643,-0.6509,-0.1755,0.0030,-0.0528,1.1209
2025-01-27T11:04:12.474Z,-1.3594,0.8925,0.1470,0.0101,0.0190,1.0388
2025-01-27T11:04:12.484Z,-0.3133,0.2239,-0.0752,0.0098,0.0042,0.6164
2025-01-27T11:04:12.494Z,1.0296,-0.8044,-0.0291,0.0050,0.0259,0.8996
2025-01-27T11:04:12.505Z,-0.0726,0.1290,-0.0512,0.0061,-0.0309,1.2141
2025-01-27T11:04:12.514Z,-1.0258,0.7411,0.0762,0.0121,0.0005,0.6727
2025-01-27T11:04:12.524Z,0.5112,-0.5641,0.0384,0.0074,0.0706,0.6923
2025-01-27T11:04:12.534Z,1.1442,-0.6521,-0.1629,-0.0030,-0.0716,1.0186
2025-01-27T11:04:12.544Z,-1.2499,0.8346,0.1206,0.0159,0.0500,1.0342
2025-01-27T11:04:12.555Z,-0.2018,0.1296,-0.0379,0.0059,-0.0319,0.7581
2025-01-27T11:04:12.564Z,0.5485,-0.4393,0.0006,-0.0017,0.0511,0.8680
2025-01-27T11:04:12.575Z,0.0885,-0.0418,-0.0284,0.0065,-0.0239,1.0773
2025-01-27T11:04:12.584Z,-0.5144,0.4486,-0.0014,0.0118,0.0041,0.8721
2025-01-27T11:04:12.594Z,-0.0953,-0.1395,0.0817,0.0061,0.0341,0.6567
2025-01-27T11:04:12.606Z,0.9944,-0.6294,-0.1058,-0.0005,-0.0218,0.9007
2025-01-27T11:04:12.614Z,-0.4766,0.3621,0.0388,0.0139,0.0126,1.1474
2025-01-27T11:04:12.624Z,-0.7257,0.5156,0.0209,0.0103,-0.0194,0.8173
2025-01-27T11:04:12.634Z,0.2978,-0.3355,0.0182,0.0041,0.0562,0.6914
2025-01-27T11:04:12.643Z,0.8053,-0.4940,-0.0874,0.0046,-0.0171,1.1823
2025-01-27T11:04:12.655Z,-0.7862,0.7148,0.0212,0.0122,-0.0412,0.9454
2025-01-27T11:04:12.664Z,-0.6261,0.1637,0.1276,0.0136,0.0662,0.4751
2025-01-27T11:04:12.674Z,1.7335,-1.1827,-0.1317,-0.0143,-0.0379,0.9405
2025-01-27T11:04:12.684Z,-0.6385,0.6581,-0.0530,0.0130,0.0093,1.1150
2025-01-27T11:04:12.693Z,-1.0576,0.5378,0.1337,0.0240,0.0071,0.7871
2025-01-27T11:04:12.704Z,0.7697,-0.4932,-0.1022,-0.0080,0.0234,0.7934
2025-01-27T11:04:12.714Z,0.3026,-0.2532,0.0194,0.0084,0.0059,1.0789
2025-01-27T11:04:12.724Z,-0.4594,0.5322,-0.0681,0.0146,-0.0314,0.9957
2025-01-27T11:04:12.734Z,-0.4722,0.0958,0.1421,0.0104,0.0368,0.5292
2025-01-27T11:04:12.743Z,1.1007,-0.8119,-0.0900,-0.0075,0.0041,0.8341
2025-01-27T11:04:12.754Z,-0.0072,0.2591,-0.1029,0.0110,-0.0035,1.1705
2025-01-27T11:04:12.764Z,-1.1469,0.6517,0.1515,0.0199,-0.0038,0.8842
2025-01-27T11:04:12.774Z,0.2427,-0.2080,-0.0440,-0.0018,0.0375,0.7117
2025-01-27T11:04:12.784Z,0.8587,-0.6330,-0.0468,-0.0024,-0.0129,1.0423
2025-01-27T11:04:12.793Z,-0.5065,0.5464,-0.0626,0.0128,-0.0234,1.0406
2025-01-27T11:04:12.804Z,-0.7078,0.2329,0.1416,0.0156,0.0285,0.5615
2025-01-27T11:04:12.814Z,1.0936,-0.8082,-0.0758,-0.0163,0.0174,0.8255
2025-01-27T11:04:12.824Z,0.1048,0.1525,-0.1011,0.0105,-0.0128,1.0691
2025-01-27T11:04:12.834Z,-0.9645,0.5565,0.1326,0.0269,0.0093,0.9427
2025-01-27T11:04:12.843Z,0.1300,-0.1322,-0.0153,-0.0081,0.0083,0.7843
2025-01-27T11:04:12.854Z,0.5230,-0.4031,-0.0124,0.0030,0.0100,0.9378
2025-01-27T11:04:12.864Z,-0.0936,0.2382,-0.0748,0.0113,-0.0218,1.0930
2025-01-27T11:04:12.873Z,-0.6680,0.3393,0.1144,0.0133,-0.0020,0.6655
2025-01-27T11:04:12.884Z,0.5145,-0.5064,-0.0100,-0.0001,0.0544,0.7119
2025-01-27T11:04:12.893Z,0.7470,-0.2742,-0.1085,-0.0017,-0.0275,1.1291
2025-01-27T11:04:12.904Z,-1.0528,0.7517,0.0822,0.0270,-0.0089,1.0260
2025-01-27T11:04:12.914Z,-0.3829,0.1124,0.0339,0.0074,0.0155,0.6231
2025-01-27T11:04:12.923Z,1.1224,-0.8209,-0.0280,-0.0102,0.0116,0.9427
2025-01-27T11:04:12.934Z,-0.1273,0.3647,-0.1334,0.0112,-0.0279,1.1550
2025-01-27T11:04:12.943Z,-1.0720,0.6066,0.1401,0.0304,0.0129,0.6132
2025-01-27T11:04:12.954Z,0.8034,-0.7953,0.0329,-0.0079,0.0623,0.7654
2025-01-27T11:04:12.964Z,0.7787,-0.2014,-0.1741,-0.0142,-0.0572,1.0297
2025-01-27T11:04:12.974Z,-1.1380,0.7749,0.0762,0.0473,0.0355,1.0009
2025-01-27T11:04:12.984Z,-0.0422,-0.1250,0.0557,-0.0087,-0.0263,0.7522
2025-01-27T11:04:12.993Z,0.4873,-0.3393,-0.0145,-0.0062,0.0410,0.8748
2025-01-27T11:04:13.004Z,0.0967,0.1002,-0.1131,0.0218,-0.0171,1.1302
2025-01-27T11:04:13.014Z,-0.6085,0.4460,0.1004,0.0106,-0.0166,0.7478
2025-01-27T11:04:13.024Z,0.0734,-0.4011,0.0666,0.0108,0.0668,0.6597
2025-01-27T11:04:13.034Z,1.1627,-0.4912,-0.1950,-0.0142,-0.0434,1.0088
2025-01-27T11:04:13.043Z,-0.8730,0.6104,0.0699,0.0319,0.0150,1.1242
2025-01-27T11:04:13.054Z,-0.6908,0.3385,0.0435,0.0092,-0.0155,0.6679
2025-01-27T11:04:13.064Z,0.7847,-0.6187,0.0189,-0.0147,0.0484,0.8290
2025-01-27T11:04:13.073Z,0.3765,-0.0285,-0.1552,0.0090,-0.0179,1.1841
2025-01-27T11:04:13.084Z,-0.9124,0.6670,0.1001,0.0231,-0.0222,0.8126
2025-01-27T11:04:13.093Z,-0.0362,-0.3250,0.0869,0.0055,0.0668,0.5740
2025-01-27T11:04:13.104Z,1.4354,-0.8221,-0.1166,-0.0258,-0.0280,1.0336
2025-01-27T11:04:13.114Z,-0.7852,0.8535,-0.0451,0.0295,-0.0115,1.1289
2025-01-27T11:04:13.123Z,-1.0180,0.3752,0.1653,0.0277,0.0156,0.6859
2025-01-27T11:04:13.134Z,1.0160,-0.7597,-0.0119,-0.0308,0.0344,0.8279
2025-01-27T11:04:13.143Z,0.3656,0.0443,-0.1807,0.0130,-0.0147,1.1345
2025-01-27T11:04:13.154Z,-0.9157,0.6333,0.0888,0.0350,-0.0181,0.8624
2025-01-27T11:04:13.164Z,-0.0270,-0.3247,0.1152,-0.0116,0.0368,0.5857
2025-01-27T11:04:13.173Z,1.1086,-0.6641,-0.1443,-0.0085,0.0039,0.9442
2025-01-27T11:04:13.184Z,-0.3403,0.5620,-0.1178,0.0265,-0.0184,1.1850
2025-01-27T11:04:13.193Z,-1.0980,0.4827,0.1943,0.0220,-0.0023,0.7269
2025-01-27T11:04:13.204Z,0.6489,-0.5765,0.0135,-0.0149,0.0647,0.8170
2025-01-27T11:04:13.214Z,0.7616,-0.1752,-0.2015,0.0011,-0.0346,1.0955
2025-01-27T11:04:13.223Z,-0.9458,0.6153,0.1088,0.0381,-0.0051,0.9186
2025-01-27T11:04:13.234Z,-0.1644,-0.1731,0.0768,-0.0061,0.0209,0.5833
2025-01-27T11:04:13.243Z,1.0771,-0.6819,-0.0720,-0.0175,0.0066,0.8732
2025-01-27T11:04:13.254Z,-0.2620,0.4854,-0.1183,0.0295,0.0005,1.0602
2025-01-27T11:04:13.264Z,-0.7546,0.2582,0.1790,0.0201,-0.0044,0.9074
2025-01-27T11:04:13.273Z,0.1331,-0.1275,-0.0369,-0.0137,0.0171,0.7414
2025-01-27T11:04:13.284Z,0.6029,-0.3388,-0.0891,0.0182,0.0179,0.9878
2025-01-27T11:04:13.293Z,-0.1175,0.2429,-0.0114,0.0068,-0.0351,1.1198
2025-01-27T11:04:13.305Z,-0.8926,0.4507,0.0839,0.0093,0.0066,0.5194
2025-01-27T11:04:13.314Z,0.8315,-0.8086,-0.0058,0.0055,0.0662,0.7554
2025-01-27T11:04:13.323Z,0.7975,-0.1463,-0.1604,-0.0221,-0.0435,1.2545
2025-01-27T11:04:13.334Z,-1.5938,1.0750,0.1044,0.0476,-0.0101,0.9081
2025-01-27T11:04:13.343Z,-0.0703,-0.3293,0.0782,0.0074,0.0591,0.6722
2025-01-27T11:04:13.354Z,1.4888,-0.8527,-0.0687,-0.0417,-0.0233,1.0334
2025-01-27T11:04:13.364Z,-0.6896,0.7955,-0.1455,0.0459,-0.0111,1.0883
2025-01-27T11:04:13.373Z,-0.8542,0.2895,0.1864,0.0282,0.0037,0.5534
2025-01-27T11:04:13.384Z,1.0553,-0.9692,0.0626,-0.0385,0.0573,0.7992
2025-01-27T11:04:13.393Z,0.4469,0.2058,-0.2896,0.0175,-0.0278,1.1276
2025-01-27T11:04:13.404Z,-1.1275,0.6903,0.1797,0.0456,-0.0138,0.9424
2025-01-27T11:04:13.414Z,-0.1665,-0.2609,0.1273,-0.0267,0.0317,0.6982
2025-01-27T11:04:13.423Z,1.0113,-0.4843,-0.1775,-0.0035,0.0070,0.9494
2025-01-27T11:04:13.434Z,-0.2011,0.4177,-0.0977,0.0343,-0.0168,1.1301
2025-01-27T11:04:13.443Z,-0.8776,0.3074,0.2115,0.0007,-0.0124,0.6487
2025-01-27T11:04:13.454Z,0.6013,-0.5469,-0.0349,-0.0006,0.0751,0.7303
2025-01-27T11:04:13.464Z,0.9089,-0.2167,-0.1891,0.0040,-0.0414,1.0463
2025-01-27T11:04:13.474Z,-0.9617,0.6062,0.1438,0.0271,-0.0059,1.0841
2025-01-27T11:04:13.484Z,-0.5372,0.1525,0.0506,-0.0038,0.0013,0.6866
2025-01-27T11:04:13.493Z,0.8570,-0.5163,-0.0467,-0.0016,0.0375,0.8453
2025-01-27T11:04:13.505Z,0.3478,-0.0596,-0.1176,0.0140,-0.0173,1.2043
2025-01-27T11:04:13.514Z,-1.0605,0.7274,0.0904,0.0156,-0.0380,0.6946
2025-01-27T11:04:13.523Z,0.1456,-0.5261,0.0983,0.0146,0.0871,0.6367
2025-01-27T11:04:13.534Z,1.4516,-0.6622,-0.1775,-0.0272,-0.0432,1.0882
2025-01-27T11:04:13.543Z,-1.0455,0.9340,0.0035,0.0379,-0.0192,1.0611
2025-01-27T11:04:13.555Z,-0.8729,0.1642,0.1487,0.0261,0.0297,0.6356
2025-01-27T11:04:13.564Z,1.2010,-0.7514,-0.0204,-0.0388,0.0218,0.8591
2025-01-27T11:04:13.573Z,0.2232,0.1829,-0.2112,0.0252,-0.0106,1.2413
2025-01-27T11:04:13.584Z,-1.1640,0.7702,0.1176,0.0328,-0.0465,0.6913
2025-01-27T11:04:13.593Z,0.2416,-0.6602,0.1877,-0.0206,0.0978,0.6872
2025-01-27T11:04:13.606Z,-0.9700,0.9372,0.0086,-0.0158,-0.0519,1.0235
2025-01-27T11:04:13.614Z,-0.9700,0.9372,0.0086,0.0513,-0.0056,1.0526
2025-01-27T11:04:13.623Z,-0.7185,-0.0915,0.2225,-0.0033,0.0165,0.7872
2025-01-27T11:04:13.634Z,0.8034,-0.2685,-0.1239,-0.0270,0.0187,0.8094
2025-01-27T11:04:13.643Z,0.2799,-0.0535,-0.1515,0.0441,0.0177,1.1230
2025-01-27T11:04:13.656Z,-0.2660,-0.0451,0.0647,-0.0005,-0.0465,0.8693
2025-01-27T11:04:13.664Z,-0.2660,-0.0451,0.0647,-0.0041,0.0569,0.6106
2025-01-27T11:04:13.673Z,1.1600,-0.6868,-0.1646,0.0212,-0.0007,0.9010
2025-01-27T11:04:13.684Z,-0.1793,0.3945,-0.0009,0.0015,-0.0244,1.1289
2025-01-27T11:04:13.693Z,-1.1094,0.4569,0.1253,0.0194,0.0037,0.8336
2025-01-27T11:04:13.706Z,0.8862,-0.5462,-0.0397,0.0024,0.0355,0.6916
2025-01-27T11:04:13.714Z,0.8862,-0.5462,-0.0397,-0.0002,0.0114,1.1606
2025-01-27T11:04:13.724Z,-0.6784,0.6720,-0.0406,0.0130,-0.0621,0.9593
2025-01-27T11:04:13.734Z,-0.7188,0.1720,0.1434,0.0169,0.0468,0.4935
2025-01-27T11:04:13.743Z,1.4645,-1.1073,-0.0139,-0.0191,0.0323,0.9063
2025-01-27T11:04:13.756Z,-1.5595,0.7483,0.2058,0.0059,-0.0438,1.2135
2025-01-27T11:04:13.764Z,-1.5595,0.7483,0.2058,0.0465,-0.0080,0.7894
2025-01-27T11:04:13.773Z,0.4994,-0.5811,0.0774,-0.0236,0.0574,0.7303
2025-01-27T11:04:13.785Z,-0.9091,0.7635,0.0013,-0.0053,-0.0161,1.1284
2025-01-27T11:04:13.793Z,-0.9091,0.7635,0.0013,0.0457,-0.0393,0.9830
2025-01-27T11:04:13.806Z,1.3611,-0.8601,-0.1270,-0.0093,0.0370,0.4929
2025-01-27T11:04:13.814Z,0.1042,0.4516,-0.2215,-0.0145,0.0368,0.8746
2025-01-27T11:04:13.825Z,-1.2540,0.4596,0.3181,0.0320,-0.0365,1.1362
2025-01-27T11:04:13.835Z,0.2201,-0.2043,-0.0565,0.0131,-0.0109,0.8715
2025-01-27T11:04:13.844Z,1.0174,-0.4373,-0.1727,-0.0187,0.0413,0.7270
2025-01-27T11:04:13.856Z,-0.4999,0.3736,0.0622,0.0186,-0.0037,1.0319
2025-01-27T11:04:13.864Z,-0.7630,0.3157,0.1035,0.0147,-0.0310,1.0469
2025-01-27T11:04:13.875Z,0.9637,-0.6748,-0.0884,-0.0061,0.0133,0.5829
2025-01-27T11:04:13.884Z,0.4293,0.0404,-0.1116,0.0099,0.0557,0.8255
2025-01-27T11:04:13.894Z,-1.0117,0.4951,0.1616,0.0061,-0.0368,1.0575
2025-01-27T11:04:13.905Z,-0.1528,0.1272,-0.0755,0.0144,0.0003,0.9975
2025-01-27T11:04:13.914Z,0.8148,-0.5248,-0.0094,0.0044,0.0179,0.7386
2025-01-27T11:04:13.924Z,0.0109,0.1023,-0.0486,0.0057,0.0230,0.9311
