time,wx,wy,wz
0.006,-0.02,-0.01,0.00
0.021,-0.01,-0.00,0.00
0.038,0.03,-0.01,0.00
0.067,0.03,0.01,-0.00
0.088,-0.02,-0.02,0.01
0.105,-0.04,-0.01,0.00
0.121,-0.01,-0.00,0.00
0.138,0.02,0.00,-0.00
0.154,0.01,0.01,-0.00
0.183,-0.00,-0.01,0.00
0.205,-0.01,-0.01,0.00
0.221,-0.01,-0.00,-0.00
0.238,-0.00,0.00,0.00
0.255,0.01,0.00,0.00
0.283,0.01,-0.00,0.00
0.305,-0.02,-0.00,0.00
0.322,-0.02,-0.00,0.00
0.338,0.04,0.00,-0.00
0.355,0.02,0.00,-0.00
0.383,-0.01,-0.01,0.00
0.405,0.00,0.00,0.00
0.422,0.01,0.00,-0.00
0.438,-0.02,-0.01,0.00
0.455,0.01,-0.00,0.00
0.483,0.01,0.00,-0.00
0.505,-0.01,-0.01,0.00
0.522,-0.03,-0.01,0.00
0.538,-0.01,0.00,0.00
0.555,0.01,-0.00,0.00
0.583,-0.00,0.00,0.00
0.605,0.00,-0.00,0.00
0.622,0.01,0.00,-0.00
0.638,0.00,-0.01,-0.00
0.655,-0.02,-0.01,-0.00
0.683,0.00,-0.00,0.00
0.700,0.01,0.00,0.00
0.717,-0.01,-0.00,0.00
0.733,-0.02,-0.00,0.00
0.767,0.02,0.00,0.00
0.783,-0.00,-0.01,-0.00
0.800,-0.02,-0.00,0.01
0.817,0.00,-0.00,-0.00
0.833,0.01,-0.00,0.00
0.866,0.02,0.00,-0.00
0.883,0.02,-0.01,0.00
0.900,0.00,-0.00,-0.00
0.917,-0.02,-0.00,0.01
0.933,-0.02,-0.01,0.00
0.967,-0.00,-0.00,0.01
0.983,0.01,-0.01,0.00
1.000,0.02,-0.00,0.00
1.022,0.01,-0.00,-0.00
1.039,-0.04,-0.01,0.00
1.055,-0.00,-0.02,0.00
1.072,0.02,0.01,-0.00
1.100,0.02,-0.00,0.00
1.116,0.47,0.16,-0.03
1.133,0.70,-0.11,0.04
1.150,1.15,0.07,-0.03
1.183,0.78,-0.00,-0.01
1.200,0.73,-0.07,0.03
1.217,1.10,0.06,-0.03
1.233,0.67,-0.01,0.02
1.250,0.95,-0.01,-0.01
1.283,0.73,0.02,0.00
1.300,1.09,-0.03,0.01
1.317,0.84,0.07,-0.04
1.333,0.87,-0.07,0.04
1.350,0.97,0.05,-0.04
1.383,0.65,-0.03,0.03
1.400,1.00,-0.01,-0.02
1.422,0.71,-0.00,-0.00
1.439,1.15,-0.02,0.01
1.455,0.73,0.09,-0.04
1.472,0.97,-0.07,0.04
1.489,0.91,0.06,-0.05
1.517,0.65,-0.07,0.05
1.533,0.99,0.01,-0.03
1.550,0.78,0.00,0.01
1.583,1.17,0.00,-0.01
1.600,0.68,0.03,-0.03
1.617,1.01,-0.08,0.04
1.633,0.83,0.07,-0.06
1.650,0.90,-0.05,0.04
1.666,0.85,0.05,-0.05
1.700,0.89,-0.02,0.03
1.716,1.15,0.04,-0.04
1.733,0.48,-0.01,0.01
1.750,1.11,-0.02,0.02
1.767,0.87,0.09,-0.05
1.800,0.93,-0.06,0.06
1.817,0.85,0.05,-0.06
1.833,0.86,-0.05,0.05
1.856,0.94,0.02,-0.04
1.872,0.67,-0.02,0.02
1.889,1.07,0.01,-0.01
1.905,0.68,-0.04,-0.01
1.933,1.05,-0.02,0.03
1.950,0.87,0.09,-0.07
1.967,1.05,-0.03,0.06
2.000,0.82,0.03,-0.06
2.017,0.62,-0.07,0.07
2.033,1.10,0.04,-0.05
2.050,0.79,0.00,0.01
2.067,1.04,0.00,0.01
2.100,0.76,0.03,-0.04
2.117,1.02,-0.03,0.05
2.133,0.74,0.02,-0.05
2.150,0.81,-0.05,0.06
2.167,1.01,0.06,-0.07
2.200,0.76,-0.04,0.04
2.217,1.05,0.02,-0.02
2.233,0.58,-0.02,-0.01
2.250,1.12,0.00,0.03
2.273,0.81,0.06,-0.06
2.290,0.87,-0.04,0.07
2.306,0.87,0.04,-0.07
2.333,0.88,-0.04,0.06
2.350,1.01,0.04,-0.03
2.367,0.59,-0.06,0.00
2.383,1.05,0.04,0.02
2.417,0.74,-0.07,-0.04
2.433,1.08,0.02,0.06
2.450,0.76,-0.01,-0.09
2.467,0.91,-0.02,0.09
2.483,0.96,0.02,-0.08
2.516,0.62,-0.03,0.06
2.533,1.04,0.01,-0.03
2.550,0.74,0.01,-0.00
2.567,1.16,0.02,0.01
2.583,0.74,0.04,-0.05
2.617,0.99,-0.02,0.06
2.633,0.83,0.01,-0.08
2.650,0.74,-0.05,0.07
2.673,0.98,0.04,-0.06
2.690,0.80,-0.03,0.03
2.706,1.03,0.02,-0.01
2.723,0.61,-0.07,-0.01
2.750,1.09,0.02,0.02
2.767,0.75,0.01,-0.04
2.783,0.91,-0.01,0.05
2.817,0.92,0.03,-0.06
2.833,0.85,-0.03,0.05
2.850,1.03,0.03,-0.04
2.867,0.60,-0.04,0.02
2.883,0.94,0.06,0.00
2.917,-0.29,0.09,-0.06
2.933,-0.17,-0.08,0.07
2.950,0.11,0.05,-0.04
2.967,0.13,-0.00,0.00
2.983,-0.06,0.00,0.00
3.000,-0.10,-0.04,0.00
3.033,0.01,0.01,0.01
3.050,0.08,0.00,-0.01
3.067,0.02,0.01,0.01
3.083,-0.04,-0.02,0.00
3.100,-0.03,-0.00,0.01
3.133,0.03,0.00,0.00
3.150,0.04,0.01,-0.01
3.167,-0.00,-0.00,0.01
3.190,-0.03,-0.01,-0.00
3.207,-0.01,-0.00,0.00
3.223,0.00,-0.00,0.00
3.240,0.01,-0.00,0.00
3.267,-0.00,-0.00,0.00
3.283,-0.01,-0.01,0.00
3.300,-0.01,-0.00,0.00
3.333,0.00,-0.00,0.00
3.350,0.01,-0.00,-0.00
3.367,-0.01,-0.00,0.00
3.383,-0.01,-0.01,0.00
3.400,-0.00,0.00,0.00
3.433,0.00,-0.00,0.00
3.450,0.01,0.00,0.00
3.467,-0.00,-0.00,0.00
3.483,-0.00,-0.00,0.00
3.500,0.00,-0.00,0.00
3.533,-0.01,-0.00,0.00
3.550,-0.01,-0.00,0.00
3.567,0.02,-0.00,-0.00
3.590,0.01,-0.00,0.00
3.606,-0.01,-0.00,0.00
3.623,0.00,-0.00,0.00
3.640,0.01,-0.00,0.00
3.667,0.01,0.00,0.00
3.683,-0.00,-0.00,0.00
3.700,-0.01,-0.01,0.00
3.717,-0.02,-0.01,0.00
3.750,0.00,-0.00,-0.00
3.767,0.00,0.00,-0.00
3.783,0.00,-0.00,-0.00
3.800,0.00,-0.00,0.00
3.817,0.01,0.00,0.00
3.850,0.01,-0.00,-0.00
3.867,-0.02,-0.00,0.01
3.883,-0.01,-0.01,0.00
3.900,0.01,-0.00,0.00
3.917,0.02,-0.00,0.00
3.950,0.00,-0.00,0.00
3.967,-0.02,-0.01,0.00
3.983,-0.02,-0.00,0.00
4.000,-0.01,-0.01,0.00
4.017,0.01,-0.00,0.00
4.050,0.02,0.00,-0.00
4.067,-0.00,0.00,0.00
4.083,-0.02,-0.00,0.00
4.100,-0.00,-0.00,0.00
4.117,0.02,0.00,0.00
4.150,0.01,-0.00,0.00
4.167,-0.01,-0.00,0.00
4.183,-0.01,-0.00,0.00
4.200,-0.00,-0.00,0.00
4.217,0.00,-0.00,-0.00
4.250,-0.00,-0.00,-0.00
4.267,-0.00,-0.00,0.00
4.283,0.00,0.00,0.00
4.300,0.01,-0.00,-0.00
4.317,0.00,-0.00,0.00
4.333,-0.00,-0.00,0.00
4.367,0.01,-0.00,0.00
4.384,0.01,-0.00,-0.00
4.400,-0.00,-0.00,-0.00
4.417,-0.01,-0.00,0.00
4.433,0.00,-0.00,-0.00
4.467,0.00,-0.00,0.00
4.483,-0.00,0.00,0.00
4.500,-0.01,-0.01,0.00
4.517,0.03,0.20,0.02
4.534,0.04,-0.05,-0.02
