time,wx,wy,wz
0.005,0.00,-0.02,0.00
0.021,-0.11,0.01,0.02
0.037,-0.02,0.01,0.00
0.054,0.08,-0.01,-0.01
0.071,0.03,-0.00,-0.01
0.087,-0.06,0.00,0.01
0.104,-0.04,-0.00,0.01
0.121,0.04,-0.01,-0.00
0.137,0.03,-0.01,-0.01
0.154,-0.03,0.00,0.00
0.171,-0.03,-0.00,0.01
0.187,0.03,-0.01,-0.01
0.218,-0.01,-0.00,0.01
0.237,0.01,-0.00,0.00
0.254,0.02,0.00,-0.00
0.271,-0.01,0.00,0.00
0.288,-0.01,-0.00,0.01
0.304,0.01,-0.01,0.00
0.321,0.01,-0.01,0.00
0.337,-0.00,-0.00,0.00
0.354,-0.01,-0.00,0.01
0.371,0.00,-0.01,-0.00
0.387,0.01,-0.00,-0.00
0.404,-0.00,0.00,0.01
0.421,-0.01,-0.00,0.00
0.437,0.00,0.00,0.00
0.454,0.00,-0.00,-0.00
0.471,-0.00,-0.01,-0.00
0.487,-0.01,-0.01,0.00
0.504,-0.00,-0.01,0.01
0.521,0.01,-0.01,-0.00
0.537,0.00,0.00,0.00
0.554,-0.00,0.00,0.00
0.571,0.01,0.00,-0.00
0.587,0.01,-0.01,-0.00
0.604,-0.02,0.00,0.01
0.621,-0.01,-0.01,0.01
0.639,0.00,-0.00,-0.00
0.654,-0.00,-0.00,0.01
0.671,-0.01,0.00,0.00
0.687,-0.00,-0.00,-0.00
0.704,0.01,-0.01,0.01
0.721,0.01,-0.00,-0.00
0.737,-0.00,-0.00,0.00
0.754,-0.00,-0.00,-0.00
0.771,-0.00,0.00,0.00
0.788,-0.01,0.00,0.00
0.804,0.00,-0.00,0.00
0.821,0.01,-0.01,0.01
0.838,-0.00,-0.01,-0.00
0.854,-0.01,0.00,0.00
0.871,0.00,0.01,0.00
0.888,0.01,0.01,0.00
0.904,0.00,0.01,0.00
0.921,-0.00,0.00,0.01
0.938,-0.00,-0.01,0.00
0.954,-0.00,-0.01,0.00
0.971,0.00,-0.01,0.00
0.988,-0.00,-0.00,0.00
1.004,-0.00,0.01,-0.00
1.021,0.00,0.01,0.01
1.038,0.01,0.01,0.00
1.054,0.00,-0.00,-0.00
1.071,-0.00,-0.01,0.01
1.088,-0.00,-0.01,0.00
1.105,-0.00,-0.01,-0.00
1.121,0.00,0.00,0.01
1.138,0.00,0.01,0.00
1.154,-0.00,0.01,-0.00
1.171,0.00,0.00,0.01
1.188,-0.00,-0.01,0.00
1.204,-0.00,-0.01,-0.00
1.221,0.00,-0.01,0.00
1.238,0.00,-0.00,0.00
1.254,0.00,0.00,0.00
1.285,-0.00,0.00,0.00
1.301,-0.00,0.00,-0.00
1.318,-0.00,0.00,0.00
1.335,0.00,0.00,0.01
1.351,-0.00,-0.00,0.00
1.384,-0.00,-0.00,-0.00
1.401,-0.00,-0.00,0.00
1.418,-0.00,0.01,0.01
1.435,-0.00,0.00,0.00
1.451,-0.00,-0.00,0.00
1.468,0.00,-0.01,0.00
1.484,0.00,-0.01,0.00
1.501,-0.00,-0.01,0.00
1.518,-0.00,-0.00,0.00
1.538,0.00,0.00,0.00
1.555,0.00,0.00,0.00
1.571,-0.00,0.00,0.00
1.588,-0.00,0.00,0.00
1.604,-0.00,-0.00,0.00
1.621,-0.00,-0.00,0.00
1.638,-0.00,-0.00,0.00
1.655,0.00,-0.01,0.00
1.671,0.00,0.00,0.00
1.690,0.00,0.00,0.00
1.705,0.00,0.00,0.00
1.721,0.00,-0.00,0.00
1.738,0.36,1.99,0.01
1.755,1.33,8.79,0.20
1.771,0.29,9.17,0.13
1.788,-0.64,9.71,-0.01
1.804,-0.85,9.53,0.19
1.835,-0.24,9.45,0.45
1.851,0.18,9.18,0.53
1.868,0.36,9.27,0.56
1.885,0.00,9.34,0.31
1.901,-0.52,9.60,0.26
1.935,0.07,9.45,0.43
1.951,0.09,9.37,0.42
1.968,-0.16,9.29,0.33
1.985,-0.30,9.42,0.29
2.001,-0.15,9.19,0.36
2.017,0.00,9.39,0.41
2.038,-0.09,9.35,0.39
2.054,-0.20,9.30,0.31
2.071,-0.17,9.43,0.34
2.088,-0.08,9.26,0.40
2.104,-0.07,9.44,0.38
2.121,-0.14,9.44,0.33
2.138,-0.15,9.32,0.36
2.154,-0.11,9.48,0.38
2.171,-0.10,9.23,0.36
2.188,-0.11,9.39,0.35
2.204,-0.15,9.44,0.36
2.221,-0.13,9.28,0.37
2.238,-0.11,9.39,0.36
2.254,-0.11,9.21,0.36
2.271,-0.15,9.28,0.36
2.288,-0.16,9.46,0.35
2.304,-0.11,9.27,0.36
2.321,-0.08,9.46,0.37
2.338,-0.14,9.32,0.36
2.354,-0.12,9.54,0.36
2.371,-0.10,9.26,0.36
2.388,-0.10,9.35,0.36
2.404,-0.15,9.33,0.37
2.421,-0.13,9.31,0.36
2.438,-0.11,9.50,0.36
2.455,-0.10,9.28,0.37
2.471,-0.12,9.35,0.36
2.488,-0.18,9.39,0.36
2.505,-0.12,9.27,0.36
2.521,-0.09,9.46,0.36
2.538,-0.11,9.34,0.36
2.554,-0.14,9.37,0.36
2.571,-0.16,9.44,0.36
2.588,-0.10,9.28,0.36
2.604,-0.10,9.38,0.36
2.621,-0.14,9.30,0.36
2.638,-0.14,9.35,0.36
2.654,-0.13,9.46,0.36
2.671,-0.10,9.27,0.36
2.688,-0.08,9.44,0.36
2.705,-0.15,9.37,0.36
2.721,-0.14,9.31,0.36
2.740,-0.10,9.42,0.36
2.755,-0.10,9.22,0.37
2.771,-0.12,9.38,0.36
2.788,-0.16,9.45,0.36
2.805,-0.13,9.30,0.37
2.821,-0.09,9.39,0.36
2.838,-0.12,9.22,0.36
2.855,-0.14,9.42,0.36
2.871,-0.12,9.24,0.36
2.901,-0.09,9.50,0.36
2.918,-0.12,9.39,0.36
2.935,-0.14,9.32,0.36
2.951,-0.14,9.42,0.36
2.968,-0.10,9.29,0.36
2.985,-0.09,9.40,0.36
3.001,-0.14,9.28,0.36
3.018,-0.11,9.39,0.36
3.035,-0.09,9.31,0.37
3.051,-0.12,9.37,0.36
3.072,-0.15,9.44,0.36
3.088,-0.11,9.34,0.37
3.105,-0.09,9.35,0.36
3.122,-0.11,9.27,0.36
3.138,-0.12,9.45,0.36
3.155,-0.16,9.47,0.36
3.172,-0.13,9.11,0.37
3.188,-0.09,9.34,0.36
3.205,-0.13,9.34,0.37
3.222,-0.14,9.41,0.36
3.238,-0.15,9.36,0.36
3.255,-0.11,9.22,0.36
3.272,-0.10,9.39,0.36
3.288,-0.15,9.46,0.36
3.305,-0.16,9.29,0.36
3.322,-0.13,9.47,0.36
3.338,-0.09,9.36,0.37
3.355,-0.10,9.42,0.36
3.372,-0.17,9.39,0.36
3.388,-0.10,9.44,0.36
3.418,-0.11,9.24,0.37
3.435,-0.13,9.37,0.36
3.451,-0.16,9.39,0.36
3.468,-0.11,9.26,0.37
3.485,-0.09,9.45,0.36
3.501,-0.11,9.36,0.36
3.518,-0.15,9.48,0.35
3.551,-0.09,9.44,0.36
3.572,-0.15,9.36,0.36
3.589,-0.15,9.26,0.36
3.605,-0.12,9.44,0.36
3.622,-0.10,9.26,0.36
3.638,-0.12,9.35,0.37
3.655,-0.17,9.35,0.36
3.672,-0.13,9.28,0.36
3.688,-0.10,9.47,0.36
3.705,-0.10,9.32,0.36
3.722,-0.13,9.35,0.36
3.738,-0.16,9.45,0.36
3.755,-0.10,9.33,0.37
3.772,-0.08,9.49,0.36
3.790,-0.13,9.30,0.36
3.805,-0.15,9.29,0.36
3.822,-0.15,9.45,0.36
3.838,-0.10,9.25,0.37
3.855,-0.10,9.33,0.36
3.872,-0.15,9.32,0.36
3.889,-0.15,9.38,0.36
3.905,-0.12,9.44,0.36
3.922,-0.10,9.24,0.36
3.938,-0.16,9.42,0.36
3.968,-0.13,9.32,0.36
3.984,-0.11,9.45,0.36
4.001,-0.11,9.31,0.37
4.018,-0.13,9.32,0.36
4.035,-0.18,9.35,0.35
4.051,-0.12,9.31,0.36
4.072,-0.13,9.22,0.37
4.089,-0.16,9.32,0.36
4.105,-0.14,9.50,0.36
4.122,-0.09,9.32,0.37
4.139,-0.09,9.39,0.36
4.155,-0.16,9.29,0.36
4.172,-0.15,9.36,0.36
4.189,-0.12,9.55,0.36
4.205,-0.09,9.26,0.36
4.222,-0.12,9.32,0.36
4.239,-0.17,9.39,0.36
4.256,-0.14,9.33,0.36
4.272,-0.11,9.44,0.36
4.289,-0.10,9.27,0.36
4.306,-0.12,9.43,0.37
4.322,-0.16,9.47,0.35
4.339,-0.11,9.28,0.36
4.356,-0.09,9.39,0.36
4.372,-0.12,9.32,0.36
4.389,-0.13,9.40,0.36
4.406,-0.16,9.42,0.36
4.422,-0.10,9.26,0.37
4.439,-0.10,9.40,0.36
4.456,-0.15,9.36,0.36
4.485,-0.14,9.45,0.36
4.501,-0.09,9.28,0.37
4.523,-0.16,9.39,0.36
4.539,-0.14,9.37,0.36
4.556,-0.10,9.52,0.36
4.572,-0.10,9.25,0.36
4.589,-0.12,9.36,0.36
4.606,-0.17,9.38,0.36
4.622,-0.12,9.32,0.36
4.639,-0.10,9.41,0.36
4.656,-0.14,9.19,0.37
4.673,-0.14,9.40,0.36
4.689,-0.15,9.52,0.36
4.706,-0.11,9.28,0.37
4.722,-0.11,9.37,0.36
4.739,-0.14,9.32,0.37
4.756,-0.14,9.35,0.36
4.773,-0.12,9.56,0.36
4.789,-0.09,9.27,0.37
4.806,-0.10,9.36,0.36
4.823,-0.17,9.38,0.36
4.842,-0.14,9.33,0.37
4.856,-0.11,9.34,0.36
4.872,-0.10,9.27,0.37
4.889,-0.12,9.38,0.36
4.906,-0.17,9.36,0.35
4.923,-0.13,9.28,0.36
4.939,-0.10,9.50,0.36
4.956,-0.11,9.35,0.36
4.973,-0.13,9.36,0.37
4.989,-0.17,9.43,0.35
5.006,-0.09,9.43,0.36
5.035,-0.14,9.29,0.36
5.051,-0.14,9.33,0.36
5.068,-0.13,9.47,0.36
5.085,-0.10,9.21,0.37
5.101,-0.10,9.42,0.36
5.118,-0.16,9.38,0.36
5.135,-0.93,2.27,0.25
5.151,0.06,0.00,-0.03
5.168,0.94,-0.53,-0.04
5.201,-0.36,0.18,0.07
5.218,-0.72,0.38,0.08
5.235,-0.38,0.01,-0.03
5.251,0.26,-0.04,-0.03
5.268,0.44,-0.12,-0.01
5.285,0.15,-0.05,0.01
5.301,-0.22,0.08,0.02
5.318,-0.36,0.17,0.02
5.335,-0.09,-0.01,0.00
5.351,0.21,-0.05,-0.01
5.373,0.16,-0.09,-0.01
5.390,-0.07,0.04,0.00
5.406,-0.17,0.05,0.03
5.423,-0.03,0.02,0.01
5.439,0.12,-0.02,-0.01
5.456,0.06,-0.03,-0.01
5.473,-0.09,-0.00,0.01
5.489,-0.07,-0.00,0.02
5.506,0.05,-0.01,-0.00
5.523,-0.02,0.01,0.00
5.551,-0.06,0.01,0.02
5.568,0.01,-0.00,0.00
5.585,0.05,-0.01,-0.01
5.601,0.00,-0.01,0.00
5.618,-0.04,-0.00,0.01
5.635,-0.00,-0.00,0.01
5.651,0.02,-0.01,-0.00
5.668,0.01,-0.00,0.00
5.684,-0.02,0.00,0.01
5.701,-0.01,0.00,0.00
5.718,0.01,-0.00,0.00
5.735,-0.01,-0.00,0.00
5.751,-0.01,-0.00,0.00
5.768,0.01,-0.01,-0.00
5.785,0.01,-0.00,0.00
5.801,-0.01,-0.00,0.00
5.818,-0.01,-0.00,0.00
5.835,0.01,-0.00,0.00
5.851,0.01,-0.00,0.00
5.874,-0.01,-0.00,0.00
5.893,-0.01,-0.00,0.00
5.906,0.00,-0.00,0.00
5.923,0.00,-0.00,0.00
5.940,-0.00,-0.00,0.00
5.956,-0.00,-0.00,0.00
5.973,0.00,-0.00,0.00
5.990,0.00,-0.00,0.00
6.007,0.00,-0.00,0.00
6.023,-0.00,0.00,0.00
6.040,0.00,-0.00,0.00
6.056,0.00,-0.00,0.00
6.073,-0.01,-0.00,0.00
6.101,0.00,-0.00,0.00
6.118,0.00,-0.00,0.00
6.135,0.00,-0.00,0.00
6.151,-0.00,-0.00,0.00
6.168,0.00,-0.00,0.00
6.185,0.00,-0.00,0.00
6.201,-0.00,-0.00,0.00
6.218,-0.00,-0.00,0.00
6.234,0.00,-0.00,0.00
6.268,0.00,-0.00,0.00
6.285,0.00,-0.00,0.00
6.301,-0.00,-0.00,0.00
6.318,-0.00,0.00,0.00
6.335,-0.00,-0.00,0.00
6.351,0.00,-0.00,0.00
6.374,-0.00,-0.00,0.00
6.390,0.00,-0.00,0.00
6.407,-0.00,-0.00,0.00
6.423,-0.00,0.00,0.00
6.440,0.00,0.00,0.00
6.456,-0.00,-0.00,0.00
6.473,-0.00,-0.00,0.00
6.490,-0.00,-0.00,0.00
6.507,0.00,-0.00,0.00
6.523,-0.00,-0.00,0.00
6.540,-0.00,-0.00,0.00
6.557,-0.00,-0.00,0.00
6.573,-0.00,-0.00,0.00
6.590,0.00,-0.00,0.00
6.618,-0.00,-0.00,0.00
6.635,-0.00,-0.00,0.00
6.651,0.00,-0.00,0.00
6.668,0.00,-0.00,0.00
6.685,0.00,-0.00,0.00
6.701,0.00,-0.00,0.00
6.718,0.00,-0.00,0.00
6.735,-0.00,-0.00,0.00
6.751,0.00,-0.00,0.00
6.768,0.00,-0.00,0.00
6.785,-0.00,-0.00,0.00
6.818,-0.00,-0.00,0.00
6.835,-0.00,-0.00,0.00
6.851,-0.00,0.00,0.00
6.868,-0.00,-0.00,0.00
6.890,0.00,-0.00,0.00
6.907,0.00,-0.00,0.00
6.924,0.00,0.06,-0.00
6.944,-0.30,0.09,0.04
6.957,-0.22,0.09,0.05
6.974,0.09,-0.08,-0.02
6.990,0.36,-0.18,-0.04
7.007,0.49,-0.23,-0.01
6.008,-0.00,0.00,0.00
6.025,0.00,-0.00,0.00
6.040,0.00,-0.00,0.00
6.057,0.00,-0.00,0.00
6.072,-0.01,-0.00,0.00
6.090,0.00,-0.00,0.00
6.105,0.00,-0.00,0.00
6.122,0.00,-0.00,0.00
6.137,-0.00,-0.00,0.00
6.155,0.00,-0.00,0.00
6.170,0.00,-0.00,0.00
6.187,-0.00,-0.00,0.00
6.202,-0.00,-0.00,0.00
6.219,0.00,0.00,0.00
6.234,0.00,-0.00,0.00
6.252,-0.00,-0.00,0.00
6.267,0.00,-0.00,0.00
6.284,0.00,-0.00,0.00
6.299,-0.00,-0.00,0.00
6.316,-0.00,0.00,0.00
6.331,-0.00,-0.00,0.00
6.349,0.00,-0.00,0.00
6.364,-0.00,-0.00,0.00
6.381,0.00,-0.00,0.00
6.396,-0.00,-0.00,0.00
6.413,-0.00,0.00,0.00
6.428,0.00,0.00,0.00
6.446,-0.00,-0.00,0.00
6.461,-0.00,-0.00,0.00
6.478,-0.00,-0.00,0.00
6.493,0.00,-0.00,0.00
6.510,-0.00,-0.00,0.00
6.525,-0.00,-0.00,0.00
6.543,-0.00,-0.00,0.00
6.558,-0.00,-0.00,0.00
6.575,-0.00,-0.00,0.00
6.590,0.00,-0.00,0.00
6.607,-0.00,-0.00,0.00
6.622,-0.00,-0.00,0.00
6.640,0.00,-0.00,0.00
6.655,0.00,-0.00,0.00
6.672,0.00,-0.00,0.00
6.687,0.00,-0.00,0.00
6.704,0.00,-0.00,0.00
6.719,-0.00,-0.00,0.00
6.737,0.00,-0.00,0.00
