time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001199;-0,08;0,03;-0,03
0,001560;-0,04;0,02;-0,03
0,001745;-0,02;0,02;-0,03
0,001928;0,02;0,01;-0,02
0,004271;0,05;0,00;-0,01
0,013865;0,08;-0,01;-0,00
0,014225;0,09;-0,01;0,01
0,014353;0,10;-0,02;0,02
0,014467;0,09;-0,02;0,03
0,014905;0,08;-0,02;0,03
0,017448;0,06;-0,02;0,03
0,017918;0,03;-0,01;0,02
0,019435;0,01;-0,01;0,02
0,031413;-0,03;-0,00;0,01
0,031757;-0,05;0,00;-0,00
0,031905;-0,06;0,01;-0,01
0,032044;-0,08;0,01;-0,01
0,032201;-0,08;0,02;-0,03
0,032331;-0,08;0,02;-0,03
0,033802;-0,06;0,02;-0,03
0,035998;-0,04;0,01;-0,02
0,038591;-0,03;0,01;-0,02
0,047885;0,00;0,01;-0,01
0,048222;0,03;-0,00;0,01
0,048323;0,05;-0,01;0,02
0,048466;0,06;-0,01;0,02
0,048561;0,07;-0,01;0,03
0,050058;0,07;-0,02;0,03
0,052392;0,06;-0,01;0,02
0,053714;0,05;-0,02;0,02
0,063015;0,03;-0,01;0,01
0,063372;0,01;-0,01;-0,00
0,063485;-0,01;0,00;-0,01
0,063602;-0,03;-0,00;-0,02
0,064007;-0,04;0,01;-0,02
0,065512;-0,05;0,01;-0,02
0,067537;-0,06;0,01;-0,02
0,069422;-0,06;0,01;-0,02
0,080115;-0,05;0,01;-0,01
0,080473;-0,04;0,01;-0,00
0,080645;-0,01;0,01;0,01
0,080801;-0,00;0,00;0,01
0,080937;0,02;-0,00;0,02
0,081627;0,03;-0,01;0,02
0,083781;0,04;-0,00;0,02
0,085689;0,05;-0,01;0,02
0,087855;0,05;-0,01;0,01
0,097457;0,05;-0,01;0,01
0,097755;0,04;-0,01;-0,00
0,097915;0,03;-0,00;-0,01
0,098068;0,02;-0,00;-0,01
0,098212;-0,00;-0,00;-0,02
0,099512;-0,02;0,00;-0,01
0,101481;-0,03;0,01;-0,02
0,103426;-0,04;0,00;-0,01
0,113764;-0,05;0,01;-0,00
0,114061;-0,04;0,01;0,00
0,114222;-0,04;0,01;0,00
0,114379;-0,03;0,00;0,01
0,114531;-0,02;0,00;0,01
0,115959;-0,01;-0,00;0,01
0,117951;0,01;-0,01;0,01
0,119569;0,02;-0,01;0,01
0,129748;0,03;-0,00;0,01
0,130103;0,04;-0,01;0,00
0,130260;0,04;-0,00;-0,01
0,130411;0,04;-0,01;-0,01
0,130563;0,03;-0,00;-0,01
0,131952;0,02;-0,00;-0,01
0,133739;0,02;-0,00;-0,01
0,135752;0,00;-0,00;-0,01
0,148428;-0,02;0,00;-0,01
0,148815;-0,02;0,00;-0,00
0,148976;-0,03;0,00;0,00
0,149115;-0,04;0,00;0,01
0,149244;-0,04;0,01;0,01
0,149376;-0,04;0,00;0,01
0,149515;-0,03;0,00;0,01
0,151550;-0,01;-0,00;0,00
0,153523;-0,01;0,00;0,00
0,163860;0,01;-0,00;0,00
0,164204;0,02;-0,00;-0,01
0,164401;0,02;-0,00;-0,01
0,164553;0,03;-0,00;-0,01
0,164687;0,03;-0,00;-0,01
0,165647;0,03;-0,00;-0,01
0,167572;0,03;-0,00;-0,01
0,169803;0,02;-0,01;-0,00
0,180807;0,01;-0,00;0,00
0,181154;0,00;-0,00;0,00
0,181310;-0,01;0,00;0,01
0,181456;-0,02;0,00;0,01
0,181609;-0,02;0,00;0,01
0,181749;-0,03;0,00;0,01
0,183717;-0,03;0,01;0,00
0,185692;-0,03;0,00;0,01
0,187942;-0,02;0,00;-0,00
0,196479;-0,01;0,00;-0,01
0,196842;-0,01;0,00;-0,01
0,197016;0,00;0,00;-0,01
0,197307;0,01;0,00;-0,01
0,197782;0,02;0,00;-0,01
0,199594;0,03;-0,00;-0,01
0,201676;0,03;-0,00;-0,00
0,203668;0,02;-0,00;0,00
0,214360;0,02;-0,00;0,01
0,214641;0,02;-0,01;0,01
0,214794;0,01;-0,00;0,01
0,214936;-0,00;-0,00;0,01
0,215077;-0,01;-0,00;0,01
0,215796;-0,02;-0,00;0,01
0,217913;-0,02;0,00;0,01
0,219808;-0,02;0,00;-0,00
0,230523;-0,02;0,00;-0,00
0,230871;-0,02;0,00;-0,01
0,231025;-0,02;0,00;-0,01
0,231161;-0,01;0,01;-0,01
0,231331;-0,00;-0,00;-0,01
0,231563;0,00;0,00;-0,01
0,233618;0,01;0,00;-0,00
0,235709;0,02;-0,00;0,00
0,246796;0,02;-0,00;0,00
0,247128;0,02;-0,00;0,01
0,247300;0,02;-0,01;0,01
0,247461;0,02;-0,01;0,01
0,247613;0,01;-0,00;0,01
0,247763;0,00;-0,00;0,01
0,249765;0,00;-0,00;0,01
0,251606;-0,01;0,00;0,00
0,253640;-0,01;0,00;-0,00
0,263036;-0,01;0,00;-0,00
0,263337;-0,02;0,01;-0,01
0,263493;-0,02;0,00;-0,01
0,263623;-0,02;0,01;-0,01
0,263883;-0,01;0,00;-0,01
0,265814;-0,01;0,00;-0,01
0,267584;-0,00;0,00;-0,00
0,269557;0,00;0,00;-0,00
0,280664;0,01;-0,00;0,00
0,281035;0,01;-0,00;0,01
0,281187;0,01;-0,00;0,01
0,281329;0,01;-0,01;0,01
0,281482;0,02;-0,00;0,01
0,281641;0,01;-0,00;0,01
0,283789;0,01;0,00;0,00
0,285785;0,01;0,00;0,00
0,287999;0,00;0,00;-0,00
0,295936;-0,01;0,00;-0,01
0,296231;-0,01;0,00;-0,01
0,296454;-0,01;0,00;-0,01
0,296595;-0,01;0,00;-0,01
0,297851;-0,01;0,00;-0,01
0,299526;-0,01;0,00;-0,00
0,301871;-0,01;0,00;0,00
0,303473;-0,01;0,00;0,00
0,313874;-0,00;0,00;0,00
0,314210;0,00;-0,00;0,01
0,314366;0,00;-0,00;0,01
0,314507;0,01;-0,00;0,00
0,314645;0,01;-0,01;0,00
0,315692;0,01;-0,00;0,00
0,317945;0,01;0,00;0,00
0,319799;0,01;-0,00;-0,00
0,331038;0,01;-0,00;-0,00
0,331347;0,01;-0,00;-0,00
0,331504;0,01;-0,00;-0,01
0,331650;0,00;0,00;-0,01
0,331815;-0,00;0,00;-0,00
0,331965;-0,01;-0,00;-0,00
0,334087;-0,01;0,00;-0,00
0,335575;-0,01;0,00;0,00
0,338988;-0,01;0,00;0,00
0,348898;-0,01;0,00;0,00
0,349301;-0,01;0,00;0,01
0,349461;-0,01;-0,00;0,01
0,349617;-0,00;0,00;0,01
0,349753;0,00;0,00;0,00
0,349884;0,01;0,00;0,00
0,351740;0,01;-0,00;0,00
0,353600;0,01;0,00;-0,00
0,363981;0,01;0,00;-0,00
0,364405;0,01;0,00;-0,00
0,364529;0,01;-0,00;-0,00
0,364643;0,01;-0,00;-0,00
0,364742;0,00;0,00;-0,00
0,366029;0,00;0,00;-0,00
0,367555;-0,00;0,00;-0,00
0,369570;-0,01;-0,00;0,00
0,378543;-0,01;-0,00;0,00
0,378913;-0,01;0,00;0,00
0,379014;-0,01;0,00;0,01
0,379110;-0,01;0,00;0,00
0,379603;-0,01;0,00;-0,00
0,381863;-0,00;-0,00;-0,00
0,383867;-0,00;0,00;-0,00
0,385638;0,00;0,00;-0,00
0,387846;0,00;0,00;-0,00
0,397109;0,01;0,00;-0,00
0,397409;0,01;0,00;-0,01
0,397566;0,01;-0,00;-0,00
0,397850;0,01;0,00;-0,00
0,398433;0,01;-0,00;0,00
0,399874;0,00;-0,00;0,00
0,401566;0,00;-0,00;0,00
0,403579;0,00;0,00;0,00
0,412897;-0,00;-0,00;0,01
0,413164;-0,00;-0,00;0,00
0,413301;-0,01;0,00;0,00
0,413441;-0,01;0,00;0,00
0,413822;-0,01;0,00;-0,00
0,415736;-0,01;0,00;-0,00
0,417779;-0,01;0,00;-0,00
0,419460;-0,00;-0,00;-0,00
0,430331;-0,00;0,01;-0,00
0,430636;-0,00;0,00;-0,00
0,430784;0,00;-0,00;0,00
0,430926;0,01;-0,00;-0,00
0,431058;0,01;0,00;-0,00
0,431772;0,01;-0,00;0,00
0,433664;0,01;-0,00;0,00
0,435688;0,01;-0,01;0,00
0,447648;0,00;-0,00;0,00
0,448007;0,00;-0,00;0,00
0,448152;0,00;-0,00;0,00
0,448315;-0,00;-0,00;0,00
0,448523;-0,00;0,00;0,00
0,448708;-0,00;-0,00;-0,00
0,449893;-0,01;-0,00;-0,00
0,451601;-0,00;0,00;-0,00
0,453720;-0,01;0,00;-0,00
0,463797;-0,00;0,00;-0,00
0,464099;-0,00;-0,00;-0,00
0,464259;-0,00;0,00;-0,00
0,464488;0,00;0,00;0,00
0,464639;0,00;-0,00;0,00
0,465429;0,00;0,00;0,00
0,468079;0,00;-0,00;0,00
0,469703;0,01;-0,00;0,00
0,480137;0,01;-0,00;0,00
0,480556;0,00;0,00;0,00
0,480704;0,01;-0,00;0,00
0,480843;0,00;-0,00;-0,00
0,480987;0,00;-0,00;-0,00
0,481830;0,00;0,00;-0,00
0,483672;-0,00;0,00;-0,00
0,485719;-0,00;0,00;-0,00
0,487583;-0,00;0,01;-0,00
0,496560;-0,01;0,00;-0,00
0,496861;-0,00;-0,00;-0,00
0,497023;-0,00;0,01;-0,00
0,497167;-0,00;-0,00;0,00
0,498043;-0,00;-0,00;0,00
0,499660;-0,00;0,00;0,00
0,501873;0,00;-0,00;0,00
0,503776;0,00;-0,01;0,00
0,514104;0,00;0,00;0,00
0,514416;0,00;-0,00;0,00
0,514638;0,01;-0,00;0,00
0,514809;0,00;-0,00;-0,00
0,514960;0,00;-0,00;-0,00
0,516140;0,00;-0,00;-0,00
0,517918;0,00;-0,00;-0,00
0,519576;0,00;0,00;-0,00
0,530072;0,00;-0,00;-0,00
0,530396;-0,00;-0,00;-0,00
0,530564;-0,00;0,00;0,00
0,530727;-0,00;0,00;0,00
0,530851;-0,00;-0,00;0,00
0,531650;-0,00;-0,00;0,00
0,533908;-0,00;0,00;0,00
0,535549;-0,00;0,00;-0,00
0,537811;-0,00;-0,00;0,00
0,548193;-0,00;0,00;0,00
0,548554;0,00;-0,00;0,00
0,548717;0,00;0,00;-0,00
0,548876;0,00;-0,00;-0,00
0,549021;0,00;0,00;-0,00
0,550097;0,00;-0,00;-0,00
0,551917;0,01;-0,00;-0,00
0,553621;0,01;-0,00;-0,00
0,563712;0,01;0,00;-0,00
