time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001325;0,02;-0,05;-0,04
0,001720;0,02;-0,07;-0,03
0,001891;0,03;-0,09;-0,02
0,002064;0,02;-0,09;-0,01
0,003469;0,00;-0,09;0,00
0,004771;-0,00;-0,09;0,01
0,006956;0,01;-0,09;0,02
0,011297;-0,01;-0,05;0,03
0,011781;-0,02;-0,03;0,04
0,012588;-0,04;0,01;0,04
0,016027;-0,02;0,02;0,04
0,017208;-0,01;0,03;0,05
0,019652;-0,00;0,05;0,04
0,020640;0,00;0,07;0,02
0,023623;-0,00;0,09;0,01
0,024768;0,03;0,03;0,01
0,029772;0,01;0,06;-0,01
0,030043;0,00;0,04;-0,02
0,031414;-0,01;0,04;-0,03
0,032736;-0,03;0,04;-0,04
0,034722;-0,01;-0,01;-0,04
0,036646;-0,03;0,00;-0,05
0,038506;-0,01;-0,03;-0,05
0,040450;-0,01;-0,04;-0,04
0,042450;0,00;-0,04;-0,03
0,044694;0,01;-0,06;-0,02
0,046956;0,01;-0,05;-0,00
0,048598;0,01;-0,02;-0,00
0,050758;0,00;-0,02;0,01
0,052706;0,01;-0,01;0,02
0,054692;0,01;0,00;0,03
0,056862;0,02;-0,01;0,04
0,058985;0,01;0,01;0,04
0,060639;-0,02;0,03;0,04
0,062619;0,01;0,01;0,04
0,064807;-0,01;0,01;0,03
0,066828;-0,01;0,02;0,02
0,068778;-0,02;0,02;0,01
0,070602;-0,01;0,01;0,00
0,073065;-0,01;0,01;-0,01
0,074528;-0,00;0,00;-0,02
0,076778;0,00;-0,00;-0,03
0,079069;-0,00;0,01;-0,04
0,080870;0,02;-0,02;-0,04
0,082692;0,03;-0,02;-0,04
0,084766;0,01;-0,01;-0,04
0,086963;0,03;-0,04;-0,03
0,088485;-0,02;0,01;-0,02
0,090492;-0,01;-0,01;-0,01
0,092679;0,01;-0,02;-0,00
0,094648;-0,01;-0,01;0,01
0,097472;-0,00;-0,01;0,02
0,098558;-0,02;0,01;0,02
0,100714;-0,00;-0,02;0,03
0,103056;0,01;-0,01;0,04
0,104734;0,01;-0,00;0,04
0,107116;-0,00;0,02;0,03
0,109208;0,01;0,01;0,03
0,110968;0,02;0,01;0,02
0,112580;0,02;0,00;0,02
0,114906;0,02;-0,00;0,00
0,116574;0,01;-0,01;-0,00
0,118633;0,00;-0,01;-0,01
0,121099;-0,01;0,00;-0,02
0,122637;-0,02;0,00;-0,03
0,127522;-0,02;0,00;-0,03
0,127772;-0,02;-0,01;-0,03
0,128657;-0,02;-0,01;-0,03
0,130763;-0,02;-0,00;-0,02
0,132803;-0,01;-0,00;-0,02
0,134768;-0,01;0,01;-0,01
0,136723;-0,01;0,02;-0,00
0,138732;0,01;-0,00;0,00
0,140695;0,01;0,02;0,01
0,142637;0,03;0,01;0,02
0,145354;0,03;-0,00;0,02
0,147290;0,03;-0,01;0,03
0,148898;0,01;0,01;0,03
0,150936;-0,01;0,02;0,02
0,152770;-0,00;-0,01;0,03
0,154563;-0,02;-0,01;0,02
0,156737;-0,02;-0,01;0,01
0,159263;-0,03;0,01;0,00
0,161755;-0,03;-0,01;-0,00
0,162690;-0,01;-0,01;-0,01
0,164882;-0,01;-0,00;-0,01
0,166895;-0,01;0,01;-0,02
0,168591;0,01;-0,00;-0,02
0,170478;0,02;-0,00;-0,02
0,172444;0,02;0,01;-0,02
0,174742;0,03;0,01;-0,02
0,176856;0,03;-0,00;-0,02
0,178733;0,01;0,01;-0,01
0,180801;-0,01;0,01;-0,01
0,182738;-0,02;0,01;0,00
0,184612;-0,02;0,00;0,00
0,186777;-0,02;0,01;0,01
0,188780;-0,02;0,01;0,02
0,190685;-0,01;-0,00;0,02
0,192687;0,00;-0,01;0,02
0,194626;0,01;-0,01;0,02
0,196740;0,01;0,01;0,02
0,198917;0,02;0,00;0,01
0,200702;0,03;-0,01;0,01
0,202716;0,02;0,00;0,01
0,204676;0,01;-0,00;-0,00
0,206958;-0,01;0,00;-0,00
0,209456;0,01;-0,02;-0,01
0,210536;-0,00;-0,02;-0,01
0,212635;-0,02;-0,00;-0,01
0,214788;-0,02;-0,00;-0,02
0,216984;-0,03;0,01;-0,02
0,219093;-0,02;0,01;-0,01
0,220908;0,01;-0,01;-0,01
0,222547;-0,00;0,02;-0,01
0,224686;0,00;0,01;-0,00
0,228275;0,02;-0,01;-0,00
0,228570;0,00;0,01;0,00
0,231033;0,02;-0,00;0,01
0,232794;0,02;-0,01;0,01
0,234607;0,00;0,01;0,01
0,236968;0,00;0,01;0,01
0,238696;-0,00;0,01;0,01
0,240582;0,00;-0,00;0,01
0,242742;-0,01;-0,01;0,01
0,244505;-0,01;-0,00;0,01
0,247151;-0,02;0,01;0,00
0,248705;0,00;-0,03;0,01
0,250525;-0,00;-0,03;0,00
0,252480;-0,00;-0,02;-0,00
0,254697;-0,01;0,01;-0,01
0,256593;-0,00;0,01;-0,01
0,259390;0,01;-0,00;-0,01
0,263504;0,01;0,01;-0,01
0,263790;0,02;-0,00;-0,01
0,265063;0,01;0,01;-0,01
0,267321;0,02;-0,01;-0,01
0,268660;0,01;-0,01;-0,00
0,270512;-0,01;-0,00;0,00
0,272688;-0,02;0,01;-0,00
0,274908;-0,02;0,01;0,00
0,279191;-0,02;0,01;0,01
0,281384;-0,02;0,01;0,01
0,281602;-0,01;-0,00;0,01
0,283149;-0,00;0,01;0,01
0,284853;-0,00;0,01;0,01
0,286920;0,02;-0,02;0,01
0,288811;0,02;-0,01;0,01
0,290700;0,02;-0,00;0,00
0,293138;0,01;-0,01;0,00
0,295590;0,02;-0,02;0,00
0,297086;0,01;-0,03;0,00
0,298710;-0,02;0,02;-0,00
0,300639;-0,02;0,01;-0,01
0,302716;-0,03;0,01;-0,01
0,304856;-0,02;-0,01;-0,01
0,306892;-0,01;0,01;-0,01
0,310580;0,00;0,00;-0,01
0,310732;0,01;0,01;-0,01
0,313890;0,02;-0,01;-0,00
0,315814;0,03;-0,01;-0,00
0,317203;0,02;0,01;0,00
0,319326;0,03;-0,00;0,01
0,321390;0,01;0,01;0,00
0,322618;0,00;0,01;0,00
0,325512;0,01;-0,00;0,01
0,327806;-0,01;0,00;0,01
0,328624;-0,03;0,01;0,00
0,331929;-0,01;-0,02;0,01
0,332603;-0,02;-0,02;0,00
0,334717;-0,02;-0,00;0,00
0,336608;-0,01;-0,01;0,00
0,338654;-0,00;-0,01;0,00
0,340707;0,01;-0,00;-0,00
0,343088;0,03;-0,01;-0,00
0,344510;0,02;0,00;-0,01
0,347175;0,03;0,00;-0,00
0,348750;0,02;0,00;-0,01
0,350764;0,02;-0,00;-0,00
0,352639;-0,02;0,02;-0,01
0,354578;-0,02;0,02;-0,01
0,356661;-0,02;-0,01;-0,00
0,359573;-0,03;-0,00;-0,00
0,360708;-0,03;0,00;-0,00
0,363026;-0,02;0,00;0,00
0,364663;-0,02;0,01;-0,00
0,366794;0,01;0,01;0,00
0,368839;0,02;0,00;0,00
0,370572;0,02;0,02;0,00
0,372579;0,03;0,00;0,00
0,374598;0,02;0,00;0,00
0,376689;0,03;-0,01;0,01
0,378768;0,02;-0,01;0,00
0,381277;-0,01;0,00;0,00
0,382795;-0,01;-0,01;0,00
0,384711;-0,03;0,00;-0,00
0,386921;-0,04;0,00;-0,00
0,388724;-0,03;-0,00;-0,00
0,390649;-0,03;0,01;-0,00
0,393258;-0,02;0,01;-0,00
0,394752;-0,00;-0,00;-0,00
0,396760;0,01;0,01;-0,01
0,398755;0,03;-0,01;-0,00
0,400636;0,01;0,02;-0,01
0,402700;0,03;0,01;-0,00
0,404738;0,03;0,00;-0,00
0,406934;0,01;0,02;0,00
0,408520;0,02;-0,01;0,00
0,410820;-0,02;0,01;0,00
0,412908;-0,01;-0,01;0,00
0,414963;-0,02;-0,01;0,01
0,416699;-0,02;-0,01;0,00
0,418694;-0,02;-0,01;0,01
0,420655;-0,02;0,01;0,00
0,422670;-0,00;0,01;-0,00
0,424671;-0,00;0,01;0,00
0,428146;0,01;0,00;0,00
0,428636;0,01;0,01;-0,00
0,431014;0,02;-0,00;-0,00
0,432667;0,02;0,00;-0,00
0,434674;0,01;0,01;-0,00
0,436558;0,02;-0,01;-0,00
0,438571;0,01;-0,02;-0,00
0,440597;-0,01;0,01;-0,01
0,443195;-0,02;0,00;-0,00
0,444492;-0,04;0,02;-0,01
0,447053;-0,01;-0,02;-0,00
0,448889;-0,02;-0,01;0,00
0,450704;-0,02;0,01;-0,00
0,452846;-0,01;0,01;0,00
0,454645;-0,00;0,02;0,00
0,456673;0,02;0,01;0,00
0,458699;0,02;0,00;0,00
0,460483;0,01;0,01;0,00
0,463232;0,01;0,01;0,00
0,464870;0,03;-0,01;0,00
0,466927;0,00;0,01;0,00
0,468877;-0,01;0,00;0,00
0,470955;-0,01;-0,01;0,01
0,472701;-0,03;0,00;0,00
0,474573;-0,02;-0,01;-0,00
0,476793;-0,02;-0,00;-0,00
0,478581;-0,02;-0,00;-0,00
0,480926;0,00;-0,00;-0,01
0,482773;0,01;-0,00;-0,00
0,484730;0,02;0,01;-0,00
0,487221;0,02;0,00;-0,00
0,488611;0,02;0,01;-0,00
0,490561;0,03;-0,01;-0,00
0,493275;0,03;-0,01;0,00
0,494529;0,00;0,01;0,00
0,498507;0,01;-0,01;-0,00
0,499843;-0,01;-0,02;0,00
0,500688;0,00;-0,02;0,00
0,502773;-0,02;-0,01;0,01
0,505067;-0,02;0,00;0,00
0,506895;-0,02;0,01;-0,00
0,509147;-0,01;0,01;0,00
0,510617;-0,00;-0,01;0,00
0,512435;0,00;0,01;-0,00
0,514741;0,00;0,02;-0,00
0,516989;0,04;-0,02;0,01
0,518663;0,02;-0,01;0,00
0,520661;0,01;0,00;0,00
