time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001129;-0,04;0,04;0,04
0,001476;-0,06;0,06;0,02
0,001617;-0,07;0,06;0,02
0,003394;-0,09;0,03;0,01
0,004970;-0,11;-0,00;-0,01
0,006629;-0,11;-0,04;-0,01
0,008653;-0,12;-0,00;-0,03
0,013211;-0,12;-0,03;-0,04
0,013493;-0,12;0,03;-0,05
0,015365;-0,11;0,02;-0,05
0,017362;-0,10;0,03;-0,05
0,019115;-0,09;0,03;-0,06
0,021897;-0,08;0,03;-0,06
0,022819;-0,06;0,03;-0,05
0,024840;-0,05;-0,00;-0,05
0,026811;-0,04;0,00;-0,05
0,030719;-0,02;-0,01;-0,04
0,031211;-0,00;-0,03;-0,03
0,033252;0,00;-0,03;-0,03
0,034780;0,02;0,01;-0,02
0,036732;0,04;-0,01;-0,01
0,038666;0,06;0,02;-0,00
0,040932;0,06;0,03;0,01
0,042759;0,07;-0,01;0,02
0,045129;0,08;-0,03;0,03
0,046876;0,08;-0,03;0,03
0,048764;0,08;-0,04;0,04
0,051217;0,08;-0,01;0,04
0,052934;0,07;-0,00;0,05
0,054831;0,07;-0,02;0,05
0,056832;0,07;-0,01;0,05
0,058726;0,06;0,01;0,05
0,062142;0,06;0,02;0,05
0,062876;0,05;0,01;0,05
0,066998;0,03;0,01;0,04
0,067269;0,02;0,01;0,03
0,069578;0,01;-0,04;0,03
0,071510;-0,00;-0,01;0,02
0,073250;-0,01;-0,03;0,02
0,074607;-0,02;-0,02;0,00
0,076552;-0,03;0,02;-0,01
0,080531;-0,03;-0,01;-0,01
0,081286;-0,04;0,03;-0,02
0,085122;-0,05;0,02;-0,03
0,085441;-0,05;-0,01;-0,03
0,087161;-0,05;0,04;-0,04
0,089142;-0,05;0,02;-0,04
0,090968;-0,06;0,01;-0,04
0,093044;-0,06;0,02;-0,04
0,095224;-0,06;-0,03;-0,04
0,096947;-0,04;-0,00;-0,04
0,098922;-0,04;-0,01;-0,04
0,101259;-0,03;-0,03;-0,03
0,102907;-0,03;0,00;-0,03
0,105260;-0,02;0,02;-0,02
0,106763;-0,00;0,05;-0,02
0,108683;0,01;0,02;-0,01
0,111063;-0,00;-0,00;-0,00
0,113506;0,00;-0,01;0,00
0,115461;0,01;-0,03;0,01
0,117714;0,02;-0,05;0,02
0,118857;0,03;-0,04;0,03
0,121133;0,03;-0,02;0,03
0,123046;0,04;0,01;0,03
0,124746;0,05;0,06;0,03
0,126649;0,05;0,03;0,04
0,129146;0,04;0,01;0,04
0,131284;0,04;0,01;0,04
0,132785;0,03;-0,06;0,03
0,135175;0,03;-0,01;0,03
0,136876;0,03;-0,03;0,03
0,138806;0,02;-0,03;0,02
0,141168;0,02;0,03;0,01
0,142937;0,02;0,01;0,01
0,145534;0,02;0,02;0,00
0,146761;0,01;0,02;-0,00
0,149280;0,00;0,02;-0,01
0,150841;-0,00;-0,02;-0,01
0,153065;-0,01;-0,01;-0,02
