time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001266;0,00;-0,00;0,02
0,001657;-0,02;-0,01;0,02
0,001847;-0,04;-0,01;0,01
0,002455;-0,05;-0,02;0,00
0,004202;-0,06;-0,01;-0,01
0,006282;-0,06;-0,01;-0,01
0,008103;-0,06;0,00;-0,02
0,009715;-0,05;0,01;-0,02
0,014783;-0,04;0,02;-0,02
0,014998;-0,02;0,02;-0,02
0,015856;0,00;0,01;-0,01
0,018205;0,02;0,01;-0,01
0,020161;0,04;0,01;-0,00
0,021963;0,05;0,00;0,01
0,023959;0,06;0,00;0,01
0,025887;0,05;-0,00;0,02
0,027762;0,04;-0,02;0,02
0,029835;0,03;-0,02;0,02
0,032036;0,02;-0,02;0,02
0,033753;0,00;-0,02;0,01
0,036127;-0,01;-0,01;0,01
0,038049;-0,02;-0,01;0,00
0,039926;-0,03;0,00;-0,01
0,041888;-0,04;0,01;-0,01
0,043896;-0,04;0,01;-0,01
0,046017;-0,04;0,02;-0,02
0,047872;-0,03;0,02;-0,02
0,049987;-0,03;0,01;-0,01
0,052013;-0,01;0,01;-0,01
0,053872;0,01;0,00;-0,00
0,055775;0,01;0,00;0,00
0,057789;0,03;-0,00;0,01
0,059779;0,03;-0,01;0,01
0,062268;0,03;-0,02;0,02
0,064229;0,03;-0,01;0,02
0,066254;0,03;-0,01;0,02
0,068407;0,03;-0,00;0,01
0,070313;0,02;-0,00;0,01
0,072049;0,01;0,00;0,01
0,073619;-0,01;0,01;-0,00
0,075898;-0,01;0,00;-0,01
0,077735;-0,02;0,01;-0,01
0,079750;-0,03;0,01;-0,02
0,081795;-0,03;0,01;-0,02
0,083742;-0,03;0,00;-0,02
0,086425;-0,03;0,01;-0,01
0,087790;-0,02;0,00;-0,01
0,089921;-0,01;0,00;-0,00
0,091711;-0,00;0,00;0,01
0,093615;0,00;0,00;0,01
0,096727;0,01;-0,00;0,02
0,097811;0,02;-0,01;0,02
0,100187;0,03;-0,01;0,01
0,102301;0,03;-0,00;0,01
0,103992;0,03;-0,00;0,01
0,106107;0,02;-0,01;-0,00
0,107827;0,01;-0,01;-0,01
0,109769;0,01;-0,00;-0,01
0,112449;-0,00;-0,00;-0,01
0,114153;-0,01;-0,00;-0,01
0,115710;-0,02;-0,00;-0,01
0,117972;-0,02;0,01;-0,01
0,120101;-0,02;0,01;-0,01
0,122131;-0,02;0,01;0,00
0,123961;-0,02;0,00;0,01
0,126149;-0,02;0,01;0,01
0,127877;-0,01;0,00;0,01
0,130541;-0,00;0,00;0,01
0,131865;0,01;-0,00;0,01
0,133788;0,01;-0,00;0,01
0,136246;0,02;-0,00;0,00
0,137970;0,02;-0,00;0,00
0,139853;0,02;-0,00;-0,00
0,141776;0,02;-0,00;-0,00
0,143960;0,02;0,00;-0,01
0,146219;0,01;-0,00;-0,01
0,147792;0,01;-0,00;-0,01
0,149773;-0,00;0,00;-0,01
0,152202;-0,01;0,00;-0,01
0,153984;-0,01;-0,00;-0,00
0,155959;-0,02;0,00;-0,00
0,157880;-0,02;0,00;0,00
0,159820;-0,02;0,00;0,00
0,162292;-0,02;-0,00;0,01
0,164673;-0,01;0,00;0,01
0,166023;-0,01;0,00;0,01
0,167794;-0,00;0,00;0,00
0,169709;0,00;0,00;-0,00
0,171882;0,00;-0,00;0,00
0,173791;0,02;-0,00;-0,00
0,175903;0,02;0,00;-0,00
0,177808;0,02;-0,00;-0,00
0,180484;0,02;-0,00;-0,01
0,181763;0,02;-0,00;-0,00
0,184034;0,01;0,00;-0,01
0,186336;0,01;0,00;-0,00
0,188193;-0,00;0,00;0,00
0,189792;-0,01;-0,00;0,01
0,191949;-0,01;0,01;0,00
0,193897;-0,02;0,00;0,00
0,195964;-0,02;-0,00;0,01
0,199037;-0,02;0,00;0,00
0,200068;-0,02;0,01;0,00
0,201876;-0,01;0,00;-0,00
0,204031;-0,01;0,00;0,00
0,206140;-0,00;0,00;0,00
0,207675;0,00;0,00;-0,01
0,209806;0,01;0,00;-0,01
0,212457;0,01;-0,00;-0,01
0,213998;0,02;-0,00;-0,01
0,216091;0,02;-0,00;-0,00
0,217935;0,02;0,00;-0,01
0,220248;0,01;-0,00;0,00
0,222201;0,01;0,00;0,00
0,224044;0,00;-0,00;0,00
0,226447;-0,00;-0,00;0,01
0,229467;-0,01;0,00;0,01
0,229760;-0,01;-0,00;0,01
0,232088;-0,01;-0,00;0,01
0,234018;-0,01;0,00;0,01
0,236068;-0,01;0,00;0,00
0,238122;-0,01;0,00;0,00
0,240046;-0,01;0,00;-0,00
0,242021;-0,01;0,00;-0,01
0,243807;-0,00;-0,00;-0,01
0,246015;0,01;0,00;-0,01
0,247914;0,01;0,00;-0,01
0,249877;0,01;0,00;-0,01
0,253110;0,01;-0,00;-0,01
0,253916;0,01;0,00;-0,00
0,256614;0,01;-0,00;0,00
0,257637;0,01;0,00;0,01
0,259895;0,00;-0,00;0,01
0,262327;-0,00;-0,00;0,01
0,264329;-0,00;-0,01;0,01
0,266212;-0,01;0,00;0,01
0,267901;-0,01;-0,00;0,01
0,270166;-0,01;-0,00;0,00
0,271966;-0,01;0,00;-0,00
0,273830;-0,01;0,00;-0,00
0,275786;-0,01;0,00;-0,01
0,279039;-0,00;-0,00;-0,01
0,279848;-0,00;0,01;-0,01
0,281795;0,00;0,00;-0,00
0,283806;0,00;0,00;-0,00
0,286265;0,01;0,00;-0,00
0,287873;0,01;-0,00;0,01
0,289665;0,01;-0,00;0,00
0,291821;0,01;-0,00;0,00
0,293629;0,01;-0,00;0,00
0,295926;0,01;-0,01;0,01
0,297755;0,00;-0,00;0,01
0,300198;0,00;-0,00;0,00
0,301965;-0,00;-0,00;0,00
0,303946;-0,01;-0,01;-0,00
0,305932;-0,01;-0,00;-0,00
0,307719;-0,01;0,00;-0,00
0,309870;-0,01;0,01;-0,00
0,312084;-0,01;0,01;-0,01
0,313786;-0,00;0,00;-0,00
0,316024;-0,00;0,00;-0,01
0,317836;-0,00;0,00;-0,00
0,320792;0,00;0,00;0,00
0,321639;0,00;-0,00;0,01
0,323617;0,00;-0,00;0,00
0,325878;0,01;-0,00;0,01
0,327695;0,01;-0,00;0,01
0,330057;0,00;-0,00;0,01
0,332159;0,01;-0,00;0,00
0,334271;0,00;-0,00;0,00
0,336423;0,00;-0,01;-0,00
0,338304;0,00;0,01;-0,00
0,340054;0,00;-0,00;-0,01
