time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001669;-0,04;0,00;-0,01
0,002061;-0,05;0,01;-0,01
0,002296;-0,05;0,02;-0,01
0,004189;-0,05;0,01;-0,01
0,005543;-0,04;0,02;-0,01
0,007518;-0,03;0,01;-0,00
0,009612;-0,01;0,00;0,00
0,014923;-0,00;-0,00;0,00
0,015246;0,03;-0,01;0,01
0,015388;0,03;-0,01;0,01
0,018313;0,03;-0,01;0,01
0,019386;0,05;-0,01;0,01
0,021191;0,04;-0,01;0,01
0,023202;0,04;-0,01;0,01
0,025250;0,03;-0,00;-0,00
0,027252;0,02;-0,00;-0,00
0,031185;0,01;0,00;-0,00
0,034414;-0,01;0,01;-0,01
0,034696;-0,03;0,01;-0,01
0,035725;-0,03;0,01;-0,01
0,037601;-0,04;0,01;-0,01
0,039450;-0,04;0,01;-0,01
0,041260;-0,04;-0,00;-0,00
0,043724;-0,04;0,00;-0,00
0,047988;-0,02;-0,00;0,00
0,048219;-0,01;-0,00;0,01
0,049348;-0,00;-0,00;0,01
0,054274;0,01;-0,00;0,01
0,054418;0,03;-0,00;0,01
0,055227;0,03;0,00;0,01
0,058023;0,04;0,00;0,00
0,059724;0,04;0,00;0,00
0,062830;0,04;0,00;-0,00
0,063615;0,02;0,00;-0,01
0,065211;0,02;0,00;-0,01
0,067245;0,01;0,00;-0,01
0,069120;-0,01;-0,00;-0,01
0,073988;-0,01;-0,00;-0,01
0,074079;-0,03;-0,01;-0,01
0,074990;-0,03;-0,01;-0,01
0,077381;-0,04;0,00;-0,00
0,079449;-0,03;-0,00;0,00
0,081172;-0,03;0,00;0,00
0,083281;-0,02;0,00;0,01
0,085091;-0,01;0,01;0,01
0,087073;-0,01;0,01;0,01
0,089058;0,01;0,00;0,01
0,094325;0,02;0,01;0,00
0,094417;0,03;0,00;-0,00
0,096099;0,03;0,00;-0,00
0,097277;0,02;0,00;-0,00
0,100022;0,03;-0,00;-0,00
0,101670;0,02;-0,01;-0,01
0,103889;0,01;-0,01;-0,01
0,105188;0,00;-0,01;-0,01
0,107639;-0,01;-0,00;-0,00
0,109091;-0,01;-0,00;-0,00
0,114479;-0,02;0,00;0,00
0,114685;-0,02;-0,00;0,00
0,115695;-0,03;0,00;0,00
0,117462;-0,03;0,00;0,00
0,119190;-0,02;0,00;0,01
0,121182;-0,02;0,00;0,01
0,123217;-0,00;0,00;0,00
0,125388;0,00;0,00;0,00
0,127219;0,01;-0,00;0,00
0,129408;0,02;-0,00;-0,00
0,135161;0,02;-0,00;-0,01
0,135785;0,03;-0,00;-0,00
0,136078;0,02;-0,00;-0,01
0,137760;0,03;0,00;-0,01
0,139264;0,02;-0,01;-0,00
0,141206;0,01;-0,00;-0,00
0,143112;0,00;-0,00;-0,00
0,145538;-0,01;0,00;0,00
0,151655;-0,01;0,00;0,00
0,151866;-0,02;0,01;0,00
0,154919;-0,02;0,00;0,00
0,155616;-0,02;0,00;0,00
0,155919;-0,02;0,00;0,01
0,157576;-0,02;0,00;0,00
0,159321;-0,01;0,00;0,00
0,161285;-0,00;0,00;-0,00
0,163502;0,00;0,00;-0,00
0,165306;0,01;-0,00;-0,00
0,168048;0,01;0,00;-0,01
0,169869;0,01;0,00;-0,00
0,174152;0,02;-0,00;-0,01
0,174285;0,02;-0,00;-0,00
0,175462;0,02;-0,00;-0,00
0,177334;0,01;-0,00;0,00
0,180721;0,01;0,00;-0,00
0,181873;0,00;-0,00;0,00
0,183553;-0,00;-0,00;0,00
0,185608;-0,01;0,00;0,00
0,187231;-0,02;0,00;0,00
0,189260;-0,02;0,00;0,00
0,194124;-0,01;-0,00;0,00
0,194218;-0,02;0,00;0,00
0,198433;-0,02;-0,00;0,00
0,198673;-0,01;0,00;-0,00
0,199356;-0,01;-0,00;-0,00
0,201275;0,00;0,00;-0,00
0,203203;0,00;0,00;-0,00
0,205364;0,01;0,00;-0,00
0,207345;0,02;0,00;-0,00
0,209099;0,02;-0,00;-0,00
0,214126;0,02;-0,00;-0,00
0,214234;0,01;-0,00;-0,00
0,215210;0,01;-0,00;0,00
0,217226;0,01;0,00;0,00
0,219172;0,00;-0,00;0,00
0,221216;0,00;-0,00;0,00
0,223231;-0,01;-0,00;0,00
0,225139;-0,01;0,00;0,00
0,227279;-0,01;0,00;0,00
0,230305;-0,02;0,01;0,00
0,234654;-0,02;0,00;-0,00
0,234830;-0,01;0,00;-0,00
0,235662;-0,01;0,00;-0,00
0,237854;-0,01;0,00;-0,00
0,240058;0,00;0,00;-0,00
0,241325;0,00;0,00;-0,00
0,243733;0,01;-0,00;-0,00
0,247488;0,01;0,00;0,00
0,247624;0,02;-0,00;-0,00
0,249779;0,02;-0,00;0,00
0,254420;0,01;-0,00;0,00
0,254579;0,01;0,00;0,00
0,255367;0,01;-0,00;0,00
0,257787;0,00;0,00;0,00
0,259871;0,00;0,00;0,00
0,261942;-0,01;-0,00;0,00
0,263911;-0,01;0,00;-0,00
0,266488;-0,02;0,00;-0,00
0,268089;-0,02;0,00;-0,00
0,270188;-0,02;0,00;-0,00
0,274218;-0,01;0,00;-0,01
0,274386;-0,00;0,00;-0,00
0,275917;-0,01;0,00;-0,00
0,278323;0,00;-0,00;-0,00
0,282111;0,01;0,00;-0,00
0,282367;0,00;-0,00;0,00
0,283851;0,02;0,00;0,00
0,285660;0,01;0,00;0,00
0,287830;0,02;-0,00;0,00
0,289188;0,01;0,00;0,00
0,294146;0,01;-0,00;0,00
0,294262;0,00;0,00;0,00
0,297154;-0,00;0,00;0,00
0,298511;0,00;-0,00;0,00
0,299923;-0,00;0,00;-0,00
0,301895;-0,01;0,00;-0,01
0,304107;-0,01;-0,00;-0,00
0,305405;-0,01;0,00;-0,00
0,307811;-0,02;0,00;-0,00
0,309486;-0,01;-0,00;-0,00
0,315924;-0,01;0,00;-0,00
0,316111;-0,00;-0,00;0,00
0,316221;-0,00;0,00;-0,00
0,317741;-0,00;0,00;0,01
0,319297;0,01;0,00;0,00
0,321342;0,00;-0,00;0,00
0,323856;0,00;0,00;0,00
0,325365;0,01;0,00;0,00
0,327340;0,01;-0,00;0,00
0,330284;0,01;-0,00;0,00
0,334994;0,00;-0,00;-0,00
0,335223;-0,00;0,00;-0,00
0,335639;-0,00;0,00;-0,00
0,337706;-0,01;0,00;-0,00
0,339188;-0,00;-0,00;-0,00
0,341065;-0,01;0,01;-0,00
0,343586;-0,01;-0,00;-0,00
0,345228;-0,01;0,00;0,00
0,349605;-0,01;0,00;0,00
0,350247;0,00;-0,00;0,00
0,354253;0,00;-0,00;0,00
0,354484;-0,00;0,00;0,00
0,355071;0,01;0,00;0,00
0,357317;0,01;-0,00;0,00
0,359268;0,01;-0,00;0,00
0,361245;0,01;-0,00;0,00
0,364945;0,00;-0,00;0,00
0,365448;0,01;-0,00;-0,00
0,367348;0,01;-0,00;-0,00
0,369761;-0,00;0,00;-0,00
0,374481;-0,01;0,00;-0,00
0,374597;-0,00;0,00;-0,00
0,375339;-0,01;0,00;-0,00
0,377915;-0,00;-0,00;-0,00
0,380862;-0,01;0,00;-0,00
0,382199;-0,01;0,00;0,00
0,383707;-0,01;0,00;-0,00
0,385584;-0,01;-0,00;0,00
0,388365;-0,01;0,00;0,00
0,389886;-0,00;0,01;0,00
0,394668;-0,00;0,00;0,00
0,395138;0,00;0,00;0,00
0,395408;0,01;0,00;-0,00
0,400137;0,00;-0,00;0,00
0,400368;0,01;-0,00;-0,00
0,402073;0,00;0,00;-0,00
0,403879;0,01;0,00;-0,00
0,405708;0,00;0,00;-0,00
0,407904;-0,01;0,00;-0,00
0,409207;-0,00;0,00;-0,00
0,414777;-0,01;0,00;-0,00
0,414929;-0,00;-0,00;0,00
0,416853;-0,00;-0,00;0,00
0,417419;-0,01;-0,00;0,00
0,419915;-0,00;0,00;0,00
0,421560;-0,00;-0,00;0,00
0,423346;-0,00;-0,00;0,00
0,425321;-0,00;0,00;0,00
0,427229;-0,00;0,00;0,00
0,430310;0,01;0,00;0,00
0,435098;0,00;0,00;-0,00
0,435324;0,01;-0,00;-0,00
0,435456;0,00;0,00;-0,00
0,438294;0,00;-0,00;-0,01
0,439469;0,01;-0,00;-0,00
0,441759;0,01;-0,00;-0,00
0,443454;0,01;-0,00;-0,00
0,445371;-0,00;-0,00;-0,00
0,447583;0,00;0,00;0,00
0,449533;0,00;-0,00;0,00
0,454380;-0,00;0,00;0,00
0,454561;-0,01;0,00;0,00
0,455982;-0,01;0,00;0,00
0,457724;-0,01;0,00;0,00
