time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001019;-0,02;0,00;0,01
0,001601;-0,03;-0,00;0,02
0,002058;-0,04;-0,00;0,01
0,002442;-0,05;-0,01;0,01
0,002647;-0,05;-0,01;0,01
0,002812;-0,04;-0,02;0,01
0,003505;-0,04;-0,01;0,01
0,005228;-0,03;-0,01;0,00
0,007782;-0,01;-0,00;-0,01
0,011032;0,00;0,00;-0,01
0,014640;0,01;0,01;-0,02
0,014845;0,03;0,01;-0,02
0,015127;0,04;0,01;-0,01
0,017069;0,04;0,01;-0,01
0,019268;0,04;0,01;0,00
0,021211;0,04;0,01;0,01
0,023748;0,03;-0,00;0,02
0,025577;0,02;0,00;0,01
0,028068;0,01;-0,00;0,02
0,029212;-0,01;-0,00;0,02
0,034125;-0,01;-0,00;0,01
0,034410;-0,02;-0,00;0,01
0,034927;-0,03;-0,00;0,02
0,036911;-0,03;-0,01;0,01
0,038941;-0,04;0,00;0,00
0,041031;-0,04;0,00;-0,01
0,043548;-0,03;0,00;-0,01
0,044992;-0,02;-0,00;-0,01
0,046958;-0,01;0,00;-0,03
0,048969;-0,00;0,00;-0,03
0,054357;0,01;-0,01;-0,02
0,054553;0,02;-0,00;-0,01
0,055230;0,03;-0,00;-0,01
0,057162;0,03;-0,00;-0,00
0,060579;0,03;0,00;0,01
0,061069;0,03;0,00;0,02
0,062961;0,03;0,00;0,02
0,065085;0,02;0,00;0,02
0,067163;0,01;0,01;0,02
0,069061;0,00;0,00;0,02
0,074367;-0,01;0,00;0,01
0,074607;-0,02;-0,00;0,01
0,078236;-0,02;-0,00;0,00
0,078840;-0,03;-0,00;-0,01
0,079351;-0,03;-0,00;-0,02
0,081481;-0,02;-0,01;-0,01
0,083271;-0,02;-0,00;-0,01
0,085127;-0,02;-0,00;-0,03
0,087207;-0,01;-0,00;-0,03
0,089116;-0,00;-0,00;-0,01
0,094516;0,01;0,00;-0,00
0,094682;0,01;0,00;0,01
0,095675;0,02;0,00;0,02
0,097853;0,02;0,00;0,03
0,100016;0,02;0,00;0,03
0,101470;0,02;0,00;0,02
0,103200;0,01;0,00;0,02
0,105470;0,01;0,00;0,02
0,107664;0,01;0,00;0,00
0,109640;-0,00;0,00;-0,02
0,115431;0,00;-0,00;-0,00
0,115779;-0,01;0,00;-0,04
0,116454;-0,01;-0,00;-0,02
0,117362;-0,01;0,00;-0,04
0,119602;-0,02;0,00;-0,02
0,121448;-0,02;-0,00;-0,02
0,124021;-0,02;0,00;-0,01
0,128335;-0,01;0,00;-0,01
0,128545;-0,01;-0,00;0,01
0,129584;-0,00;-0,01;0,03
0,134933;0,00;-0,00;0,04
0,135121;0,01;-0,00;0,04
0,135216;0,01;0,00;0,02
0,137239;0,02;-0,00;0,04
0,139061;0,02;0,00;0,03
0,141372;0,02;0,00;0,01
0,143830;0,01;0,00;0,02
0,145407;0,01;0,00;-0,00
0,147778;0,01;0,00;-0,02
0,149403;-0,00;0,00;-0,04
0,154162;-0,00;0,00;-0,05
0,154280;-0,01;-0,00;-0,04
0,155317;-0,01;-0,00;-0,04
0,157287;-0,01;-0,00;-0,04
0,159775;-0,01;-0,01;-0,02
0,161748;-0,01;-0,00;-0,01
0,163365;-0,01;-0,00;0,02
0,165517;-0,01;-0,00;0,02
0,167407;-0,01;-0,00;0,03
0,169453;0,00;0,00;0,04
0,174499;0,01;-0,00;0,04
0,174630;0,01;0,00;0,04
0,176757;0,01;0,01;0,02
0,178003;0,01;0,00;0,01
0,179294;0,01;-0,00;-0,01
0,181261;0,01;-0,00;-0,03
0,183394;0,01;0,01;-0,03
0,185105;0,01;0,00;-0,03
0,187391;0,01;-0,00;-0,02
0,189110;-0,00;0,00;-0,02
0,195486;-0,00;0,00;-0,01
0,196082;-0,01;0,00;-0,01
0,196381;-0,00;-0,00;0,02
0,198619;-0,01;0,00;-0,00
0,200147;-0,01;0,00;0,00
0,201531;-0,01;0,00;0,02
0,203647;-0,01;0,00;0,02
0,205018;-0,00;0,00;0,01
0,207329;-0,01;-0,00;0,01
0,211794;-0,00;-0,00;0,01
0,214150;0,00;-0,00;0,01
0,214439;0,01;0,00;-0,02
0,215111;0,01;-0,00;-0,01
0,217215;0,01;0,00;-0,01
0,219055;0,01;0,00;-0,02
0,221119;0,01;0,00;-0,02
0,223135;0,00;0,01;-0,02
0,228127;0,00;-0,00;-0,01
0,228578;0,00;-0,00;0,00
0,229137;-0,00;0,00;0,00
0,234248;-0,00;0,00;0,01
0,234414;-0,01;0,00;0,01
0,235256;-0,00;-0,00;0,02
0,237228;-0,01;-0,00;0,02
0,239290;-0,01;-0,00;0,02
0,241348;-0,00;-0,00;0,01
0,244203;-0,01;-0,00;-0,00
0,245552;-0,00;-0,00;-0,01
0,247358;-0,00;0,00;-0,02
0,249358;0,00;0,00;-0,03
0,254642;0,00;0,00;-0,02
0,254768;-0,00;0,00;-0,02
0,255010;0,01;0,00;-0,02
0,257353;0,01;0,00;-0,01
0,259927;0,00;0,00;-0,01
0,261829;0,01;0,00;0,00
0,263145;0,01;0,00;0,01
0,265624;0,00;0,00;0,02
0,267052;0,00;0,00;0,01
0,269049;-0,00;-0,00;0,03
0,273910;0,00;-0,00;0,02
0,274105;-0,01;-0,00;0,02
0,276091;0,00;0,00;0,01
0,278501;-0,00;0,00;0,00
0,280115;-0,00;-0,00;0,00
0,281372;-0,00;0,00;-0,01
0,283023;-0,01;-0,00;-0,03
0,285149;-0,00;0,00;-0,02
0,287560;-0,00;0,00;-0,02
0,289073;-0,00;-0,00;-0,02
0,294540;0,00;-0,00;-0,02
0,294708;0,00;0,00;-0,02
0,296379;0,00;-0,00;0,00
0,297235;0,00;-0,00;0,01
0,299182;0,01;0,00;0,01
0,301609;-0,00;-0,00;0,01
0,303678;0,01;0,00;0,02
0,305716;0,00;0,00;0,02
0,308147;0,00;0,00;0,02
0,311819;0,00;-0,00;0,01
0,315675;0,00;0,00;0,00
0,316413;0,01;-0,00;0,00
0,316840;0,00;-0,00;-0,01
0,317299;0,00;0,00;-0,01
0,319602;-0,00;0,00;-0,01
0,321384;-0,01;-0,00;-0,00
0,323337;-0,00;-0,00;0,00
0,325403;0,01;-0,01;-0,00
0,329722;0,00;0,00;-0,01
0,330019;0,00;-0,00;-0,01
0,334984;-0,00;0,00;-0,01
0,335191;-0,00;0,00;-0,00
0,335312;0,01;0,00;0,00
0,337492;0,01;-0,00;0,01
0,339565;0,00;0,00;0,01
0,341321;0,00;0,00;0,01
0,344504;0,00;0,00;0,01
0,345536;-0,00;0,00;0,01
0,347379;-0,01;0,00;0,01
0,349684;-0,00;-0,00;0,01
0,354354;-0,00;0,00;0,00
0,354529;-0,00;0,00;-0,01
0,355439;-0,00;-0,00;-0,01
0,357157;-0,00;0,00;-0,02
0,360658;0,00;-0,00;-0,01
0,361305;-0,00;-0,00;-0,01
0,363720;-0,00;0,00;-0,01
0,366823;-0,00;-0,00;-0,01
0,367714;-0,00;0,00;-0,00
0,369745;0,00;-0,00;0,00
0,375206;0,00;-0,00;0,01
0,375521;0,00;0,00;0,01
0,375782;0,00;0,00;0,01
0,378839;0,00;-0,00;0,01
0,379274;0,01;0,00;0,01
0,381206;0,01;-0,00;0,01
0,383239;0,01;-0,00;-0,01
0,385225;0,01;-0,00;-0,01
0,387039;0,01;-0,00;-0,01
0,390161;-0,00;0,00;-0,01
0,394242;0,00;-0,00;-0,01
0,395563;0,00;-0,00;0,00
0,396459;0,00;-0,00;0,00
0,397023;-0,00;-0,00;0,00
0,399862;-0,00;-0,00;0,01
0,401330;0,00;-0,00;-0,00
0,403092;0,01;-0,01;0,01
0,405143;0,00;-0,00;0,00
0,407172;0,00;-0,00;-0,00
0,409683;-0,01;0,00;-0,00
0,414789;0,00;-0,00;-0,01
0,415074;0,01;-0,00;0,00
0,415236;-0,01;0,00;0,00
0,418057;0,00;-0,00;-0,01
0,419147;-0,00;0,00;0,00
0,421159;0,01;-0,00;0,00
0,423508;0,01;-0,00;0,00
0,425746;0,01;-0,00;-0,01
0,428718;-0,00;-0,00;-0,00
0,429903;-0,00;0,00;-0,00
0,434655;-0,00;0,00;0,00
0,434823;0,00;0,00;0,01
0,435059;0,00;0,00;0,01
0,437462;-0,00;0,00;0,01
0,439367;-0,00;-0,00;0,00
0,441496;-0,00;0,00;0,00
0,444022;0,00;0,00;0,00
0,445361;0,01;-0,00;0,00
0,447221;-0,01;0,00;-0,00
0,449217;0,00;0,00;-0,01
0,454207;-0,00;-0,00;0,01
0,454391;0,00;0,00;-0,01
0,455016;-0,00;0,00;-0,01
0,457017;-0,00;0,00;-0,01
0,459821;0,00;0,00;-0,01
0,462004;0,00;-0,00;-0,02
0,463749;0,00;0,00;-0,02
0,465618;-0,00;0,00;-0,01
0,467385;0,00;-0,00;0,00
0,469086;0,00;0,00;0,01
0,474788;-0,01;0,00;0,01
0,475073;0,00;0,00;0,02
0,475666;-0,01;-0,00;0,03
0,478036;-0,00;-0,00;0,01
0,480318;-0,00;-0,00;0,02
0,481056;-0,00;-0,00;0,02
0,483150;0,00;0,00;-0,01
0,486072;-0,00;0,00;-0,01
0,487435;0,00;-0,00;-0,02
0,489102;0,00;0,00;-0,02
0,495471;-0,00;-0,00;-0,02
0,495679;0,00;0,00;-0,04
0,495803;0,00;0,00;-0,02
0,497176;0,00;-0,00;-0,01
0,499504;0,01;-0,00;-0,02
0,501092;0,00;0,00;-0,01
0,504026;0,00;-0,00;0,00
0,506012;0,00;-0,00;0,02
0,507258;0,01;-0,00;0,02
0,509213;-0,00;0,00;0,02
0,514040;-0,00;-0,00;0,04
0,514213;0,01;-0,00;0,03
0,515030;-0,00;0,00;0,02
0,517275;-0,01;0,00;0,01
0,519515;-0,00;-0,00;0,00
0,521480;0,00;0,00;-0,01
0,523448;0,00;0,00;-0,03
0,525517;0,00;0,00;-0,04
0,528097;0,00;-0,00;-0,04
0,530329;-0,00;0,00;-0,04
0,534754;-0,00;0,00;-0,03
0,535040;0,00;0,00;-0,01
0,535209;-0,00;0,00;-0,00
0,537092;-0,01;0,00;0,01
0,539452;0,01;-0,00;0,03
0,541294;-0,01;0,00;0,03
0,543330;-0,00;0,00;0,04
0,545885;0,00;0,00;0,04
0,547549;-0,01;0,00;0,02
0,549154;0,00;0,00;0,02
0,554918;0,00;0,00;0,01
0,555200;-0,00;0,00;-0,00
0,555367;-0,00;-0,00;-0,02
0,556991;0,01;-0,00;-0,04
0,560166;0,01;-0,01;-0,03
0,561887;0,00;-0,00;-0,03
0,563971;0,00;-0,00;-0,05
0,564819;-0,00;-0,00;-0,03
0,567495;0,00;-0,00;-0,02
0,569003;-0,00;0,00;-0,02
0,574104;-0,00;0,00;0,00
0,574211;0,01;0,00;0,02
0,575585;-0,00;-0,00;0,03
0,579741;0,00;-0,00;0,04
0,580115;-0,00;0,00;0,04
0,581219;0,01;-0,00;0,04
0,583435;-0,00;0,00;0,03
0,585382;-0,01;0,00;0,02
0,586959;0,01;-0,00;0,01
0,588871;0,01;-0,01;-0,01
0,595804;0,00;-0,00;-0,02
0,595942;0,00;-0,00;-0,03
0,596053;-0,00;-0,00;-0,03
0,597389;-0,01;0,00;-0,04
0,599040;-0,00;0,00;-0,03
0,600998;0,00;0,00;-0,02
0,603428;-0,00;-0,00;-0,02
0,605341;-0,01;0,00;-0,00
0,607253;-0,01;-0,00;0,00
0,609234;0,00;-0,00;0,02
0,614887;-0,00;0,00;0,03
0,615169;-0,01;-0,00;0,04
0,615335;-0,00;0,00;0,04
0,616991;-0,01;0,00;0,04
0,619300;0,01;-0,00;0,02
0,620971;0,00;-0,00;0,01
0,622872;0,00;-0,00;0,01
0,624928;0,00;-0,00;-0,01
0,630494;-0,00;-0,00;-0,03
0,630715;0,00;0,00;-0,02
0,634520;0,01;-0,00;-0,03
0,634794;0,01;-0,00;-0,04
0,635210;0,00;-0,00;-0,03
0,636946;0,01;0,00;-0,02
0,640565;0,00;0,00;-0,02
0,641096;0,00;0,00;-0,00
0,643223;-0,00;0,00;0,02
0,645826;0,01;-0,00;0,03
0,648129;-0,00;0,00;0,04
0,649016;0,01;-0,00;0,04
0,653823;0,01;-0,00;0,03
0,654064;-0,00;-0,00;0,02
0,655213;0,00;0,00;0,01
0,656852;0,00;-0,00;-0,00
0,659279;-0,00;0,00;-0,02
0,661138;0,00;0,00;-0,01
0,663816;-0,00;-0,00;-0,02
0,665113;0,00;0,00;-0,02
0,666993;0,00;0,00;-0,04
0,669277;-0,00;-0,00;-0,02
0,676060;-0,00;-0,00;-0,02
0,676400;0,00;0,00;0,00
0,676612;0,00;0,00;0,00
0,679449;-0,01;-0,00;0,01
0,679590;0,00;0,00;0,02
0,681067;-0,00;0,00;0,03
0,683198;0,00;0,00;0,03
0,686200;-0,00;0,00;0,03
0,687494;0,00;0,00;0,02
0,689283;0,01;-0,00;0,01
0,696170;0,00;-0,00;-0,01
0,696393;0,00;0,00;-0,01
0,696556;0,00;0,00;-0,01
0,698373;0,00;-0,00;-0,02
0,699100;0,00;-0,00;-0,02
0,701065;0,00;-0,00;-0,02
0,703079;0,00;-0,00;-0,02
0,705025;-0,00;-0,00;-0,02
0,706893;-0,00;0,00;-0,00
0,708911;-0,01;0,00;-0,00
0,715397;-0,01;0,00;0,01
0,715642;0,00;-0,00;0,02
0,715774;-0,00;0,00;0,02
0,717056;-0,00;0,00;0,02
0,719508;0,00;0,00;0,02
0,721181;-0,00;0,00;0,02
0,723631;0,00;0,00;0,00
0,725845;0,00;0,00;0,01
0,727815;0,00;0,00;0,00
0,729938;0,00;-0,00;-0,00
0,736492;0,01;-0,00;-0,03
0,736803;0,00;0,00;-0,03
0,736925;-0,01;0,00;-0,02
0,737045;0,00;0,00;-0,02
0,739733;0,00;0,00;-0,01
0,741452;-0,00;0,00;-0,00
0,743068;-0,00;0,00;-0,00
0,747168;-0,00;0,00;0,01
0,747314;-0,01;0,00;0,00
0,749276;0,00;0,00;0,01
0,755050;-0,01;0,00;0,03
0,755234;0,00;-0,00;0,02
0,755383;-0,00;0,00;0,01
0,757090;-0,01;0,00;0,01
0,759171;0,00;0,00;0,01
0,765605;0,00;-0,00;-0,00
0,765898;0,00;-0,00;-0,01
0,766116;-0,00;0,00;-0,00
0,767419;0,01;-0,00;-0,01
0,769373;0,01;-0,00;-0,02
0,774375;0,00;-0,00;-0,02
0,774629;-0,00;0,00;-0,01
0,775687;-0,00;0,00;-0,02
0,777567;-0,00;0,00;-0,01
0,780403;-0,00;-0,00;0,00
0,783059;0,00;0,00;0,01
0,783269;-0,00;0,00;0,00
0,785342;-0,00;-0,00;0,01
0,787776;0,00;-0,00;0,02
0,789018;-0,01;0,00;0,02
0,796754;-0,00;0,00;0,02
0,796991;-0,00;0,00;0,01
0,797127;-0,00;-0,00;0,00
0,798206;0,00;-0,00;-0,00
0,799268;-0,00;-0,00;-0,02
0,801141;-0,00;-0,00;-0,00
0,803733;0,00;-0,00;-0,01
0,805183;0,00;0,00;-0,02
0,807031;0,00;0,00;-0,01
0,808917;0,00;-0,00;-0,00
0,814895;0,00;-0,00;-0,01
0,815173;-0,01;0,00;0,00
0,815589;-0,00;-0,00;0,01
0,817532;0,01;0,00;0,00
0,819399;0,00;0,00;0,01
0,820931;0,00;0,00;0,01
0,823552;0,00;-0,00;0,02
0,825549;-0,00;-0,00;0,02
0,827418;-0,00;-0,00;-0,00
0,832950;-0,00;-0,00;0,00
0,835023;0,00;-0,00;-0,00
0,835276;-0,01;-0,00;-0,01
0,835447;-0,00;0,00;-0,01
0,837374;-0,00;0,00;-0,01
0,838845;-0,00;0,00;-0,01
0,840999;0,00;0,00;-0,01
0,843004;0,00;-0,00;-0,00
0,847228;0,00;0,00;-0,01
0,848635;0,00;0,00;-0,00
0,848969;0,00;-0,00;0,01
0,854826;0,00;-0,00;0,01
0,855019;0,00;-0,00;0,01
0,855092;0,00;-0,00;0,01
0,857165;0,00;0,00;0,01
0,859728;0,00;-0,00;0,01
0,861390;0,00;0,00;0,01
0,863325;-0,01;0,00;0,01
0,865440;0,00;0,00;-0,00
