time;wx (rad/s);wy (rad/s);wz (rad/s)
0,004405;-0,02;0,08;0,00
0,004808;-0,04;0,08;0,01
0,005023;-0,06;0,06;0,02
0,005241;-0,04;0,02;0,02
0,005400;-0,04;0,01;0,01
0,005554;-0,03;0,00;0,02
0,005710;-0,01;-0,00;0,01
0,006206;0,01;-0,03;0,01
0,009307;0,03;-0,04;0,01
0,014249;0,03;-0,06;0,00
0,014580;0,04;-0,06;-0,01
0,014758;0,03;-0,05;-0,01
0,018536;0,02;-0,06;-0,01
0,018915;0,00;-0,05;-0,02
0,019615;-0,01;-0,03;-0,02
0,022425;-0,02;-0,01;-0,02
0,025923;-0,01;-0,01;-0,02
0,027278;-0,03;0,01;-0,01
0,027991;-0,03;0,02;-0,01
0,029888;-0,03;0,03;-0,00
0,032027;-0,02;0,04;-0,00
0,034569;0,00;0,05;0,00
0,039179;0,01;0,04;0,01
0,039404;0,01;0,03;0,01
0,040117;0,01;0,03;0,01
0,041920;0,02;0,03;0,02
0,043948;0,01;-0,00;0,02
0,045939;0,01;-0,01;0,01
0,047612;0,01;-0,02;0,01
0,049655;-0,01;-0,02;0,01
0,051808;-0,00;-0,02;0,00
0,053613;-0,01;-0,04;-0,00
0,059464;-0,02;-0,02;-0,00
0,059631;-0,02;-0,04;-0,01
0,059895;-0,02;-0,02;-0,01
0,061821;-0,03;-0,01;-0,02
0,063761;-0,01;-0,00;-0,02
0,066024;-0,00;0,00;-0,01
0,067718;0,01;0,01;-0,01
0,069689;0,02;0,02;-0,01
0,071712;0,03;0,01;-0,01
0,076364;0,02;0,02;-0,00
0,079558;0,03;0,02;0,00
0,080447;0,01;0,03;0,01
0,080895;0,01;0,01;0,01
0,082579;-0,00;0,01;0,02
0,084110;-0,01;0,01;0,02
0,085939;-0,02;-0,00;0,01
0,088157;-0,02;0,01;0,01
0,089908;-0,03;-0,02;0,01
0,091983;-0,01;-0,00;0,01
0,094500;-0,01;-0,01;0,00
0,099519;-0,01;-0,01;-0,00
0,099929;0,01;-0,01;-0,01
0,100270;0,01;-0,01;-0,01
0,101812;0,02;-0,01;-0,01
0,103680;0,02;-0,00;-0,02
0,105924;0,02;-0,01;-0,02
0,108663;0,01;0,00;-0,01
0,110663;0,01;0,01;-0,01
0,112060;-0,01;0,00;-0,01
0,113991;-0,02;0,01;-0,01
0,118971;-0,02;0,00;-0,00
0,119206;-0,03;0,01;0,00
0,119858;-0,02;0,00;0,01
0,121798;-0,02;0,01;0,01
0,126382;-0,01;0,01;0,01
0,126579;-0,00;-0,00;0,01
0,127979;0,00;-0,00;0,01
0,129913;-0,01;0,00;0,01
0,132675;0,02;-0,00;0,01
0,133786;0,02;-0,01;0,01
0,139774;0,02;0,00;-0,00
0,140181;0,01;-0,01;-0,00
0,140531;0,02;0,00;-0,01
0,145626;0,02;0,00;-0,01
0,145987;-0,01;-0,01;-0,01
0,146391;-0,02;0,02;-0,01
0,147943;-0,02;-0,01;-0,01
0,150283;-0,03;-0,01;-0,01
0,151937;-0,02;-0,01;-0,01
0,153715;-0,02;0,01;-0,01
0,160113;-0,01;0,01;-0,00
0,160709;-0,01;0,01;0,00
0,161484;0,01;0,00;0,00
0,162353;0,01;-0,01;0,01
0,164134;0,00;-0,00;0,01
0,165903;0,01;0,02;0,01
0,167675;0,00;0,00;0,01
0,170007;0,01;0,00;0,01
0,172245;0,00;-0,00;0,01
0,175003;-0,01;0,01;0,00
0,179214;-0,01;0,01;0,00
0,179579;-0,02;-0,01;0,00
0,179801;-0,02;0,00;-0,00
0,182057;-0,01;-0,00;-0,01
0,184053;-0,01;0,01;-0,01
0,185874;-0,00;-0,01;-0,01
0,187733;0,01;0,00;-0,01
0,189690;-0,00;0,01;-0,01
0,192936;0,01;-0,02;-0,01
0,194947;0,01;-0,00;-0,01
0,199508;0,01;0,01;-0,00
0,200098;0,01;0,01;-0,00
0,200438;0,01;-0,01;0,00
0,201941;-0,00;-0,01;0,00
0,203879;-0,00;0,02;0,00
0,206348;-0,02;0,00;0,01
0,209938;-0,01;-0,02;0,01
0,210084;-0,01;-0,00;0,01
0,212334;-0,01;0,00;0,01
0,213962;-0,01;-0,01;0,01
0,219189;-0,02;-0,00;0,00
0,219429;-0,01;-0,00;0,00
0,219857;-0,00;0,01;0,00
0,222336;0,00;0,01;-0,00
0,224478;0,00;0,00;-0,01
0,226606;0,01;0,01;-0,01
0,227733;0,02;0,01;-0,01
0,230014;0,01;0,01;-0,01
0,232728;0,01;-0,00;-0,01
0,234893;-0,01;0,02;-0,01
0,238863;-0,01;-0,01;-0,01
0,238966;-0,01;0,02;-0,00
0,239732;-0,01;-0,01;-0,00
0,241974;-0,01;-0,01;-0,00
0,245694;-0,01;-0,00;0,00
0,246228;-0,01;-0,01;0,00
0,248304;0,01;0,01;0,00
0,249958;-0,00;-0,01;0,00
0,252006;0,01;0,00;0,00
0,254119;0,01;0,01;0,00
0,260307;0,01;-0,01;0,00
0,260499;0,01;0,02;0,00
0,260598;0,00;-0,00;-0,00
0,262141;-0,00;-0,00;-0,00
0,264149;-0,02;-0,01;-0,01
0,265711;-0,02;-0,01;-0,00
0,267846;-0,02;0,01;-0,00
0,269827;-0,01;-0,00;-0,00
0,271798;0,00;0,00;-0,00
0,273668;0,01;-0,01;-0,00
0,279334;0,01;-0,01;-0,00
0,279604;0,01;0,00;-0,00
0,280089;0,02;0,01;-0,00
0,281922;0,01;0,00;-0,00
0,283829;0,01;-0,00;0,00
0,285991;0,01;-0,00;0,00
0,287864;0,00;-0,00;0,00
0,289939;-0,02;0,02;0,00
0,292679;-0,02;-0,01;0,00
0,294512;-0,01;-0,01;0,00
0,299265;-0,02;-0,01;0,00
0,299538;-0,01;-0,00;0,00
0,299964;-0,01;0,01;-0,00
0,302165;0,00;0,01;-0,00
0,304223;0,01;0,00;-0,00
0,306234;0,02;-0,01;-0,00
0,311385;0,03;0,00;-0,00
0,312520;0,03;0,01;-0,00
0,313714;0,01;0,00;-0,00
0,314718;0,00;0,01;-0,00
0,319039;-0,00;-0,00;-0,00
0,319340;-0,02;-0,00;-0,00
0,319911;-0,02;-0,00;-0,00
0,321719;-0,03;-0,00;0,00
0,323723;-0,03;0,02;-0,00
0,326280;-0,02;-0,02;0,00
0,327818;-0,01;-0,00;0,00
0,329811;0,00;-0,01;0,00
0,332764;0,00;0,01;0,00
0,334084;0,02;0,00;0,00
0,339030;0,02;-0,00;0,00
0,339151;0,03;0,01;0,00
0,340297;0,03;-0,01;0,00
0,342465;0,02;0,01;-0,00
0,343956;0,00;0,01;0,00
0,346961;-0,01;-0,00;-0,00
0,348048;-0,02;-0,00;-0,00
0,349960;-0,03;0,01;-0,00
0,351767;-0,02;0,01;-0,00
0,354175;-0,02;-0,01;-0,00
0,360476;-0,02;0,00;-0,00
0,360710;-0,01;0,00;-0,00
0,360885;-0,01;-0,00;0,00
0,361902;0,01;-0,01;-0,00
0,364100;0,01;-0,00;-0,00
0,366859;0,02;0,00;-0,00
0,368015;0,02;-0,01;0,00
0,369644;0,02;-0,00;0,00
0,372059;0,01;-0,01;0,00
0,373790;-0,01;0,01;-0,00
0,379075;-0,01;-0,01;0,00
0,379312;-0,03;0,00;0,00
0,380105;-0,02;-0,00;-0,00
0,382045;-0,01;-0,01;-0,00
0,384168;-0,01;0,00;-0,00
0,386164;-0,02;0,02;-0,00
0,388261;-0,00;0,02;-0,00
0,390419;0,00;-0,01;-0,00
0,393409;0,01;-0,00;-0,00
0,394903;0,02;0,00;-0,00
0,399475;0,01;0,00;-0,00
0,399757;0,01;0,00;-0,00
0,400424;0,01;0,00;-0,00
0,402539;-0,00;0,00;-0,00
0,403827;-0,01;0,01;-0,00
0,405921;-0,01;-0,02;-0,00
0,407764;-0,01;-0,01;0,00
0,411315;-0,00;-0,02;0,00
0,414857;-0,01;0,01;0,00
0,415073;-0,00;0,00;-0,00
0,418846;-0,00;-0,01;-0,00
0,419145;0,01;0,01;-0,00
0,420328;0,00;0,00;0,00
0,421846;0,00;0,01;-0,00
0,424079;0,01;-0,01;-0,00
0,426446;0,01;0,00;-0,00
0,428970;0,01;0,01;-0,00
0,429856;0,00;-0,01;-0,00
0,432031;-0,01;0,01;-0,00
0,434144;0,00;-0,00;-0,00
0,438659;-0,02;0,01;-0,00
0,438865;-0,01;0,01;-0,00
0,440053;-0,01;-0,00;-0,00
0,443972;-0,00;0,00;0,00
0,444202;0,00;0,01;0,00
0,446214;0,00;-0,00;0,00
0,447894;0,01;-0,00;0,00
0,450022;0,01;0,01;0,00
0,451664;0,02;-0,00;0,00
0,453669;0,01;-0,02;-0,00
0,459808;-0,00;-0,00;0,00
0,459987;0,00;-0,02;-0,00
0,460127;0,00;-0,02;-0,00
0,462571;-0,01;-0,01;-0,00
0,463952;-0,00;-0,01;0,00
0,466577;0,00;0,01;-0,00
0,468060;0,01;-0,02;-0,00
0,469793;0,02;0,00;-0,00
0,472276;-0,00;0,02;0,00
0,474018;-0,00;0,01;0,00
0,480313;-0,00;-0,01;-0,00
0,480662;-0,01;0,03;-0,00
0,480856;0,00;-0,00;-0,00
0,482151;-0,02;0,00;0,00
0,483759;-0,01;0,02;0,00
0,485794;-0,01;0,00;0,00
0,488084;0,00;0,00;0,00
0,489624;-0,00;-0,01;0,00
0,491722;-0,00;0,01;-0,00
0,493943;-0,00;0,00;0,00
0,498871;-0,00;-0,00;0,00
0,499103;0,00;0,00;0,00
0,500056;0,01;-0,01;-0,00
0,502125;0,02;-0,01;0,00
0,503912;-0,00;0,02;-0,00
0,506181;-0,01;-0,01;0,00
0,507833;0,00;0,01;-0,00
0,512271;-0,00;-0,01;-0,00
0,512901;-0,00;-0,01;-0,00
0,514032;-0,01;0,00;-0,00
0,519266;-0,01;-0,00;-0,00
0,519591;-0,01;-0,00;-0,00
0,520078;-0,01;-0,00;-0,00
0,521697;-0,01;0,01;-0,00
0,524018;-0,00;0,01;0,00
0,527871;0,01;-0,00;-0,00
0,528105;0,01;0,01;0,00
0,530254;0,00;0,02;0,00
0,532036;0,00;-0,00;0,00
0,534050;0,01;0,01;0,00
0,538680;-0,00;0,01;-0,00
0,538782;-0,02;-0,00;-0,00
0,539862;-0,01;-0,02;0,00
0,541910;-0,02;0,00;-0,00
0,544001;-0,01;0,01;-0,00
0,545950;-0,01;-0,01;-0,00
0,548567;0,00;-0,01;-0,00
0,550246;0,00;-0,01;-0,00
0,552116;-0,00;0,00;-0,00
0,554529;0,00;0,01;-0,00
0,561391;0,00;0,02;-0,00
0,561929;0,00;0,02;0,00
0,562149;0,01;-0,01;-0,00
0,562889;0,00;0,00;0,00
0,563848;-0,01;0,00;-0,00
0,566466;0,01;0,02;-0,00
0,568198;0,01;0,00;0,00
0,570235;-0,01;-0,00;0,00
0,571759;-0,02;0,01;0,00
0,573893;-0,02;0,00;0,00
0,579993;-0,02;0,01;-0,00
0,580270;0,00;0,00;0,00
0,580421;0,00;0,00;0,00
0,581829;0,00;0,01;-0,00
0,583896;0,01;-0,02;-0,00
0,586114;0,03;0,01;-0,00
0,587848;0,01;-0,01;-0,00
0,589699;0,01;-0,01;-0,00
0,591970;0,01;0,00;-0,00
0,595819;0,00;0,01;-0,00
0,598857;0,00;0,01;-0,00
0,599109;-0,02;-0,01;-0,00
0,599861;-0,02;-0,01;-0,00
0,601935;-0,02;0,00;-0,00
0,603927;-0,02;-0,01;0,00
0,606369;-0,01;0,01;0,00
0,607798;-0,02;0,00;0,00
0,610764;-0,00;0,02;0,00
0,612301;0,00;-0,01;0,00
0,614007;0,01;0,00;0,00
0,619108;0,01;0,01;0,00
0,619366;0,01;-0,00;0,00
0,619951;0,03;0,00;-0,00
0,621986;0,01;0,02;-0,00
0,624111;-0,00;0,00;-0,00
0,626913;-0,01;-0,00;-0,00
0,627974;-0,01;-0,01;-0,00
0,630588;-0,02;0,00;-0,00
0,631969;-0,02;-0,00;-0,00
0,634226;-0,02;-0,01;-0,00
0,639978;-0,01;0,01;-0,00
0,640225;-0,01;-0,01;-0,00
0,640455;-0,01;-0,00;-0,00
0,641957;0,01;0,00;-0,00
0,644698;0,01;0,00;-0,00
0,646638;0,01;-0,01;-0,00
0,648766;0,02;-0,00;0,00
0,650033;0,01;0,01;0,00
0,652059;0,01;-0,00;0,00
0,654011;0,02;0,00;0,00
0,659103;0,00;-0,01;0,00
0,659513;0,01;0,00;0,00
0,663162;-0,00;0,01;0,00
0,663396;-0,01;-0,01;0,00
0,663815;-0,01;-0,00;-0,00
0,666610;-0,02;-0,00;-0,00
0,668128;-0,01;0,00;-0,00
0,670130;-0,00;0,01;-0,00
0,672099;-0,00;-0,00;-0,00
0,674279;0,01;-0,01;-0,00
0,681028;0,00;0,02;-0,00
0,681311;0,00;0,00;-0,00
0,681466;0,02;-0,00;-0,00
0,682304;0,01;0,00;-0,00
0,684112;0,00;-0,01;-0,00
0,687107;0,00;0,02;-0,00
0,688071;-0,00;-0,00;0,00
0,690708;-0,00;0,00;0,00
0,692544;-0,01;0,01;0,00
0,695152;-0,02;-0,00;0,00
0,699871;-0,01;0,01;0,00
0,700085;-0,01;0,01;-0,00
0,700254;0,00;-0,00;-0,00
0,702648;0,01;-0,01;0,00
0,704481;0,01;0,00;-0,00
0,706262;0,01;0,01;-0,00
0,707809;0,01;-0,01;-0,00
0,711144;0,01;0,01;0,00
0,712815;-0,00;0,01;-0,00
0,714701;-0,01;0,00;-0,00
0,718764;-0,01;-0,01;-0,00
0,718940;-0,02;-0,01;-0,00
0,719746;-0,02;0,00;-0,00
0,722037;-0,02;0,02;-0,00
0,724077;-0,01;-0,01;-0,00
0,726120;-0,00;0,00;-0,00
