time;wx (rad/s);wy (rad/s);wz (rad/s)
0,004288;-0,04;0,01;-0,00
0,004582;-0,04;0,01;-0,01
0,004717;-0,04;0,01;-0,01
0,004849;-0,04;-0,00;-0,01
0,004950;-0,04;-0,00;-0,01
0,005049;-0,04;0,00;-0,01
0,010183;-0,03;-0,00;-0,01
0,010593;-0,03;-0,00;-0,01
0,010931;-0,03;0,01;-0,01
0,014134;-0,02;0,01;-0,01
0,016068;-0,02;0,01;-0,01
0,017053;-0,01;0,01;-0,00
0,019388;-0,01;0,00;-0,00
0,020883;-0,00;0,00;-0,00
0,023296;0,00;0,00;0,00
0,024903;0,00;0,00;0,01
0,031011;0,02;-0,00;0,01
0,031544;0,01;-0,00;0,01
0,031883;0,02;-0,00;0,01
0,033256;0,02;0,01;0,01
0,035160;0,03;0,00;0,01
0,037032;0,03;0,01;0,01
0,039177;0,02;0,00;0,01
0,041777;0,03;0,00;0,01
0,043294;0,02;-0,00;0,01
0,045284;0,02;-0,00;0,01
0,050199;0,02;-0,01;0,01
0,050496;0,01;-0,00;0,00
0,050997;0,01;-0,00;0,00
0,053022;0,01;0,00;-0,00
0,054898;0,00;0,01;-0,00
0,057002;-0,00;0,00;-0,01
0,059047;-0,00;0,00;-0,01
0,060832;-0,00;-0,00;-0,01
0,064238;-0,01;-0,00;-0,01
0,065150;-0,01;-0,00;-0,01
0,069915;-0,02;0,00;-0,01
0,070174;-0,02;-0,00;-0,01
0,070674;-0,02;0,00;-0,01
0,072729;-0,02;0,00;-0,01
0,074723;-0,02;0,00;-0,01
0,077151;-0,02;0,00;-0,01
0,080860;-0,02;0,00;-0,01
0,081801;-0,02;-0,00;-0,00
0,083274;-0,02;-0,00;0,00
0,085293;-0,02;0,00;0,00
0,089785;-0,02;0,00;0,00
0,089938;-0,01;0,00;0,01
0,091229;-0,01;0,00;0,01
0,093050;-0,01;0,00;0,01
0,097722;-0,00;0,00;0,01
0,097944;0,00;0,00;0,01
0,099044;0,00;-0,00;0,01
0,101916;0,01;-0,00;0,01
0,102960;0,01;-0,00;0,01
0,105039;0,01;-0,00;0,01
0,111098;0,01;0,00;0,01
0,111551;0,01;0,00;0,00
0,111914;0,01;0,00;-0,00
0,114497;0,01;0,00;-0,00
0,115847;0,01;0,00;-0,01
0,116914;0,01;-0,00;-0,01
0,119404;0,01;-0,00;-0,01
0,121164;0,01;-0,00;-0,01
0,123129;0,01;-0,00;-0,01
0,125176;0,01;-0,00;-0,01
