time,wx,wy,wz
0.009,-0.00,0.01,-0.01
0.023,0.01,0.01,0.02
0.040,-0.00,0.00,-0.01
0.056,0.02,0.01,0.02
0.073,-0.01,0.00,-0.02
0.090,0.02,0.01,0.02
0.106,-0.01,0.01,-0.01
0.123,0.02,0.01,0.01
0.140,-0.01,0.02,0.01
0.157,0.02,0.01,0.00
0.173,-0.01,0.01,-0.00
0.190,0.01,0.01,0.02
0.207,-0.00,0.01,-0.00
0.223,0.01,0.01,0.01
0.240,0.01,0.01,0.04
0.267,0.00,0.01,-0.02
0.291,0.00,0.01,-0.01
0.307,0.00,0.01,0.01
0.333,0.01,0.01,0.01
0.358,0.01,0.01,0.02
0.374,0.00,0.01,0.01
0.390,0.01,0.01,-0.01
0.407,-0.00,0.01,0.03
0.424,0.01,0.01,-0.00
0.440,0.00,0.01,0.01
0.457,0.01,0.01,-0.01
0.474,0.00,0.01,0.01
0.491,0.01,0.01,0.01
0.507,0.00,0.02,0.00
0.524,0.01,0.01,0.00
0.541,0.00,0.01,0.01
0.557,0.01,0.01,0.00
0.574,0.00,0.01,0.02
0.591,0.01,0.01,-0.01
0.608,0.00,0.01,0.03
0.624,0.01,0.01,-0.01
0.641,0.00,0.01,0.03
0.658,0.01,0.01,-0.03
0.674,0.00,0.01,0.05
0.691,0.01,0.01,-0.04
0.708,0.00,0.01,0.04
0.724,0.00,0.01,-0.01
0.741,0.00,0.01,0.03
0.758,0.01,0.01,-0.01
0.774,0.00,0.01,0.02
0.791,0.01,0.01,-0.01
0.808,0.00,0.01,0.01
0.824,0.00,0.01,0.00
0.841,0.01,0.01,-0.00
0.858,0.00,0.01,0.01
0.874,0.01,0.01,-0.01
0.891,-0.00,0.01,0.04
0.908,0.01,0.01,-0.04
0.924,-0.00,0.01,0.06
0.941,0.01,0.01,-0.04
0.958,0.01,0.01,-0.03
0.984,0.00,0.01,0.04
1.000,0.01,0.01,-0.03
1.017,0.00,0.01,0.03
1.034,0.01,0.01,-0.02
1.050,0.00,0.01,0.03
