time,wx,wy,wz
0.010,0.00,0.01,0.01
0.019,0.00,0.01,0.00
0.036,0.00,0.01,0.01
0.053,0.00,0.01,0.01
0.069,0.00,0.01,0.00
0.086,0.00,0.01,0.00
0.103,0.01,0.01,0.01
0.120,0.01,0.01,0.01
0.136,0.01,0.01,0.00
0.153,0.00,0.01,0.01
0.170,0.00,0.01,0.00
0.186,0.00,0.01,0.01
0.204,0.00,0.01,0.01
0.220,0.01,0.01,0.01
0.236,0.00,0.01,0.01
0.253,0.00,0.01,0.01
0.270,0.01,0.01,0.00
0.287,0.00,0.01,0.00
0.303,0.00,0.01,0.00
0.320,0.01,0.01,0.01
0.337,0.00,0.01,0.01
0.353,0.00,0.01,0.01
0.370,0.00,0.01,0.01
0.386,0.01,0.01,0.01
0.403,0.01,0.01,0.01
0.435,0.01,0.01,0.00
0.453,0.01,0.01,0.01
0.474,0.00,0.01,0.01
0.501,0.00,0.01,0.01
0.521,0.00,0.01,0.01
0.537,0.00,0.01,0.00
0.554,0.01,0.01,0.01
0.570,0.00,0.01,0.01
0.587,0.00,0.01,0.01
0.603,0.00,0.01,0.01
0.620,0.01,0.01,0.01
0.637,0.00,0.01,0.01
0.653,0.00,0.01,0.01
0.670,0.00,0.01,0.01
0.686,0.00,0.01,0.01
0.703,0.01,0.01,0.01
0.720,0.01,0.01,0.01
0.736,0.00,0.01,0.00
0.753,0.00,0.01,0.00
0.770,0.00,0.01,0.00
0.786,0.01,0.01,0.01
0.804,0.00,0.01,0.00
0.820,0.01,0.01,0.01
0.836,0.01,0.01,0.00
0.853,0.00,0.01,0.01
0.870,0.00,0.01,0.01
0.887,0.00,0.01,0.01
0.903,0.01,0.01,0.00
0.920,0.01,0.01,0.01
0.937,0.01,0.01,0.01
0.953,0.00,0.01,0.01
0.970,0.01,0.01,0.00
0.987,0.00,0.01,0.01
1.004,0.00,0.01,0.01
1.020,0.01,0.01,0.00
1.037,0.00,0.01,0.01
1.053,0.00,0.01,0.01
1.070,0.01,0.01,0.00
1.087,0.01,0.01,0.01
1.104,0.00,0.01,0.01
1.120,0.01,0.01,0.01
1.151,0.00,0.01,0.01
1.168,0.00,0.01,0.00
1.185,0.01,0.01,0.01
1.201,0.00,0.01,0.01
1.218,0.01,0.01,0.01
1.235,0.00,0.01,0.01
1.251,0.00,0.01,0.01
1.285,0.00,0.01,0.01
1.301,0.00,0.01,0.01
1.318,0.01,0.01,0.01
1.351,0.00,0.01,0.00
1.368,0.01,0.01,0.00
1.385,0.00,0.01,0.01
1.401,0.00,0.01,0.01
1.418,0.00,0.01,0.00
1.435,0.01,0.01,0.00
1.451,0.00,0.01,0.01
1.468,0.01,0.01,0.00
1.487,0.01,0.01,0.01
1.504,0.00,0.01,0.01
1.524,0.00,0.01,0.01
1.537,0.00,0.01,0.00
1.554,0.00,0.01,0.00
1.570,0.01,0.00,0.01
1.587,0.01,0.01,0.00
1.604,0.00,0.01,0.01
1.621,0.00,0.01,0.00
1.637,0.00,0.01,0.01
1.654,0.01,0.01,0.00
1.670,0.01,0.01,0.01
1.687,0.00,0.01,0.00
1.704,0.00,0.01,0.01
1.720,0.00,0.01,0.01
1.737,0.00,0.01,0.01
1.754,0.00,0.01,0.01
1.771,0.00,0.01,0.01
1.787,0.00,0.01,0.00
1.804,0.01,0.01,0.01
1.821,0.00,0.01,0.01
1.838,0.00,0.01,0.01
1.868,0.00,0.01,0.01
1.885,0.00,0.01,0.00
1.901,0.00,0.01,0.00
1.918,0.00,0.01,0.01
1.935,0.00,0.01,0.01
1.951,0.01,0.01,0.01
1.967,0.00,0.01,0.01
1.988,0.00,0.00,0.01
2.005,0.01,0.01,0.01
2.021,0.00,0.01,0.01
2.038,0.01,0.01,0.01
2.055,0.01,0.01,0.00
2.071,0.00,0.01,0.01
2.087,0.01,0.01,0.01
2.104,0.00,0.01,0.00
2.121,0.01,0.01,0.00
2.137,0.01,0.01,0.01
2.154,0.00,0.01,0.01
2.170,0.01,0.01,0.01
2.187,0.00,0.01,0.00
2.204,0.01,0.01,0.01
2.220,0.00,0.01,0.01
2.237,0.01,0.01,0.01
2.254,0.00,0.01,0.00
2.270,0.00,0.01,0.01
2.287,0.01,0.01,0.01
2.304,0.00,0.01,0.01
2.321,0.00,0.01,0.01
2.337,0.00,0.01,0.01
2.354,0.00,0.01,0.01
2.371,0.00,0.01,0.01
2.387,0.00,0.01,0.00
2.404,0.00,0.01,0.01
2.420,0.00,0.01,0.01
2.437,0.00,0.01,0.00
2.454,0.01,0.01,0.01
2.471,0.00,0.01,0.00
2.487,0.00,0.01,0.01
2.504,0.01,0.01,0.00
2.520,0.00,0.01,0.01
2.537,0.01,0.01,0.00
2.554,0.00,0.01,0.01
2.573,0.01,0.01,0.01
2.587,0.00,0.01,0.01
2.604,0.00,0.01,0.01
2.620,0.00,0.01,0.01
2.651,0.00,0.01,0.00
2.668,0.00,0.01,0.01
2.685,0.01,0.01,0.01
2.701,0.01,0.01,0.01
2.718,0.01,0.01,0.01
2.735,0.00,0.01,0.01
2.751,0.00,0.01,0.01
2.785,0.01,0.01,0.01
2.801,0.00,0.01,0.01
2.818,0.00,0.01,0.01
2.851,0.01,0.01,0.00
2.868,0.00,0.01,0.01
2.885,0.00,0.01,0.01
2.901,0.00,0.01,0.01
2.918,0.01,0.01,0.01
2.935,0.01,0.01,0.01
2.951,0.00,0.01,0.01
2.968,0.01,0.01,0.01
2.988,0.00,0.01,0.01
3.005,0.01,0.01,0.01
3.022,0.00,0.01,0.01
3.038,0.00,0.01,0.01
3.055,0.00,0.01,0.00
3.071,0.00,0.01,0.01
3.087,0.01,0.01,0.01
3.104,0.00,0.01,0.01
3.121,0.00,0.01,0.01
3.137,0.00,0.01,0.01
3.154,0.01,0.01,0.01
3.171,0.00,0.01,0.00
3.187,0.00,0.01,0.01
3.204,0.01,0.01,0.01
3.221,0.00,0.01,0.01
3.237,0.00,0.01,0.01
3.254,0.00,0.01,0.00
3.271,0.01,0.01,0.01
3.288,0.00,0.01,0.01
3.304,0.00,0.01,0.01
3.321,0.00,0.01,0.01
3.338,0.00,0.01,0.01
3.368,0.01,0.01,0.00
3.385,0.00,0.01,0.00
3.401,0.00,0.01,0.01
3.418,0.00,0.01,0.01
3.435,0.01,0.01,0.00
3.451,0.00,0.01,0.01
3.467,0.00,0.01,0.01
3.488,0.00,0.01,0.01
3.504,0.01,0.01,0.00
3.521,0.00,0.01,0.01
3.538,0.00,0.01,0.01
3.555,0.01,0.01,0.01
3.571,0.00,0.01,0.00
3.587,0.00,0.01,0.00
3.604,0.01,0.01,0.01
3.623,0.01,0.01,0.01
3.637,0.01,0.01,0.01
3.654,0.01,0.01,0.00
3.671,0.00,0.01,0.01
3.687,0.00,0.01,0.01
3.704,0.00,0.01,0.01
3.721,0.00,0.01,0.00
3.738,0.00,0.01,0.01
3.754,0.00,0.01,0.01
3.771,0.00,0.01,0.01
3.788,0.00,0.01,0.01
3.804,0.00,0.01,0.01
3.821,0.00,0.01,0.01
3.838,0.00,0.01,0.01
3.854,0.00,0.01,0.00
3.871,0.00,0.01,0.01
3.888,0.01,0.01,0.01
3.904,0.00,0.01,0.01
3.921,0.00,0.01,0.01
3.938,0.00,0.01,0.01
3.955,0.01,0.01,0.01
3.971,0.00,0.01,0.01
3.988,0.01,0.01,0.01
4.005,0.00,0.01,0.00
4.021,0.01,0.01,0.01
4.038,0.00,0.01,0.01
4.055,0.01,0.01,0.01
4.085,0.00,0.01,0.01
4.101,0.00,0.01,0.00
4.118,0.00,0.01,0.01
4.135,0.00,0.01,0.01
4.151,0.00,0.01,0.01
4.168,0.01,0.01,0.01
4.184,0.01,0.01,0.01
4.201,0.01,0.01,0.01
4.218,0.00,0.01,0.01
4.235,0.00,0.01,0.01
4.251,0.00,0.01,0.01
4.285,0.00,0.01,0.01
4.301,0.00,0.01,0.00
4.317,0.01,0.01,0.01
4.351,0.00,0.01,0.00
4.368,0.00,0.01,0.00
4.384,0.00,0.01,0.01
4.401,0.01,0.01,0.01
4.423,0.00,0.01,0.00
4.439,0.01,0.01,0.01
4.456,0.01,0.01,0.00
4.472,0.00,0.01,0.01
4.489,0.00,0.01,0.01
4.505,0.00,0.01,0.00
4.522,0.00,0.01,0.01
4.539,0.01,0.01,0.01
4.555,0.01,0.01,0.01
4.572,0.00,0.01,0.01
4.589,0.00,0.01,0.01
4.605,0.00,0.01,0.01
4.622,0.00,0.01,0.00
4.638,0.00,0.01,0.00
4.655,0.00,0.01,0.00
4.674,0.00,0.01,0.01
4.688,0.01,0.01,0.01
4.705,0.00,0.01,0.00
4.722,0.01,0.01,0.00
4.738,0.00,0.01,0.01
4.755,0.00,0.01,0.01
4.772,0.00,0.01,0.01
4.801,0.01,0.01,0.01
4.817,0.00,0.01,0.01
4.834,0.01,0.01,0.01
4.851,0.00,0.01,0.01
4.867,0.00,0.01,0.01
4.884,0.00,0.01,0.01
4.901,0.00,0.01,0.01
4.922,0.01,0.01,0.00
4.939,0.00,0.01,0.00
4.955,0.00,0.01,0.01
4.972,0.00,0.01,0.00
4.989,0.01,0.01,0.00
5.005,0.00,0.01,0.01
5.022,0.00,0.01,0.01
5.039,0.01,0.01,0.01
5.055,0.00,0.01,0.01
5.072,0.00,0.01,0.00
5.089,0.01,0.01,0.01
5.106,0.01,0.01,0.01
5.122,0.00,0.01,0.01
5.139,0.00,0.01,0.00
5.155,0.00,0.01,0.01
5.172,0.01,0.01,0.01
5.189,0.01,0.01,0.00
5.205,0.00,0.01,0.01
5.222,0.00,0.01,0.00
5.239,0.01,0.01,0.01
5.255,0.01,0.01,0.00
5.272,0.01,0.01,0.01
5.289,0.00,0.01,0.01
5.306,0.00,0.01,0.01
5.322,0.00,0.01,0.01
5.339,0.00,0.01,0.01
5.355,0.00,0.01,0.01
5.373,0.01,0.01,0.01
5.389,0.00,0.01,0.01
5.405,0.00,0.01,0.01
5.423,0.00,0.01,0.01
5.439,0.00,0.01,0.01
5.456,0.00,0.01,0.01
5.472,0.01,0.01,0.01
5.489,0.00,0.01,0.01
5.517,0.00,0.01,0.01
5.534,0.01,0.01,0.00
5.551,0.00,0.01,0.01
5.567,0.00,0.01,0.01
5.584,0.00,0.01,0.01
5.601,0.00,0.01,0.00
5.617,0.00,0.01,0.00
5.634,0.00,0.01,0.00
5.651,0.01,0.01,0.00
5.667,0.00,0.01,0.00
5.684,0.01,0.01,0.01
5.701,0.01,0.01,0.01
5.718,0.00,0.01,0.00
5.735,0.01,0.01,0.01
5.756,0.00,0.01,0.01
5.773,0.00,0.01,0.01
5.790,0.01,0.01,0.01
5.806,0.00,0.01,0.00
5.823,0.00,0.01,0.01
5.839,0.00,0.01,0.01
5.856,0.00,0.01,0.01
5.873,0.01,0.01,0.01
5.889,0.01,0.01,0.01
5.906,0.00,0.01,0.01
5.923,0.01,0.01,0.01
5.939,0.01,0.01,0.00
5.956,0.00,0.01,0.01
5.973,0.00,0.01,0.01
5.989,0.01,0.01,0.01
6.006,0.01,0.01,0.01
6.023,0.00,0.01,0.01
6.039,0.00,0.01,0.01
6.056,0.01,0.01,0.01
6.073,0.01,0.01,0.01
6.089,0.01,0.01,0.01
6.106,0.00,0.01,0.01
6.123,0.00,0.01,0.01
6.139,0.00,0.01,0.01
6.156,0.00,0.01,0.01
6.173,0.00,0.01,0.01
6.189,0.00,0.01,0.01
6.206,0.00,0.01,0.00
6.223,0.01,0.01,0.01
6.239,0.00,0.01,0.00
6.256,0.00,0.01,0.01
6.273,0.00,0.01,0.01
6.301,0.01,0.01,0.01
6.317,0.00,0.01,0.01
6.334,0.00,0.01,0.00
6.351,0.01,0.01,0.01
6.368,0.00,0.01,0.00
6.384,0.00,0.01,0.01
6.401,0.00,0.01,0.01
6.417,0.00,0.01,0.01
6.435,0.00,0.01,0.01
6.457,0.00,0.01,0.00
6.474,0.01,0.01,0.01
6.501,0.00,0.01,0.01
6.518,0.00,0.01,0.01
6.535,0.01,0.01,0.01
6.567,0.00,0.01,0.01
6.584,0.00,0.01,0.01
6.617,0.00,0.01,0.01
6.635,0.01,0.01,0.01
6.668,0.00,0.01,0.01
6.685,0.00,0.01,0.01
6.718,0.01,0.01,0.01
6.735,0.00,0.01,0.01
6.768,0.00,0.01,0.01
6.785,0.00,0.01,0.01
6.807,0.00,0.01,0.00
6.824,0.00,0.01,0.01
6.841,0.01,0.01,0.01
6.857,0.00,0.01,0.00
6.873,0.01,0.01,0.01
6.890,0.00,0.01,0.01
6.907,0.01,0.01,0.00
6.923,0.00,0.01,0.01
6.940,0.00,0.01,0.01
6.957,0.00,0.01,0.01
6.973,0.00,0.01,0.00
6.990,0.00,0.01,0.01
7.007,0.01,0.01,0.00
7.023,0.00,0.01,0.01
7.040,0.00,0.01,0.01
7.057,0.01,0.01,0.01
7.085,0.01,0.01,0.00
7.101,0.00,0.01,0.01
7.118,0.01,0.01,0.00
7.135,0.00,0.01,0.01
7.151,0.00,0.01,0.01
7.168,0.00,0.01,0.01
7.185,0.00,0.01,0.00
7.217,0.00,0.01,0.01
7.234,0.00,0.01,0.00
7.251,0.00,0.01,0.01
7.267,0.00,0.01,0.01
7.284,0.01,0.01,0.01
7.301,0.00,0.01,0.01
7.317,0.00,0.01,0.01
7.351,0.00,0.01,0.01
7.367,0.00,0.01,0.00
7.401,0.00,0.01,0.01
7.417,0.01,0.01,0.01
7.441,0.00,0.01,0.01
7.457,0.01,0.01,0.00
7.474,0.00,0.01,0.01
7.491,0.00,0.01,0.01
7.507,0.00,0.01,0.01
7.524,0.00,0.00,0.00
7.540,0.01,0.01,0.01
7.557,0.01,0.01,0.01
7.574,0.00,0.01,0.01
7.591,0.00,0.01,0.00
7.607,0.00,0.01,0.01
7.624,0.00,0.01,0.01
7.640,0.01,0.01,0.01
7.657,0.00,0.01,0.00
7.674,0.01,0.01,0.01
7.691,0.01,0.01,0.01
7.707,0.00,0.01,0.01
7.734,0.00,0.01,0.01
7.751,0.00,0.01,0.01
7.767,0.01,0.01,0.00
7.784,0.00,0.01,0.01
7.801,0.00,0.01,0.01
7.817,0.00,0.01,0.00
7.834,0.01,0.01,0.01
7.857,0.00,0.01,0.00
7.884,0.01,0.01,0.01
7.901,0.00,0.01,0.00
7.918,0.01,0.01,0.01
7.941,0.01,0.01,0.01
7.958,0.00,0.01,0.01
7.975,0.00,0.01,0.00
7.991,0.00,0.01,0.01
8.008,0.00,0.01,0.00
8.025,0.01,0.01,0.00
8.042,0.00,0.01,0.01
8.058,0.00,0.01,0.01
8.075,0.01,0.01,0.01
8.091,0.00,0.01,0.01
8.108,0.01,0.01,0.01
8.125,0.00,0.01,0.00
8.142,0.00,0.01,0.01
8.157,0.00,0.01,0.00
8.175,0.01,0.01,0.00
8.191,0.00,0.01,0.01
8.208,0.00,0.01,0.00
8.224,0.01,0.01,0.01
8.242,0.00,0.01,0.01
8.258,0.00,0.01,0.00
8.275,0.01,0.01,0.01
8.291,0.01,0.01,0.01
8.308,0.01,0.01,0.01
8.324,0.01,0.01,0.00
8.341,0.00,0.01,0.01
8.357,0.00,0.01,0.01
