time,wx,wy,wz
0.006,-0.01,0.01,0.00
0.022,0.01,-0.00,0.01
0.056,0.00,-0.00,0.00
0.073,-0.01,-0.01,-0.00
0.089,0.00,-0.00,-0.00
0.106,0.00,-0.01,0.01
0.123,-0.01,-0.01,0.00
0.156,0.00,-0.00,-0.00
0.172,0.00,-0.00,0.01
0.189,-0.00,-0.00,0.01
0.206,0.00,-0.00,0.00
0.223,0.00,-0.00,-0.00
0.239,-0.00,0.00,0.00
0.272,0.00,-0.00,0.01
0.289,0.00,0.00,0.00
0.306,-0.00,0.00,-0.01
0.323,0.00,-0.00,0.00
0.339,-0.00,-0.00,0.01
0.372,-0.00,-0.00,-0.00
0.389,0.00,-0.00,-0.01
0.406,0.00,-0.00,0.01
0.423,-0.00,-0.00,0.00
0.439,0.00,-0.00,-0.00
0.472,-0.00,-0.00,0.00
0.489,0.00,-0.00,0.00
0.506,0.00,-0.00,-0.00
0.522,0.00,-0.01,0.00
0.539,-0.00,-0.00,0.01
0.573,-0.00,0.00,-0.00
0.589,-0.00,-0.00,-0.00
0.606,-0.00,-0.00,0.01
0.623,-0.00,-0.00,0.00
0.639,-0.00,-0.00,0.00
0.673,0.00,-0.00,0.01
0.688,0.00,-0.00,0.01
0.706,0.00,-0.00,-0.00
0.723,-0.00,-0.00,-0.00
0.739,-0.00,-0.00,0.01
0.772,0.00,-0.00,0.00
0.789,0.00,-0.00,-0.00
0.806,-0.00,-0.00,0.00
0.821,0.00,-0.00,-0.00
0.839,-0.00,0.00,-0.00
0.856,-0.00,-0.00,-0.00
0.889,-0.00,-0.01,0.00
0.905,0.00,-0.01,0.01
0.923,-0.00,-0.01,-0.00
0.939,0.00,-0.01,0.00
0.956,-0.00,-0.00,0.00
0.989,-0.00,0.00,0.00
1.006,-0.00,0.00,-0.00
1.022,-0.00,0.00,0.01
1.039,-0.00,-0.00,0.00
1.056,-0.00,0.00,-0.01
1.089,-0.00,-0.00,-0.00
1.106,0.00,-0.01,0.01
1.122,-0.00,-0.00,0.01
1.139,-0.00,-0.00,-0.01
1.156,0.00,-0.00,0.00
1.189,0.00,-0.00,0.01
1.206,-0.00,0.00,-0.01
1.222,-0.00,-0.01,-0.00
1.239,0.00,-0.01,0.01
1.256,-0.00,-0.00,-0.00
1.289,-0.00,-0.00,-0.01
1.306,-0.00,-0.00,0.00
1.322,-0.00,-0.01,0.01
1.339,0.00,-0.00,-0.00
1.356,0.00,-0.00,-0.00
1.389,-0.00,-0.00,0.01
1.406,0.00,-0.00,0.01
1.422,-0.00,-0.00,-0.01
1.439,-0.00,-0.00,-0.00
1.456,0.00,-0.00,0.01
1.489,-0.00,-0.00,0.01
1.506,-0.00,0.00,-0.00
1.522,0.00,0.00,0.00
1.539,0.00,0.00,0.01
1.556,0.00,-0.00,-0.00
1.572,-0.00,0.00,-0.01
1.606,0.00,-0.01,0.01
1.622,0.00,-0.00,0.00
1.639,-0.00,-0.00,-0.00
1.656,0.00,-0.01,0.00
1.672,-0.00,-0.01,0.01
1.706,-0.00,-0.00,-0.00
1.722,0.00,-0.00,-0.00
1.739,0.00,-0.00,0.01
1.756,-0.00,0.00,0.00
1.772,-0.00,-0.00,0.01
1.806,0.00,0.00,0.00
1.821,-0.00,0.00,-0.01
1.839,-0.00,-0.00,-0.00
1.856,0.00,-0.01,0.01
1.872,0.00,-0.01,0.01
1.905,-0.00,-0.00,-0.01
1.922,0.00,-0.00,-0.00
1.939,-0.00,-0.01,0.02
1.956,-0.00,-0.00,0.01
1.972,0.00,-0.00,-0.00
2.006,0.00,-0.00,-0.00
2.022,-0.00,-0.01,0.01
2.039,0.00,-0.00,0.01
2.056,0.00,0.00,-0.01
2.072,-0.00,-0.00,0.01
2.106,0.00,0.00,0.02
2.122,0.00,0.00,-0.01
2.139,0.00,0.00,0.00
2.156,-0.00,0.00,0.01
2.172,0.00,-0.00,-0.00
2.189,-0.00,-0.00,0.01
2.222,-0.00,-0.00,0.01
2.239,-0.00,-0.00,-0.00
2.256,-0.00,0.00,-0.00
2.272,-0.00,-0.00,0.01
2.289,-0.00,0.00,0.01
2.322,0.00,-0.00,-0.01
2.339,-0.00,-0.00,0.01
2.356,0.00,-0.00,0.01
2.373,-0.00,0.00,-0.01
2.389,0.00,-0.00,-0.01
2.423,-0.00,-0.01,0.01
2.439,0.00,-0.00,0.00
2.456,-0.00,-0.00,-0.01
2.473,0.00,-0.00,0.00
2.489,0.00,-0.00,0.01
2.523,0.00,0.00,-0.01
2.538,-0.01,-0.00,0.00
2.556,0.00,-0.00,0.01
2.572,-0.00,0.00,-0.00
2.589,0.00,-0.00,0.00
2.622,-0.00,-0.00,0.01
2.639,0.00,0.00,-0.00
2.656,-0.00,-0.00,-0.00
2.672,0.00,-0.00,0.00
2.689,0.00,-0.00,0.01
2.723,-0.00,-0.00,-0.01
2.739,-0.00,-0.00,0.00
2.756,0.00,-0.00,0.00
2.772,-0.00,-0.00,0.01
2.789,0.00,-0.00,-0.01
2.806,-0.00,-0.00,0.01
2.839,0.00,-0.00,0.01
2.856,-0.00,-0.00,0.00
2.873,-0.00,-0.00,-0.00
2.889,-0.00,-0.00,0.01
2.923,-0.00,-0.00,0.00
2.939,-0.00,0.00,-0.01
2.956,0.00,-0.01,0.01
2.972,-0.00,-0.00,0.01
2.989,-0.00,-0.00,-0.01
3.006,-0.00,0.00,0.00
3.039,0.00,-0.00,0.01
3.056,-0.01,-0.04,0.16
3.072,0.00,-0.01,0.06
3.089,0.00,0.02,0.04
3.106,-0.00,0.00,0.19
3.139,-0.00,0.01,0.08
3.156,-0.00,-0.01,0.10
3.172,0.00,0.00,0.04
3.189,-0.00,0.00,0.07
3.206,-0.00,-0.02,0.01
3.239,-0.04,-0.19,0.44
3.256,-0.02,-0.05,0.21
3.272,0.01,0.10,-0.24
3.289,-0.01,0.05,0.01
3.306,-0.00,0.01,0.31
3.339,0.01,0.03,-0.04
3.356,-0.01,-0.02,0.12
3.372,0.00,-0.02,0.15
3.389,-0.00,0.01,-0.03
3.405,-0.01,-0.02,0.19
3.439,0.00,-0.01,0.13
3.456,0.00,-0.00,0.01
3.472,-0.00,-0.02,0.15
3.489,0.00,0.01,0.02
3.506,-0.00,0.01,0.06
3.522,0.00,-0.01,0.19
3.556,0.00,0.00,0.05
3.573,0.00,0.01,0.01
3.589,0.01,-0.03,-0.32
3.606,-0.02,-0.17,0.29
3.622,0.01,-0.06,0.04
3.656,0.01,0.03,-0.13
3.673,-0.01,-0.01,0.19
3.689,-0.00,0.01,0.14
3.706,0.00,0.04,-0.04
3.722,-0.00,-0.00,0.25
3.756,0.00,0.01,0.07
3.772,-0.01,-0.00,0.04
3.789,-0.00,-0.02,0.17
3.806,0.01,0.01,-0.00
3.821,0.00,-0.01,0.15
3.856,-0.00,-0.01,0.13
3.872,-0.00,-0.00,0.03
3.889,-0.00,-0.01,0.10
3.905,-0.00,0.01,0.14
3.922,0.02,0.09,0.70
3.956,0.03,0.16,-0.44
3.972,-0.00,-0.02,0.05
3.989,-0.01,-0.09,0.18
4.006,0.01,-0.02,0.01
4.022,-0.00,-0.01,0.03
4.056,-0.00,-0.03,0.29
4.073,0.00,0.01,-0.04
4.089,0.00,-0.00,0.11
4.106,-0.01,0.00,0.16
4.122,0.00,0.02,-0.01
4.139,-0.00,-0.01,0.19
4.172,0.00,-0.01,0.09
4.189,0.00,0.00,0.00
4.206,-0.01,-0.01,0.17
4.222,0.00,0.01,0.06
4.239,0.00,-0.00,0.05
4.272,-0.01,-0.03,0.09
4.289,-0.02,-0.05,0.83
4.306,0.00,0.10,-0.02
4.322,0.03,0.15,-0.24
4.339,-0.02,0.01,0.11
4.372,-0.00,-0.02,0.22
4.389,0.01,0.01,-0.09
4.405,-0.01,-0.02,0.16
4.422,-0.00,-0.02,0.13
4.439,0.01,-0.00,0.03
4.472,-0.00,-0.02,0.18
4.489,-0.00,-0.00,0.06
4.506,0.00,0.00,0.06
4.522,-0.00,0.00,0.16
4.539,0.01,0.01,0.04
4.573,0.00,-0.01,0.14
4.589,-0.01,-0.01,0.11
4.606,0.00,0.01,-0.01
4.622,-0.00,-0.01,0.02
4.639,-0.03,-0.18,0.19
4.672,-0.03,-0.12,0.32
4.689,0.03,0.06,-0.18
4.706,0.00,0.06,-0.07
4.722,-0.01,0.01,0.30
4.739,0.01,0.04,0.04
4.772,-0.00,0.01,0.07
4.789,-0.01,-0.02,0.21
4.806,0.01,0.01,-0.04
4.822,0.00,-0.00,0.17
4.839,-0.00,0.01,0.16
4.856,0.01,0.01,-0.01
4.889,-0.00,-0.02,0.18
4.906,-0.00,0.00,0.03
4.922,0.00,0.01,-0.01
4.939,-0.01,-0.01,0.19
4.956,0.00,-0.01,0.09
4.989,0.01,0.02,0.18
5.006,0.02,0.04,-0.46
5.022,-0.03,-0.14,0.20
5.039,-0.01,-0.11,0.13
5.056,0.02,-0.01,-0.06
5.089,-0.00,-0.01,0.08
5.106,-0.01,-0.01,0.21
5.122,0.01,0.03,-0.06
5.139,-0.01,0.01,0.21
5.156,-0.00,0.01,0.13
5.189,0.01,0.01,0.02
5.206,-0.00,-0.01,0.17
5.222,-0.00,0.01,0.02
5.239,0.00,0.01,0.11
5.256,0.00,-0.01,0.16
5.289,0.00,-0.01,0.09
5.306,0.00,-0.01,0.06
5.322,-0.00,-0.00,0.11
5.339,0.02,0.06,0.85
5.356,0.04,0.18,-0.37
5.389,0.00,0.05,-0.07
5.406,-0.03,-0.06,0.21
5.422,0.01,-0.04,0.06
5.439,0.00,-0.01,-0.04
5.456,-0.01,-0.03,0.32
5.472,0.00,0.00,0.01
5.506,0.00,-0.01,0.09
5.522,-0.01,-0.01,0.16
5.539,0.01,0.02,-0.05
5.556,0.00,-0.01,0.20
5.572,-0.01,-0.01,0.14
5.606,0.00,0.00,-0.01
5.622,0.00,-0.01,0.13
5.639,-0.00,0.00,0.08
5.656,0.01,0.01,0.04
5.672,-0.00,-0.02,0.05
5.706,-0.03,-0.11,0.70
5.722,0.01,0.03,0.12
5.739,0.04,0.15,-0.24
5.756,-0.01,0.06,0.04
5.772,-0.01,0.00,0.29
5.806,0.01,0.02,-0.06
5.821,-0.00,-0.02,0.10
5.839,-0.01,-0.02,0.15
5.856,0.01,0.00,0.00
5.872,-0.01,-0.02,0.19
5.906,-0.00,-0.01,0.09
5.922,0.01,0.00,0.05
5.939,-0.01,-0.00,0.14
