time,wx,wy,wz
0.005,0.01,-0.01,0.00
0.023,-0.02,0.00,0.00
0.040,-0.00,-0.00,0.00
0.056,0.01,-0.01,-0.00
0.073,-0.01,0.00,0.00
0.090,-0.01,-0.00,0.00
0.122,0.00,-0.01,0.00
0.140,0.00,-0.01,0.00
0.158,-0.01,-0.00,0.00
0.173,-0.00,-0.00,0.00
0.190,0.01,-0.00,0.00
0.222,-0.00,0.00,0.00
0.240,-0.00,0.00,0.00
0.258,0.00,-0.00,0.00
0.273,0.00,-0.00,0.00
0.290,-0.00,-0.00,0.00
0.322,-0.00,-0.01,0.00
0.340,0.00,-0.00,0.00
0.358,-0.00,-0.00,0.00
0.373,0.00,-0.00,0.00
0.390,0.00,0.00,0.00
0.422,-0.00,-0.00,0.01
0.440,-0.00,-0.00,0.00
0.458,0.00,-0.01,0.00
0.473,-0.00,-0.01,0.00
0.490,-0.00,-0.00,0.00
0.522,-0.00,-0.00,0.00
0.540,0.00,-0.00,0.00
0.557,-0.00,-0.00,0.00
0.573,0.00,-0.00,0.00
0.590,-0.00,-0.00,0.00
0.622,0.00,-0.01,0.00
0.639,-0.00,-0.01,0.00
0.655,-0.00,-0.00,0.00
0.672,-0.00,-0.00,0.00
0.689,-0.00,0.00,0.00
0.722,0.00,0.00,0.00
0.739,0.00,-0.00,0.00
0.755,-0.00,-0.00,0.00
0.772,-0.00,-0.01,0.00
0.789,-0.00,-0.01,0.00
0.822,0.00,-0.01,0.00
0.839,-0.00,-0.00,0.00
0.855,0.00,-0.00,0.00
0.872,-0.00,0.00,0.00
0.889,0.00,0.00,0.00
0.905,-0.00,-0.00,0.00
0.939,0.00,0.00,0.00
0.955,0.00,-0.00,0.00
0.974,-0.00,-0.00,0.00
0.990,0.00,-0.01,0.00
1.007,-0.00,-0.00,0.00
1.039,0.00,-0.00,0.00
1.055,0.00,-0.00,0.00
1.072,-0.00,0.00,0.00
1.089,-0.00,-0.00,0.00
1.105,-0.00,-0.00,0.00
1.139,-0.00,-0.00,0.00
1.155,0.00,0.00,-0.00
1.172,0.00,-0.00,0.00
1.189,0.00,-0.00,0.00
1.205,-0.00,-0.00,0.00
1.239,-0.00,-0.01,0.00
1.255,-0.00,-0.00,0.00
1.272,0.00,-0.00,0.00
1.289,-0.00,-0.00,0.00
1.305,0.00,-0.01,0.00
1.339,-0.00,-0.00,0.00
1.355,-0.00,-0.00,0.00
1.372,0.00,-0.00,0.00
1.389,0.00,-0.00,0.00
1.405,-0.00,-0.00,0.00
1.439,0.00,0.00,0.00
1.455,-0.00,-0.00,-0.00
1.474,0.00,-0.00,0.00
1.490,-0.00,-0.00,0.00
1.507,0.00,-0.00,0.00
1.524,-0.00,-0.00,0.00
1.555,0.00,0.00,0.01
1.572,-0.00,0.00,0.00
1.589,0.00,0.00,0.00
1.605,0.00,-0.00,0.00
1.622,-0.00,-0.00,0.00
1.655,-0.00,-0.00,0.00
1.672,-0.00,-0.00,-0.00
1.689,0.00,-0.01,0.00
1.705,-0.00,-0.00,0.00
1.722,-0.00,-0.00,-0.00
1.755,-0.00,-0.00,0.00
1.772,-0.00,-0.00,0.00
1.789,0.00,-0.00,0.00
1.805,-0.00,-0.00,0.00
1.822,-0.00,-0.00,-0.00
1.855,0.00,-0.01,0.00
1.872,0.00,-0.00,0.00
1.891,-0.00,-0.00,0.00
1.907,-0.00,-0.00,0.00
1.924,-0.00,0.00,0.00
1.941,-0.00,-0.00,0.00
1.972,0.00,-0.00,0.00
1.989,-0.00,-0.00,0.01
2.005,-0.00,-0.00,0.00
2.022,0.00,-0.01,0.00
2.055,0.00,-0.00,0.00
2.072,-0.00,-0.01,0.00
2.089,0.00,-0.00,0.00
2.105,0.00,-0.00,0.00
2.122,-0.00,-0.00,0.00
2.155,0.00,-0.00,0.00
2.172,-0.00,-0.00,0.00
2.189,0.00,-0.00,0.00
2.205,-0.00,-0.00,0.00
