time,wx,wy,wz
0.026,-0.02,-0.00,-0.01
0.043,0.02,-0.02,0.01
0.060,0.00,-0.05,-0.00
0.076,-0.02,-0.02,-0.00
0.093,0.00,-0.00,0.00
0.126,0.01,-0.01,-0.00
0.143,-0.01,-0.02,0.00
0.160,-0.01,-0.02,0.00
0.176,0.01,0.00,0.00
0.193,-0.00,-0.00,0.00
0.226,-0.00,0.01,0.00
0.243,0.01,0.03,0.00
0.260,0.00,0.01,0.00
0.276,-0.00,-0.01,0.00
0.293,-0.00,-0.00,0.00
0.326,0.00,-0.01,0.00
0.343,-0.00,-0.03,-0.00
0.360,-0.00,-0.02,0.00
0.376,-0.00,-0.03,0.00
0.393,0.00,0.02,0.00
0.426,-0.00,0.00,0.00
0.443,0.00,-0.00,-0.00
0.460,0.00,0.01,0.00
0.476,-0.00,-0.02,0.00
0.493,-0.00,-0.02,0.00
0.526,-0.00,-0.02,0.00
0.543,-0.00,-0.01,0.00
0.560,-0.00,-0.04,0.00
0.576,-0.00,-0.02,0.00
0.593,-0.00,-0.04,0.00
0.610,-0.01,-0.02,0.00
0.643,-0.01,-0.02,-0.00
0.660,-0.01,-0.04,0.00
0.676,-0.01,-0.02,-0.00
0.693,-0.01,-0.03,0.00
0.710,-0.00,-0.00,0.01
0.743,0.00,-0.01,0.00
0.760,0.00,-0.01,0.00
0.776,-0.00,-0.02,0.00
0.793,-0.00,-0.01,0.00
0.810,-0.01,-0.04,0.00
0.843,-0.00,-0.02,0.00
0.860,0.00,-0.02,0.01
0.876,-0.00,-0.01,0.00
0.893,0.00,-0.02,0.00
0.910,-0.01,-0.05,0.00
0.943,-0.01,-0.04,0.00
0.960,0.00,-0.02,0.00
0.976,-0.00,-0.03,0.00
0.993,-0.00,-0.04,0.00
1.010,-0.00,-0.03,0.00
1.043,-0.00,-0.03,0.00
1.060,-0.00,-0.01,0.00
1.076,0.01,0.03,0.01
1.093,0.01,0.03,0.01
1.110,0.01,0.03,0.00
1.143,0.01,0.05,0.01
1.160,0.00,0.00,0.00
1.176,0.00,-0.01,0.00
1.193,0.20,1.33,0.08
1.210,-0.08,0.95,0.00
