time,wx,wy,wz
0.006,0.01,-0.01,0.01
0.022,0.01,-0.01,0.01
0.039,-0.02,-0.00,-0.01
0.072,0.00,-0.00,-0.01
0.089,0.00,-0.01,0.01
0.106,-0.01,-0.00,-0.00
0.122,0.00,-0.00,-0.00
0.139,-0.00,-0.00,0.00
0.172,-0.00,-0.00,0.01
0.189,0.00,-0.00,-0.01
0.206,-0.00,-0.00,-0.00
0.222,-0.00,-0.00,0.01
0.239,0.00,-0.00,-0.01
0.272,-0.00,-0.00,-0.00
0.289,0.00,-0.01,0.02
0.306,0.00,-0.00,0.00
0.322,-0.00,-0.00,-0.01
0.339,-0.00,-0.00,0.01
0.372,0.00,-0.00,0.01
0.389,-0.00,0.00,-0.01
0.406,0.00,-0.00,0.00
0.422,-0.00,-0.00,0.02
0.439,-0.00,-0.00,-0.01
0.472,-0.00,-0.00,-0.01
0.489,0.00,-0.00,0.02
0.505,-0.00,-0.00,0.01
0.522,-0.00,0.00,-0.02
0.539,-0.00,-0.00,0.01
0.556,-0.00,-0.00,0.02
0.589,0.00,-0.00,-0.01
0.606,-0.00,-0.00,-0.00
0.622,0.00,-0.00,0.01
0.639,-0.00,0.00,-0.00
0.656,-0.00,0.00,-0.01
0.689,-0.00,-0.01,0.02
0.706,-0.00,0.00,0.01
0.722,-0.00,-0.00,-0.01
0.739,0.00,-0.00,0.01
0.756,-0.00,0.00,0.01
0.789,-0.00,-0.00,-0.01
0.806,-0.00,-0.00,-0.00
0.822,0.00,-0.01,0.01
0.839,-0.00,-0.00,0.00
0.856,0.00,-0.00,-0.01
0.889,-0.00,-0.00,0.01
0.906,0.00,-0.00,0.00
0.922,-0.00,-0.00,-0.00
0.939,-0.00,-0.00,0.00
0.956,-0.00,-0.00,0.00
0.989,-0.00,-0.00,-0.00
1.006,0.00,-0.00,0.01
1.022,-0.00,-0.00,0.00
1.039,-0.00,-0.00,0.01
1.056,-0.00,-0.00,-0.00
1.089,0.04,0.11,2.14
1.106,0.09,0.09,1.22
1.122,-0.02,-0.09,2.29
1.139,0.02,0.01,1.26
1.156,-0.01,-0.06,1.88
1.189,0.00,-0.00,1.82
1.206,0.03,0.06,1.51
1.222,-0.01,0.02,2.19
1.239,0.02,0.06,1.46
1.256,-0.01,-0.01,2.22
1.272,-0.01,0.02,1.37
1.306,-0.01,-0.07,1.98
1.322,-0.02,-0.02,1.50
1.339,0.02,-0.04,1.75
1.355,-0.01,-0.00,1.82
1.372,0.03,0.04,1.55
1.406,-0.01,0.03,2.20
1.421,0.01,0.06,1.44
1.439,-0.00,-0.02,2.17
1.455,-0.02,0.02,1.43
1.472,0.01,-0.06,1.92
1.506,-0.03,-0.00,1.54
1.522,0.03,-0.03,1.72
1.539,-0.01,0.01,1.86
1.556,0.03,0.03,1.55
1.572,-0.01,0.02,2.23
1.606,0.01,0.08,1.48
1.622,0.01,-0.01,2.13
1.639,-0.03,0.03,1.42
1.656,0.01,-0.08,1.90
1.672,-0.02,0.00,1.61
1.706,0.03,-0.02,1.67
1.722,-0.01,0.01,1.91
1.739,0.02,0.03,1.56
1.755,0.00,0.03,2.25
1.772,0.01,0.07,1.42
1.806,0.00,-0.03,2.16
1.822,-0.02,0.04,1.37
1.839,0.01,-0.09,1.91
1.856,-0.02,0.01,1.60
1.872,0.03,-0.04,1.66
1.906,-0.01,0.02,1.96
1.922,0.01,0.04,1.52
1.939,0.01,0.01,2.23
1.956,-0.00,0.07,1.45
1.972,0.01,-0.13,-0.40
1.989,-0.02,-0.06,0.37
2.022,0.02,0.12,-0.14
2.039,0.03,-0.04,-0.09
2.056,-0.05,-0.05,0.13
2.072,0.02,0.04,-0.03
2.089,0.04,0.01,-0.06
2.122,-0.04,-0.03,0.06
2.139,-0.00,0.00,0.01
2.155,0.04,0.01,-0.04
2.172,-0.02,-0.01,0.02
2.189,-0.02,-0.00,0.02
2.222,0.03,0.01,-0.02
2.239,-0.00,-0.00,-0.01
2.256,-0.02,-0.01,0.02
2.272,0.01,0.00,0.00
2.289,0.01,0.00,-0.01
2.322,-0.01,-0.00,0.00
2.339,0.00,-0.01,0.01
2.356,0.01,-0.00,-0.00
2.372,-0.01,-0.00,-0.00
2.389,-0.00,-0.00,0.01
2.422,0.01,-0.00,0.00
2.439,-0.00,0.00,-0.00
2.455,-0.00,-0.00,0.01
2.472,0.00,-0.00,0.01
2.489,-0.00,-0.00,-0.00
2.522,-0.00,-0.00,-0.00
2.539,0.00,-0.00,0.00
2.555,0.00,0.00,0.00
2.574,-0.02,-0.01,-0.01
2.589,0.00,-0.03,-0.01
2.606,0.01,-0.00,0.00
1.610,0.01,-0.01,2.13
1.630,-0.03,0.03,1.42
1.650,0.01,-0.08,1.90
1.670,-0.02,0.00,1.61
1.690,0.03,-0.02,1.67
1.710,-0.01,0.01,1.91
1.729,0.02,0.03,1.56
1.749,0.00,0.03,2.25
1.769,0.01,0.07,1.42
1.789,0.00,-0.03,2.16
1.809,-0.02,0.04,1.37
1.829,0.01,-0.09,1.91
1.849,-0.02,0.01,1.60
1.869,0.03,-0.04,1.66
1.889,-0.01,0.02,1.96
1.909,0.01,0.04,1.52
1.929,0.01,0.01,2.23
1.948,-0.00,0.07,1.45
1.968,0.01,-0.13,-0.40
1.988,-0.02,-0.06,0.37
2.008,0.02,0.12,-0.14
2.028,0.03,-0.04,-0.09
2.048,-0.05,-0.05,0.13
2.068,0.02,0.04,-0.03
2.088,0.04,0.01,-0.06
2.108,-0.04,-0.03,0.06
2.128,-0.00,0.00,0.01
2.147,0.04,0.01,-0.04
2.167,-0.02,-0.01,0.02
2.187,-0.02,-0.00,0.02
2.207,0.03,0.01,-0.02
2.227,-0.00,-0.00,-0.01
2.247,-0.02,-0.01,0.02
2.267,0.01,0.00,0.00
2.287,0.01,0.00,-0.01
2.307,-0.01,-0.00,0.00
2.327,0.00,-0.01,0.01
2.346,0.01,-0.00,-0.00
2.366,-0.01,-0.00,-0.00
2.386,-0.00,-0.00,0.01
2.406,0.01,-0.00,0.00
2.427,-0.00,0.00,-0.00
2.446,-0.00,-0.00,0.01
2.466,0.00,-0.00,0.01
2.486,-0.00,-0.00,-0.00
2.506,-0.00,-0.00,-0.00
2.525,0.00,-0.00,0.00
2.546,0.00,0.00,0.00
2.565,-0.02,-0.01,-0.01
2.585,0.00,-0.03,-0.01
2.605,0.01,-0.00,0.00
