time,wx,wy,wz
0.013,-0.00,-0.00,0.00
0.030,-0.00,-0.00,0.00
0.046,0.00,-0.00,0.00
0.063,-0.00,-0.00,0.00
0.080,0.00,-0.00,0.00
0.096,0.00,-0.00,0.00
0.112,-0.00,-0.00,0.00
0.130,0.00,-0.00,0.00
0.146,0.00,-0.00,0.00
0.163,-0.00,-0.00,0.00
0.180,0.00,-0.00,0.00
0.197,0.00,-0.00,0.00
0.213,-0.00,0.00,-0.00
0.230,-0.00,-0.00,0.00
0.246,0.00,-0.00,0.00
0.263,0.00,-0.00,0.00
0.280,0.00,-0.00,0.00
0.296,-0.00,-0.00,0.00
0.313,0.00,-0.00,0.00
0.330,0.00,-0.00,0.00
0.346,0.00,-0.00,0.00
0.363,-0.00,-0.00,0.00
0.380,-0.00,-0.00,0.00
0.396,-0.00,-0.00,0.00
0.413,-0.00,-0.00,-0.00
0.430,-0.00,-0.00,0.00
0.446,-0.00,-0.00,0.00
0.463,0.00,-0.00,0.00
0.496,0.00,-0.00,0.00
0.513,-0.00,-0.00,0.00
0.530,-0.00,-0.00,0.00
0.547,0.00,-0.00,0.00
0.563,-0.00,-0.00,0.00
0.580,0.00,-0.00,0.00
0.596,-0.00,-0.00,0.00
0.613,0.00,-0.00,0.00
0.630,-0.00,-0.00,0.00
0.647,-0.00,-0.00,0.00
0.663,-0.00,-0.00,0.00
0.680,-0.00,-0.00,0.00
0.697,0.00,-0.00,0.00
0.713,-0.00,-0.00,0.00
0.730,-0.00,-0.00,0.00
0.746,-0.00,-0.00,0.00
0.763,-0.00,-0.00,0.00
0.780,0.00,-0.00,0.00
0.797,-0.00,-0.00,0.00
0.813,0.00,-0.01,0.00
0.830,-0.00,-0.00,0.00
0.846,0.00,-0.00,0.00
0.863,-0.00,-0.00,0.00
0.880,-0.00,0.00,0.00
0.897,-0.00,0.00,0.00
0.913,0.00,-0.01,0.00
0.930,-0.00,-0.00,0.00
0.947,0.00,-0.00,0.00
0.963,-0.00,-0.00,0.00
0.980,0.00,-0.00,0.00
0.997,-0.00,-0.00,-0.00
1.013,-0.00,-0.00,0.00
1.046,-0.00,-0.00,0.00
1.063,0.00,-0.00,0.00
1.079,-0.00,-0.01,0.00
1.096,0.00,-0.00,0.01
1.113,-0.00,-0.00,0.00
1.130,0.00,-0.00,0.01
1.147,0.00,-0.00,0.00
1.163,0.00,-0.00,0.00
1.180,-0.00,-0.00,0.00
1.196,0.00,-0.00,0.00
1.213,-0.00,-0.00,0.00
1.230,-0.00,-0.00,0.01
1.247,0.00,-0.00,0.00
1.263,-0.00,-0.00,0.00
1.280,-0.00,0.00,0.00
1.297,-0.00,-0.00,0.00
1.313,-0.00,-0.00,0.00
1.330,-0.00,-0.00,0.00
1.347,0.00,-0.00,0.00
1.363,0.00,-0.00,0.00
1.380,-0.00,-0.00,0.00
1.397,-0.00,-0.00,0.00
1.413,-0.00,-0.00,0.00
1.430,-0.00,-0.00,0.00
1.446,-0.00,-0.00,0.00
1.463,-0.00,-0.00,0.00
1.480,-0.00,-0.00,0.00
1.497,-0.00,-0.00,0.01
1.513,0.00,-0.01,0.00
1.530,0.00,-0.00,0.00
1.546,0.00,-0.00,0.00
1.563,0.00,-0.00,0.00
1.580,-0.00,-0.01,0.00
1.596,-0.00,-0.00,0.00
1.613,-0.00,-0.00,0.00
1.630,-0.00,-0.00,0.00
1.646,0.00,-0.00,0.00
1.663,-0.00,-0.00,0.01
1.680,-0.00,-0.00,0.00
1.696,-0.00,-0.00,0.00
1.713,0.00,-0.00,0.00
1.730,-0.00,-0.00,0.00
1.746,-0.00,-0.00,0.01
1.763,-0.00,-0.01,0.00
1.780,-0.00,-0.00,0.00
1.796,-0.00,-0.00,0.00
1.813,-0.00,-0.00,0.00
1.830,-0.00,-0.00,0.00
1.846,0.00,-0.00,0.00
1.863,-0.00,-0.00,0.00
1.880,-0.00,0.00,0.00
1.896,-0.00,-0.00,0.01
1.913,0.00,-0.00,0.00
1.930,-0.00,-0.00,-0.00
1.946,-0.00,-0.00,0.00
1.963,0.00,-0.00,0.00
1.980,-0.00,-0.00,0.00
1.996,0.00,-0.00,0.00
2.013,-0.00,-0.00,0.00
2.030,0.00,-0.00,0.00
2.046,-0.00,-0.00,0.00
2.063,-0.00,-0.00,0.01
2.080,-0.00,-0.00,0.00
2.113,0.00,-0.00,0.00
2.146,-0.00,-0.00,0.00
2.163,0.00,-0.00,0.00
2.180,-0.00,-0.00,0.00
2.196,-0.00,-0.00,0.00
2.213,-0.00,-0.00,0.00
2.230,-0.00,-0.00,0.01
2.246,-0.00,-0.00,0.00
2.263,-0.00,-0.00,0.00
2.280,-0.00,-0.00,0.00
2.296,0.00,-0.00,0.00
2.313,-0.00,-0.00,0.00
2.330,-0.00,-0.00,0.00
2.346,-0.00,-0.00,-0.00
2.363,0.00,-0.00,0.00
2.380,0.00,-0.00,-0.00
2.396,-0.00,-0.00,0.00
2.413,0.00,-0.00,0.00
2.430,0.00,-0.00,0.00
2.446,-0.00,-0.00,0.00
2.463,-0.00,0.00,0.00
2.480,0.00,-0.00,0.00
2.496,-0.00,-0.00,0.00
2.513,-0.00,-0.00,0.00
2.530,0.00,-0.00,0.00
2.546,-0.00,-0.00,0.00
2.563,0.00,-0.00,0.00
2.580,-0.00,-0.00,0.00
2.596,-0.00,-0.00,0.00
2.613,0.00,-0.00,0.00
2.630,-0.00,-0.00,0.00
2.646,0.00,-0.01,0.00
2.663,0.00,-0.00,0.00
2.680,-0.00,-0.00,0.00
2.696,-0.00,-0.00,0.00
2.713,0.00,-0.00,0.00
2.730,-0.00,-0.00,0.00
2.746,0.00,-0.00,0.00
2.763,0.00,-0.00,0.00
2.780,-0.00,-0.00,0.00
2.796,0.00,-0.00,0.00
2.813,-0.00,-0.00,0.00
2.830,-0.00,-0.00,0.01
2.847,0.00,-0.00,0.00
2.863,0.00,-0.00,0.00
