time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001063;-0,05;0,03;-0,02
0,001403;-0,04;0,04;-0,02
0,001665;-0,03;0,04;-0,01
0,003975;-0,01;0,04;-0,00
0,006335;-0,00;0,03;0,01
0,008017;0,01;0,01;0,01
0,009929;0,02;-0,01;0,01
0,013211;0,02;-0,03;0,02
0,014230;0,03;-0,03;0,01
0,015791;0,03;-0,04;0,01
0,017807;0,03;-0,03;0,01
0,020490;0,03;-0,02;0,01
0,021705;0,02;-0,00;0,00
0,023647;0,02;0,01;-0,01
0,025436;0,01;0,02;-0,01
0,027783;-0,00;0,03;-0,01
0,029995;-0,02;0,03;-0,01
0,031537;-0,02;0,02;-0,01
0,033744;-0,03;0,01;-0,01
0,035435;-0,03;0,00;-0,01
0,037453;-0,03;-0,01;-0,00
0,039631;-0,03;-0,01;0,00
0,041445;-0,02;-0,02;0,00
0,043412;-0,02;-0,02;0,01
0,045817;-0,01;-0,01;0,01
0,047436;0,01;-0,01;0,01
0,050007;0,01;-0,00;0,01
0,051567;0,03;0,01;0,01
0,053476;0,03;0,02;0,01
0,055730;0,03;0,01;0,00
0,057644;0,03;0,01;-0,01
0,059614;0,02;0,00;-0,01
0,062256;0,02;0,00;-0,01
0,063691;0,01;-0,01;-0,01
0,065756;-0,00;-0,01;-0,01
0,067695;-0,01;-0,01;-0,01
0,069588;-0,02;-0,01;-0,00
0,072129;-0,02;-0,01;0,01
0,073682;-0,03;0,00;0,01
0,075651;-0,03;0,00;0,01
0,077560;-0,02;0,01;0,01
0,079905;-0,01;0,01;0,01
0,081460;-0,01;0,01;0,01
0,083555;0,00;0,01;0,00
0,085701;0,01;0,00;-0,00
0,087711;0,01;0,00;-0,01
0,089720;0,02;-0,01;-0,01
0,091742;0,02;-0,01;-0,01
0,093680;0,02;-0,01;-0,01
0,095608;0,02;-0,01;-0,01
0,097685;0,02;-0,01;-0,00
0,100299;0,01;-0,00;0,00
0,101799;0,00;0,00;0,00
0,103807;-0,00;0,01;0,01
0,106027;-0,01;0,01;0,01
0,107927;-0,01;0,01;0,01
0,109678;-0,02;0,00;0,01
0,112138;-0,02;0,00;0,01
0,113576;-0,02;-0,00;0,01
0,116003;-0,02;-0,00;-0,00
0,118049;-0,01;-0,01;-0,00
0,119773;-0,01;-0,00;-0,01
0,121623;-0,01;-0,01;-0,01
0,123372;0,00;-0,00;-0,01
0,125426;0,01;-0,00;-0,01
0,127553;0,01;0,00;-0,00
0,129585;0,02;0,01;-0,00
0,131561;0,02;0,00;0,00
0,133651;0,02;0,01;0,00
0,136046;0,01;0,00;0,01
0,137626;0,01;-0,00;0,00
0,139874;0,00;-0,00;0,01
0,141551;-0,00;-0,01;0,00
0,143315;-0,01;-0,01;0,01
0,147138;-0,01;-0,00;0,00
0,147728;-0,01;-0,01;-0,00
0,149938;-0,01;0,00;-0,00
0,151717;-0,01;-0,00;-0,00
0,153733;-0,01;0,00;-0,00
0,156000;-0,01;0,01;-0,01
0,157643;-0,00;0,00;-0,01
0,160227;-0,00;0,01;-0,01
0,162378;0,00;0,00;-0,01
0,163477;0,01;0,00;-0,00
0,165629;0,01;0,00;0,00
0,167696;0,01;-0,00;0,00
0,169882;0,01;-0,01;0,01
