time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001081;0,00;-0,02;-0,01
0,001435;-0,00;-0,01;-0,01
0,001595;-0,01;0,00;-0,01
0,003286;-0,01;0,01;-0,00
0,005524;-0,01;0,01;-0,00
0,007439;-0,02;0,02;0,01
0,012579;-0,02;0,02;0,00
0,012892;-0,01;0,01;0,01
0,013479;-0,01;0,00;0,01
0,016760;-0,01;-0,00;0,00
0,017684;-0,00;-0,01;0,00
0,020140;0,00;-0,02;-0,00
0,021797;0,01;-0,01;0,00
0,023363;0,01;-0,01;-0,00
0,025224;0,01;-0,00;-0,01
0,029278;0,01;0,00;-0,00
0,029470;0,01;0,01;-0,00
0,031854;0,01;0,02;-0,00
0,033290;0,01;0,01;-0,00
0,035799;0,01;0,02;0,00
0,037226;0,01;0,01;-0,00
0,039024;0,00;-0,00;-0,00
0,041274;0,00;-0,00;-0,00
0,044065;-0,00;-0,01;0,00
0,045487;-0,01;-0,02;-0,00
0,047134;-0,01;-0,01;0,00
0,049251;-0,01;-0,01;0,00
0,051293;-0,01;-0,00;0,00
0,053219;-0,01;0,01;0,01
0,055314;-0,01;0,00;0,01
0,057125;-0,01;0,01;0,01
0,059185;-0,01;0,01;0,00
0,061353;-0,01;0,01;0,00
0,063155;0,00;0,00;-0,00
0,065542;0,00;0,00;-0,01
0,067763;0,01;-0,01;-0,01
0,069142;0,01;-0,01;-0,01
0,071220;0,01;-0,01;-0,00
0,073249;0,01;-0,01;-0,00
0,075589;0,01;-0,00;-0,01
0,077357;0,01;0,00;-0,00
0,079127;0,01;0,00;0,00
0,081317;0,01;0,01;0,01
0,083255;0,00;0,01;0,00
0,085538;-0,00;0,00;0,01
0,087512;-0,00;0,01;0,01
0,089133;-0,00;0,00;0,00
0,091144;-0,00;-0,01;0,00
0,095269;-0,01;-0,01;0,00
0,095664;-0,01;-0,01;-0,00
0,097450;-0,01;-0,01;-0,00
0,099142;-0,01;-0,01;-0,01
0,101124;-0,01;-0,00;-0,01
0,103073;-0,01;0,00;-0,00
0,105120;-0,00;0,00;-0,00
0,107250;0,00;0,01;-0,00
0,109296;0,00;0,00;0,00
0,111272;0,00;0,01;0,00
0,113068;0,01;0,00;0,00
0,115380;0,01;0,00;0,00
0,117173;0,01;-0,01;0,00
0,119224;0,01;-0,01;0,00
0,121354;0,01;-0,01;0,00
0,123139;0,01;-0,01;0,00
0,125230;0,01;-0,01;0,00
0,127287;0,00;0,00;0,00
0,129122;-0,00;0,00;0,00
0,131111;-0,00;0,00;0,00
0,133484;-0,01;0,00;0,00
0,135688;-0,01;0,00;-0,00
0,137284;-0,01;0,01;0,00
0,139155;-0,01;0,00;-0,00
0,141269;-0,01;-0,01;-0,00
0,143854;-0,01;0,00;-0,00
0,145135;-0,01;-0,01;-0,00
0,147380;-0,00;-0,01;-0,00
0,149536;-0,00;-0,00;-0,00
0,151301;-0,00;-0,01;0,00
0,153154;0,00;0,00;0,00
0,155440;0,00;0,00;0,00
0,157362;0,00;0,00;0,00
0,159160;0,01;0,00;0,00
0,161091;0,01;0,01;0,00
0,163373;0,01;0,00;0,00
0,165267;0,01;0,00;0,00
0,167374;0,00;-0,00;-0,00
0,169312;0,00;-0,00;0,00
0,171176;0,00;-0,01;-0,00
0,173116;-0,00;-0,00;-0,00
0,175518;-0,00;-0,01;-0,01
0,177261;-0,01;-0,00;-0,00
0,179065;-0,01;0,00;-0,00
0,181150;-0,01;-0,00;0,00
0,183216;-0,01;0,00;0,00
0,185296;-0,01;0,00;0,00
0,187219;-0,01;0,00;0,00
0,189112;-0,01;-0,00;0,00
0,191243;-0,00;0,00;0,00
0,195293;-0,00;-0,01;0,00
0,195531;0,00;-0,01;-0,00
0,197313;0,00;-0,00;-0,00
0,199323;0,00;-0,01;0,00
0,201365;0,01;0,00;-0,00
0,203145;0,01;0,00;-0,00
0,205146;0,00;0,01;-0,00
0,207109;0,00;-0,00;-0,00
0,209537;0,00;0,01;0,00
0,211169;0,00;0,01;-0,00
0,213082;0,00;0,00;-0,00
0,215551;-0,00;0,00;0,00
0,217641;-0,00;-0,00;-0,00
0,219270;-0,00;-0,01;-0,00
0,221477;-0,00;-0,01;0,00
0,223494;-0,01;-0,01;0,00
0,225542;-0,00;-0,00;0,00
0,227316;-0,01;0,00;-0,00
0,229200;-0,01;0,00;0,00
0,231495;-0,00;0,00;0,00
0,233243;-0,00;0,00;0,00
0,235601;-0,00;0,00;0,00
0,237279;-0,00;-0,00;-0,00
0,239218;0,00;0,01;-0,00
0,241168;0,00;-0,00;-0,00
0,243947;0,00;-0,00;0,00
0,245075;0,00;-0,00;-0,00
0,247168;0,00;-0,00;-0,00
0,249241;0,01;-0,00;0,00
0,251337;0,00;-0,00;-0,00
0,253168;0,00;0,00;0,00
0,255511;0,00;0,00;0,00
0,257228;0,00;0,00;0,00
0,260494;0,00;0,00;0,00
0,261114;-0,00;0,00;0,00
0,263186;-0,00;0,00;0,00
0,265393;-0,00;0,00;-0,00
0,267117;-0,00;-0,00;-0,00
0,269240;-0,00;-0,00;0,00
0,271335;-0,00;-0,00;-0,00
0,273138;-0,00;0,00;-0,00
0,275426;-0,00;-0,00;-0,00
0,277263;-0,00;-0,00;-0,00
0,280849;-0,00;-0,00;-0,00
0,281119;-0,00;0,00;0,00
0,283639;-0,00;-0,00;0,00
0,285196;0,00;0,00;-0,00
0,287252;0,00;-0,00;0,00
0,289087;0,00;0,00;-0,00
0,291046;0,00;0,00;0,00
0,295336;0,00;-0,00;0,00
0,295585;0,00;-0,00;-0,00
0,297450;0,00;-0,00;0,00
0,299486;0,00;-0,00;-0,00
0,301598;-0,00;0,00;-0,00
0,303529;-0,00;-0,00;0,00
0,305250;-0,00;-0,00;-0,00
0,307218;-0,00;0,00;0,00
0,309454;-0,00;0,00;0,00
0,311234;-0,00;0,00;-0,00
0,313188;-0,01;-0,00;0,00
0,315391;-0,00;0,01;0,00
0,317144;-0,00;-0,00;0,00
0,319435;-0,00;0,00;-0,00
0,321248;-0,00;-0,00;0,00
0,323124;0,00;-0,00;-0,00
0,325164;0,00;-0,01;0,00
0,327310;0,00;-0,00;-0,00
0,329244;0,00;-0,00;0,00
0,331883;0,00;0,00;0,00
0,333137;0,00;-0,00;0,00
0,335327;0,00;0,01;0,00
0,337688;0,00;0,00;-0,00
0,339133;0,00;0,01;-0,00
0,341137;0,00;0,00;0,00
0,344411;0,00;0,00;-0,00
0,345273;-0,00;-0,00;0,00
0,347284;-0,00;-0,00;-0,00
0,349158;-0,00;-0,00;-0,00
0,351124;-0,00;-0,00;0,00
0,353269;-0,01;0,00;0,00
0,355397;-0,00;-0,00;0,00
0,357116;-0,00;-0,00;-0,00
0,359511;-0,00;0,00;0,00
0,361115;-0,00;0,00;0,00
0,363741;-0,00;-0,00;0,00
0,365868;-0,00;-0,00;-0,00
0,367191;-0,00;0,00;-0,00
0,369416;-0,00;0,00;0,00
0,371298;-0,00;0,00;0,00
0,373279;-0,00;-0,00;-0,00
0,375474;0,00;-0,00;-0,00
0,377374;0,00;0,00;0,00
0,379243;0,00;-0,00;-0,00
0,381477;0,00;0,01;-0,00
0,383191;0,00;0,00;0,00
0,385301;0,00;0,00;-0,00
0,387365;0,00;0,00;0,00
0,389494;-0,00;-0,00;0,00
0,391239;0,00;-0,00;0,00
0,395803;0,00;0,00;0,00
0,395996;-0,00;-0,00;0,00
0,397069;-0,00;-0,00;0,00
0,399163;-0,00;-0,00;0,00
0,401869;-0,00;-0,00;-0,00
0,403055;-0,00;-0,00;-0,00
0,405448;-0,00;-0,00;0,00
0,407272;-0,00;0,00;-0,00
0,409251;-0,00;0,00;0,00
0,411082;-0,00;0,00;-0,00
0,413258;-0,00;0,00;0,00
0,415537;-0,00;0,00;0,00
0,417357;-0,00;0,00;-0,00
0,419128;0,00;0,00;-0,00
0,421225;0,00;-0,00;0,00
0,423215;0,00;-0,00;0,00
0,425435;0,00;-0,00;-0,00
0,427368;-0,00;-0,01;-0,00
0,429343;0,00;-0,00;0,00
0,431141;0,00;0,00;0,00
0,433594;-0,00;0,00;0,00
0,435540;0,00;0,00;0,00
0,437192;0,00;0,00;0,00
0,439155;-0,00;0,00;-0,00
0,441139;-0,00;-0,00;-0,00
0,444116;0,00;-0,00;-0,00
0,445163;-0,00;-0,00;-0,00
0,447329;-0,00;0,01;-0,00
0,449473;-0,00;-0,00;-0,00
0,451033;-0,00;-0,00;-0,00
0,453133;-0,00;-0,00;0,00
0,455756;0,00;-0,00;0,00
0,457273;0,00;-0,00;-0,00
0,459108;-0,00;0,00;0,00
0,461371;-0,00;0,00;0,00
0,464441;-0,00;0,00;0,00
0,465255;-0,00;0,01;0,00
0,467307;0,00;-0,00;-0,00
0,469236;0,00;0,00;-0,00
0,471368;-0,00;-0,00;-0,00
0,473516;0,00;-0,00;-0,00
0,475343;-0,00;-0,00;-0,00
0,477408;0,00;-0,00;0,00
0,479431;0,00;-0,00;0,00
0,481167;-0,00;0,01;-0,00
0,483192;-0,00;-0,00;0,00
0,485212;0,00;-0,00;0,00
0,487296;-0,00;-0,00;0,00
0,489265;-0,00;0,00;0,00
0,491295;-0,00;0,00;0,00
0,495635;-0,00;-0,00;0,00
0,495826;-0,00;-0,00;0,00
0,497295;0,00;-0,00;-0,00
0,499312;0,00;-0,00;-0,00
0,501349;0,00;0,00;0,00
0,503634;0,00;-0,00;0,00
0,505891;-0,00;0,00;0,00
0,507267;0,00;0,00;0,00
0,509267;-0,00;-0,00;-0,00
0,511256;0,00;0,00;-0,00
0,512953;0,00;-0,00;-0,00
0,515345;0,00;-0,00;0,00
0,517454;0,00;0,00;-0,00
0,519431;0,00;-0,00;0,00
0,521577;0,00;-0,00;-0,00
0,523272;-0,00;-0,01;0,00
0,525267;0,00;0,00;0,00
0,527493;-0,00;-0,00;-0,00
0,530211;-0,00;-0,00;-0,00
0,531166;-0,00;0,00;0,00
0,533525;-0,00;0,01;0,00
0,535703;-0,00;-0,00;0,00
0,537295;-0,00;-0,00;0,00
0,539154;-0,00;-0,00;0,00
0,541243;0,00;0,00;0,00
0,544504;-0,00;0,00;0,00
0,545276;-0,00;0,00;0,00
0,547045;0,00;-0,00;-0,00
0,549352;0,00;-0,00;0,00
0,551834;0,00;-0,00;-0,00
0,553223;0,00;-0,00;0,00
0,555362;0,00;-0,00;-0,00
0,557194;0,00;-0,00;0,00
0,559165;0,00;0,00;0,00
0,571742;0,00;0,00;-0,00
0,572044;-0,00;0,00;-0,00
0,572141;0,00;-0,00;-0,00
0,572223;-0,00;0,00;-0,00
0,572311;-0,00;-0,00;-0,00
0,572407;-0,00;-0,00;-0,00
0,573203;-0,00;0,00;0,00
0,576311;-0,00;-0,00;0,00
0,578612;-0,00;-0,00;0,00
0,580155;-0,00;-0,00;0,00
0,581317;-0,00;0,00;-0,00
0,584049;0,00;0,01;0,00
0,589816;0,00;0,00;0,00
0,590249;-0,00;0,00;0,00
0,590778;0,00;-0,00;0,00
0,593971;0,00;-0,00;0,00
0,594139;0,00;-0,01;0,00
0,597210;0,00;0,00;0,00
0,597439;0,00;0,00;-0,00
0,599665;0,00;0,00;-0,00
0,601086;0,00;-0,00;0,00
0,603056;0,00;-0,00;0,00
0,605386;0,00;0,00;0,00
0,607121;0,00;-0,00;0,00
0,609087;0,00;-0,00;0,00
0,611253;0,00;-0,00;0,00
0,612922;-0,00;0,00;0,00
0,615252;-0,00;0,00;0,00
0,617359;-0,00;0,00;-0,00
0,618980;-0,00;0,00;0,00
0,620968;0,00;-0,00;-0,00
0,622898;-0,00;0,00;-0,00
0,625009;-0,00;-0,00;-0,00
0,627869;-0,00;-0,00;-0,00
0,629058;-0,00;0,00;0,00
0,630903;0,00;-0,00;-0,00
0,633108;-0,00;0,00;0,00
0,635547;0,00;0,00;-0,00
0,637499;0,00;-0,00;0,00
0,638843;-0,00;0,00;0,00
0,640766;0,00;0,00;-0,00
0,643110;-0,00;-0,00;-0,00
0,645119;0,00;-0,00;0,00
0,647103;0,00;-0,00;0,00
0,649164;0,00;-0,00;0,00
0,651259;-0,00;0,00;0,00
0,653137;-0,00;0,00;0,00
0,655335;-0,00;-0,00;-0,00
0,657285;-0,00;0,00;0,00
0,659099;-0,00;-0,00;-0,00
0,661485;-0,00;0,00;-0,00
0,663369;-0,00;-0,00;-0,00
0,665159;0,00;-0,00;-0,00
0,667122;-0,00;-0,00;-0,00
0,669522;0,00;0,00;-0,00
0,671697;-0,00;0,00;0,00
0,673377;0,00;-0,00;0,00
0,675629;0,00;0,00;-0,00
0,677924;0,00;-0,00;-0,00
0,679316;0,00;-0,00;0,00
0,681309;0,00;-0,00;0,00
0,683376;0,00;-0,00;-0,00
0,685786;-0,00;0,00;0,00
0,687869;0,00;-0,00;0,00
0,689437;0,00;0,00;-0,00
0,691410;-0,00;-0,00;-0,00
0,696174;-0,00;-0,00;-0,00
0,696352;-0,00;-0,00;-0,00
0,697546;-0,00;-0,00;-0,00
0,698938;0,00;-0,00;-0,00
0,702043;0,00;0,00;-0,00
0,703173;-0,00;-0,00;-0,00
0,705855;-0,00;-0,00;0,00
0,707370;-0,00;-0,00;0,00
0,709433;-0,00;0,00;0,00
0,711538;-0,00;0,00;0,00
0,713442;-0,00;-0,00;0,00
0,715651;-0,00;-0,00;0,00
0,717376;-0,00;0,00;0,00
0,719950;0,00;-0,00;-0,00
0,721512;-0,00;0,00;-0,00
0,723581;0,00;0,00;0,00
0,725420;0,00;-0,01;-0,00
0,728306;-0,00;0,00;0,00
0,729734;0,00;-0,00;-0,00
0,731874;-0,00;0,00;-0,00
0,733350;0,00;-0,00;-0,00
0,735822;0,00;-0,00;0,00
0,737690;-0,00;0,00;-0,00
0,739657;0,00;-0,00;0,00
0,741729;-0,00;0,00;-0,00
0,745229;-0,00;-0,00;-0,00
0,745738;0,00;-0,00;-0,00
0,748952;0,00;0,00;0,00
0,749529;0,00;-0,00;0,00
0,751522;-0,00;-0,00;0,00
0,753477;0,00;-0,00;0,00
0,756028;0,00;0,00;0,00
0,756977;-0,00;-0,00;0,00
0,759443;0,00;-0,00;-0,00
