time;wx (rad/s);wy (rad/s);wz (rad/s)
0,001395;-0,00;-0,00;-0,00
0,001810;-0,00;-0,00;-0,00
0,001988;-0,00;-0,00;-0,00
0,003046;-0,00;0,00;-0,00
0,004027;-0,00;-0,00;-0,00
0,005946;-0,00;0,00;0,00
0,008174;-0,00;0,00;-0,00
0,009889;-0,00;-0,00;-0,00
0,012846;-0,00;-0,00;-0,00
0,014287;-0,00;-0,00;-0,00
0,015965;-0,00;0,00;-0,00
0,017609;-0,00;-0,00;-0,00
0,019718;0,00;-0,00;-0,00
0,022040;0,00;0,00;-0,00
0,023796;-0,00;0,00;-0,00
0,025812;-0,00;0,00;-0,00
0,030130;0,00;-0,00;-0,00
0,030317;0,00;-0,00;-0,00
0,032084;0,00;0,00;-0,00
0,033930;-0,00;-0,00;-0,00
0,035975;0,00;0,00;-0,00
0,037901;0,00;0,00;-0,00
0,039931;0,00;-0,00;-0,00
0,041860;-0,00;0,00;-0,00
0,044176;0,00;-0,01;0,00
0,046514;-0,00;0,00;-0,00
0,047811;-0,00;-0,00;-0,00
0,049814;-0,00;0,00;-0,00
0,052002;-0,00;-0,00;-0,00
0,053898;-0,00;0,00;-0,00
0,055843;-0,00;0,00;0,00
0,057770;-0,00;-0,00;-0,00
0,059717;-0,00;-0,00;-0,00
0,061751;0,00;-0,00;0,00
0,063677;0,00;-0,00;-0,00
0,067322;0,00;-0,00;-0,00
0,068116;0,00;0,00;-0,00
0,070017;-0,00;0,00;-0,00
0,072261;0,00;0,00;-0,00
0,074663;-0,00;-0,00;-0,00
0,075942;-0,00;-0,00;0,00
0,078419;-0,00;0,00;-0,00
0,079921;-0,00;0,00;-0,00
0,082576;-0,00;-0,00;-0,00
0,084086;0,00;-0,00;-0,00
0,086046;0,00;0,00;-0,00
0,087858;0,00;-0,00;-0,00
0,089719;-0,00;0,00;0,00
0,091632;-0,00;-0,00;0,00
0,094885;-0,00;-0,00;-0,00
0,095610;0,00;0,00;0,00
0,098241;-0,00;0,00;0,00
0,099862;0,00;-0,00;0,00
0,101669;-0,00;0,00;0,00
0,103831;-0,00;0,00;0,00
0,105855;0,00;-0,00;-0,00
0,107711;-0,00;0,00;-0,00
0,109908;-0,00;-0,00;-0,00
0,111935;-0,00;-0,00;-0,00
0,114106;-0,00;-0,00;-0,00
0,116069;-0,00;0,00;-0,00
0,118085;-0,00;-0,00;-0,00
0,119714;-0,00;0,00;0,00
0,121926;-0,00;-0,00;-0,00
0,123678;0,00;-0,00;-0,00
0,125963;-0,00;0,00;0,00
0,128359;-0,00;0,00;0,00
0,129713;-0,00;0,00;-0,00
0,132046;-0,00;-0,00;-0,00
0,134543;-0,00;-0,00;-0,00
0,135588;-0,00;-0,00;-0,00
0,137777;0,00;0,00;-0,00
0,139798;-0,00;-0,00;-0,00
0,141851;-0,00;-0,00;-0,00
0,143613;-0,00;0,00;-0,00
0,146342;-0,00;-0,00;-0,00
0,147991;-0,00;0,00;0,00
0,150716;0,00;-0,00;-0,00
0,151777;-0,00;0,00;-0,00
0,153858;-0,00;0,00;-0,00
0,155728;-0,00;0,00;-0,00
0,157741;-0,00;-0,00;-0,00
0,159601;-0,00;0,00;-0,00
0,162118;0,00;-0,00;-0,00
0,163612;0,00;-0,00;-0,00
0,165856;-0,00;-0,00;-0,00
0,167672;-0,00;-0,00;-0,00
0,169575;-0,00;0,00;-0,00
0,171618;-0,00;-0,00;-0,00
0,174104;0,00;0,01;-0,00
0,175432;-0,00;-0,00;-0,00
0,177486;-0,00;0,01;0,00
0,179591;0,00;0,00;0,00
0,181641;-0,00;-0,00;-0,00
0,183549;-0,00;-0,00;-0,00
0,185476;-0,00;-0,00;-0,00
0,187493;-0,00;0,00;-0,00
0,189497;0,00;-0,00;-0,00
0,191412;-0,00;0,00;0,00
0,193685;-0,00;-0,00;-0,00
0,195605;-0,00;0,00;-0,00
0,197578;-0,00;0,00;-0,00
0,199413;-0,00;0,00;-0,00
0,201418;-0,00;-0,00;-0,00
0,203384;-0,00;-0,00;-0,00
0,205433;-0,00;-0,00;0,00
0,207398;0,00;-0,00;-0,00
0,209429;-0,00;0,00;-0,00
0,211964;-0,00;-0,00;-0,00
0,213762;-0,00;0,00;-0,00
0,215635;-0,00;0,00;-0,00
0,217401;-0,00;0,00;-0,00
0,219411;-0,00;-0,01;-0,00
0,221372;-0,00;-0,00;-0,00
0,223396;-0,00;-0,00;-0,00
0,225412;-0,00;0,00;0,00
0,227493;-0,00;-0,00;-0,00
0,229623;-0,00;-0,00;-0,00
0,231639;-0,00;-0,00;-0,00
0,233885;-0,00;0,01;-0,00
0,235496;-0,00;0,00;0,00
0,237557;-0,00;0,00;-0,00
0,239414;-0,00;0,00;0,00
0,241423;-0,00;0,00;-0,00
0,243441;0,00;0,00;-0,00
0,246870;-0,00;0,00;-0,00
0,248640;0,00;-0,00;-0,00
0,249648;-0,00;0,00;-0,00
0,251688;0,00;0,00;-0,00
0,253809;-0,00;-0,00;0,00
0,255301;-0,00;0,00;-0,00
0,257344;-0,00;0,00;0,00
0,259351;-0,00;0,00;0,00
0,262355;-0,00;-0,01;-0,00
0,263559;-0,00;-0,00;0,00
0,266389;-0,00;0,00;-0,00
0,267606;-0,00;0,00;0,00
0,269502;0,00;-0,00;-0,00
0,271411;0,00;0,00;-0,00
0,273624;-0,00;0,00;-0,00
0,275469;-0,00;0,00;-0,00
0,277446;-0,00;-0,00;-0,00
0,279473;-0,00;0,00;0,00
0,281625;-0,00;0,00;-0,00
