time;wx (rad/s);wy (rad/s);wz (rad/s)
0,003248;0,00;-0,00;0,00
0,003659;-0,00;0,00;0,00
0,003865;0,00;-0,00;-0,00
0,004054;-0,00;0,00;0,00
0,004216;0,00;-0,00;0,00
0,004371;-0,00;-0,00;0,00
0,004522;0,00;-0,00;0,00
0,004669;0,00;-0,00;-0,00
0,004818;0,00;-0,00;0,00
0,009082;0,00;-0,00;-0,00
0,009636;-0,00;0,00;-0,00
0,010990;-0,00;0,00;0,00
0,014608;0,00;-0,00;-0,00
0,015048;-0,00;-0,00;-0,00
0,016556;0,00;-0,00;0,00
0,022927;-0,00;0,00;0,00
0,023119;-0,00;0,00;-0,00
0,023769;-0,00;0,00;-0,00
0,024322;0,00;-0,00;0,00
0,026522;-0,00;0,00;0,00
0,029066;0,00;-0,00;-0,00
0,031594;-0,00;0,00;-0,00
0,032344;-0,00;0,00;0,00
0,034233;0,00;-0,00;0,00
0,036251;0,00;0,00;-0,00
0,042189;0,00;-0,00;0,00
0,042396;-0,00;-0,00;-0,00
0,042515;-0,00;-0,00;0,00
0,044232;0,00;0,00;0,00
0,046312;0,00;-0,00;0,00
0,048236;0,00;-0,00;0,00
0,050384;0,00;-0,00;0,00
0,052256;-0,00;0,00;-0,00
0,054298;-0,00;0,00;0,00
0,056916;-0,00;0,00;-0,00
0,061749;-0,00;-0,00;-0,00
0,062014;-0,00;0,00;-0,00
0,062185;-0,00;0,00;-0,00
0,064232;0,00;0,00;-0,00
0,066258;0,00;0,00;0,00
0,068258;-0,00;-0,00;0,00
0,070352;0,00;0,00;0,00
0,073099;-0,00;-0,00;0,00
0,074353;0,00;0,00;0,00
0,076429;0,00;-0,00;-0,00
0,082336;-0,00;-0,00;-0,00
0,083069;-0,01;0,00;-0,00
0,083580;-0,01;0,00;-0,00
0,085433;0,00;-0,00;-0,00
0,086596;-0,01;0,00;0,00
0,089236;-0,00;0,00;-0,00
0,090738;0,00;0,00;-0,00
0,093381;-0,00;-0,00;0,00
0,094259;-0,00;0,00;0,00
0,096298;-0,00;0,00;0,00
0,101931;-0,00;0,00;0,00
0,102253;0,00;-0,00;-0,00
0,102487;-0,00;-0,00;0,00
0,104268;0,00;-0,00;-0,00
0,106345;0,00;-0,00;-0,00
0,108523;-0,00;0,00;-0,00
0,110563;0,00;-0,00;0,00
0,112670;0,00;-0,00;0,00
0,114374;0,00;0,00;0,00
0,116260;-0,00;0,00;0,00
0,124908;0,00;0,00;0,00
0,126628;-0,00;0,00;-0,00
0,126799;-0,00;-0,00;0,00
0,126930;0,00;0,00;-0,00
0,127067;-0,00;0,00;0,00
0,128448;0,00;-0,00;0,00
0,130950;0,00;-0,00;0,00
0,132447;0,00;0,00;0,00
0,134463;0,00;-0,00;0,00
0,136679;-0,00;-0,00;-0,00
0,142021;-0,00;0,00;-0,00
0,142272;-0,00;0,01;0,00
0,142599;-0,00;0,01;0,00
0,144330;-0,01;0,00;-0,00
0,146623;0,00;-0,00;0,00
0,148857;-0,00;-0,00;0,00
0,150880;-0,00;-0,00;0,00
0,152223;0,00;0,00;0,00
0,154337;-0,00;0,00;0,00
0,156554;0,00;-0,00;0,00
0,162008;-0,00;-0,00;-0,00
0,162178;0,00;-0,00;-0,00
0,162298;0,00;-0,00;-0,00
0,164727;0,00;-0,00;0,00
0,167149;-0,00;-0,00;0,00
0,168482;-0,00;-0,00;0,00
0,170316;-0,00;0,00;-0,00
0,172735;0,00;-0,00;-0,00
0,174502;0,00;0,00;0,00
0,176539;0,00;-0,00;0,00
0,181818;0,00;0,00;0,00
0,182011;0,00;0,00;-0,00
0,182301;0,00;0,00;0,00
0,184732;-0,00;0,00;-0,00
0,186495;0,00;-0,00;-0,00
0,188551;0,00;-0,00;0,00
0,190874;-0,00;-0,00;-0,00
0,192582;-0,00;0,00;-0,00
0,194460;0,00;-0,00;0,00
0,196430;-0,00;0,00;-0,00
0,207821;-0,00;-0,00;-0,00
0,208034;0,00;0,00;-0,00
0,208133;-0,00;-0,00;-0,00
0,208221;0,00;0,00;0,00
0,208324;0,00;-0,00;0,00
0,208411;0,00;0,00;0,00
0,210540;0,00;-0,00;0,00
0,212424;0,00;-0,00;0,00
0,214477;-0,01;0,00;0,00
0,216478;0,00;-0,00;0,00
0,223263;0,00;0,00;0,00
0,223482;0,00;-0,00;0,00
0,223577;0,00;-0,00;0,00
0,224688;-0,00;-0,00;-0,00
0,226357;0,01;0,00;0,00
0,228856;-0,00;0,00;0,00
0,230576;-0,00;-0,00;0,00
0,232717;0,00;0,00;0,00
0,234569;0,00;-0,00;-0,00
0,236439;0,00;0,00;0,00
0,242582;-0,00;-0,00;0,00
0,242807;0,00;0,00;0,00
0,242903;-0,00;-0,00;-0,00
0,244359;-0,00;-0,00;-0,00
0,246468;0,00;0,00;0,00
0,249630;0,01;-0,00;0,00
0,250541;0,00;0,00;0,00
0,252422;-0,00;-0,00;-0,00
0,254359;0,01;-0,00;-0,00
0,257829;0,00;-0,00;0,00
