time;wx (rad/s);wy (rad/s);wz (rad/s)
0.001107;-0.01;-0.00;-0.01
0.001362;-0.01;-0.00;-0.01
0.001615;-0.02;0.00;-0.00
0.003134;-0.02;0.01;0.00
0.005435;-0.02;0.01;0.01
0.006937;-0.02;0.01;0.01
0.008829;-0.01;0.01;0.01
0.010960;-0.01;0.00;0.01
0.013704;-0.00;-0.00;0.01
0.017144;0.00;-0.01;0.01
0.017409;0.01;-0.01;-0.00
0.018897;0.01;-0.01;-0.01
0.021120;0.01;-0.01;-0.01
0.022816;0.02;-0.01;-0.01
0.024734;0.02;-0.00;-0.01
0.026782;0.02;0.00;-0.01
0.031144;0.01;0.01;-0.00
0.031319;0.01;0.01;-0.00
0.032931;0.00;0.00;0.00
0.034995;-0.00;0.01;0.01
0.037002;-0.01;-0.00;0.01
0.039212;-0.01;0.00;0.01
0.041020;-0.01;-0.00;0.01
0.043061;-0.01;-0.01;0.01
0.046429;-0.01;-0.01;0.01
0.047353;-0.01;-0.00;-0.00
0.049401;-0.01;0.00;-0.00
0.051160;-0.01;-0.00;-0.01
0.053314;0.00;0.00;-0.01
0.055403;0.01;0.01;-0.01
0.056974;0.01;0.01;-0.01
0.058824;0.01;0.00;-0.01
0.063980;0.01;0.01;-0.00
0.064220;0.01;0.00;-0.00
0.065034;0.01;-0.00;0.01
0.066995;0.01;-0.01;0.01
0.069317;0.00;-0.01;0.01
0.071023;0.00;-0.01;0.01
0.072863;-0.01;-0.01;0.01
0.074820;-0.01;-0.00;0.01
0.076801;-0.01;-0.00;0.00
0.079142;-0.01;-0.00;0.00
0.081176;-0.01;0.00;-0.00
0.082986;-0.01;0.01;-0.01
0.085218;-0.01;0.01;-0.01
0.087011;-0.00;0.01;-0.01
0.088840;-0.00;0.01;-0.01
0.090869;0.00;0.00;-0.01
0.092760;0.01;-0.00;-0.00
0.095810;0.01;-0.00;-0.00
0.096887;0.01;-0.00;0.00
0.099079;0.01;-0.00;0.01
0.101476;0.01;-0.00;0.01
0.102998;0.01;-0.01;0.01
0.104729;0.00;-0.01;0.01
0.106814;0.01;0.00;0.01
0.109001;0.00;-0.00;0.01
0.110927;-0.00;-0.00;0.00
0.112794;-0.00;0.00;-0.00
0.115073;-0.01;0.00;-0.00
0.116916;-0.01;0.01;-0.01
0.118962;-0.01;0.00;-0.01
0.125724;-0.01;0.00;-0.01
0.126249;-0.01;0.00;-0.01
0.126565;-0.00;-0.00;-0.00
0.127678;-0.01;-0.00;-0.00
0.129258;-0.00;0.00;0.00
0.130870;0.00;-0.00;0.01
0.132941;0.00;-0.00;0.01
0.135133;0.00;-0.00;0.01
0.136839;0.01;-0.00;0.01
0.138920;0.01;-0.00;0.01
0.141343;0.01;-0.00;0.00
0.142894;0.01;-0.00;0.00
0.145561;0.01;0.00;-0.01
0.147098;0.00;-0.00;-0.01
0.148912;0.00;0.00;-0.01
0.150877;-0.00;-0.00;-0.01
0.152738;-0.00;-0.00;-0.01
0.154826;-0.00;0.00;-0.01
0.156934;-0.00;0.00;-0.00
0.159236;-0.01;0.00;0.00
0.161177;-0.01;-0.00;0.01
0.164324;-0.01;-0.00;0.01
0.164797;-0.00;-0.01;0.01
0.167029;-0.00;-0.00;0.01
0.168662;0.00;-0.00;0.01
0.170884;0.01;0.00;0.01
0.172890;0.00;-0.00;-0.00
0.174887;0.01;-0.00;-0.00
0.176836;0.01;0.00;-0.01
0.179032;0.01;0.00;-0.01
0.181018;0.01;0.00;-0.01
0.183890;0.00;0.01;-0.01
0.185012;0.00;-0.00;-0.01
0.187014;0.00;0.00;-0.00
0.189236;-0.00;0.00;0.00
0.191040;-0.00;0.00;0.00
0.192807;-0.01;0.00;0.01
0.195756;-0.01;-0.00;0.01
0.196838;-0.01;-0.00;0.01
0.199159;-0.01;-0.00;0.01
0.201264;-0.00;-0.01;0.00
0.202732;-0.00;0.00;0.00
0.204759;0.00;0.00;-0.00
0.206980;0.00;0.00;-0.01
0.208911;0.01;0.00;-0.01
0.211211;0.01;-0.00;-0.00
0.212828;0.01;0.01;-0.00
0.214953;0.01;0.00;-0.00
0.216866;0.01;0.00;-0.00
0.219258;0.01;-0.00;0.00
0.221289;0.00;-0.00;0.01
0.223141;0.00;-0.00;0.01
0.224913;0.00;-0.01;0.01
0.226854;-0.00;-0.00;0.01
0.229067;-0.01;-0.00;0.01
0.230836;-0.01;-0.00;0.00
0.233134;-0.00;-0.00;0.00
0.234928;-0.00;0.01;-0.00
0.236945;-0.01;0.01;-0.00
0.238945;-0.00;0.00;-0.01
0.241146;0.00;0.00;-0.01
0.242769;0.00;-0.00;-0.01
0.245789;0.00;0.00;-0.01
0.246959;0.01;0.00;-0.00
0.249441;0.01;0.00;-0.00
0.250928;0.01;-0.00;0.00
0.252880;0.01;-0.01;0.00
0.255141;0.00;0.00;0.00
0.256930;0.00;-0.01;0.00
0.258810;0.00;-0.00;0.01
0.264313;-0.00;0.00;0.01
0.264508;-0.00;-0.00;0.00
0.264871;-0.00;-0.00;0.00
0.266974;-0.00;0.00;-0.00
0.268949;-0.00;-0.00;-0.00
0.271349;-0.00;0.00;-0.00
0.273003;-0.00;-0.00;-0.00
0.274913;-0.00;0.01;-0.01
0.276801;-0.00;-0.00;-0.01
0.279448;-0.00;-0.00;-0.00
0.283427;-0.00;0.00;-0.00
0.283786;0.00;0.00;0.00
0.285032;0.00;-0.00;0.00
0.287242;0.00;0.00;0.01
0.289306;0.00;0.00;0.01
0.290921;0.00;0.00;0.01
0.292867;0.00;0.00;0.01
0.294958;0.00;0.00;0.01
0.296836;0.00;-0.00;0.00
0.299168;0.00;-0.00;-0.00
0.301473;-0.00;0.00;-0.00
0.303044;-0.00;-0.00;-0.00
0.304706;-0.00;-0.00;-0.01
0.307286;-0.00;0.00;-0.00
0.308680;-0.00;-0.00;-0.00
0.310832;-0.00;0.00;0.00
0.315268;-0.00;0.00;-0.00
0.315459;-0.00;-0.00;0.00
0.316823;0.00;-0.01;0.00
0.318874;0.00;0.00;0.00
0.321082;0.00;-0.00;0.00
0.322913;0.00;-0.00;0.00
0.324942;0.00;-0.00;0.00
0.326935;0.00;-0.00;0.00
0.329525;0.00;-0.00;-0.00
0.330915;0.00;-0.00;-0.00
0.333018;0.01;0.00;-0.00
0.335317;0.00;0.00;-0.00
0.337170;0.00;0.00;-0.00
0.339069;0.00;-0.00;-0.00
0.341400;-0.00;0.00;-0.00
0.343192;-0.00;-0.00;0.00
0.345922;-0.00;0.00;0.00
0.347036;-0.00;-0.00;0.00
0.349168;-0.00;-0.00;0.00
0.351124;-0.01;-0.00;0.00
0.353056;-0.00;-0.00;0.00
0.354973;-0.00;-0.00;0.00
0.356867;-0.00;-0.00;0.00
0.358851;0.00;-0.00;-0.00
0.361198;0.00;0.00;-0.00
